Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.004574,8.040497,[1 6] ; [7 1],[3.73333333 3.26666667] ; [4.26666667 3.73333333],0
p2,1,0.038867,4.266667,[3 5] ; [7 1],[5. 3.] ; [5. 3.],0
v1,1,0.13057,2.285714,[2 6] ; [5 3],[3.5 4.5] ; [3.5 4.5],0
p10,1,0.13057,2.285714,[3 5] ; [6 2],[4.5 3.5] ; [4.5 3.5],0
p9,1,0.13057,2.285714,[3 5] ; [6 2],[4.5 3.5] ; [4.5 3.5],0
p8,1,0.13057,2.285714,[3 5] ; [6 2],[4.5 3.5] ; [4.5 3.5],0
p3,1,0.13057,2.285714,[2 6] ; [5 3],[3.5 4.5] ; [3.5 4.5],0
p4,1,0.204894,1.607143,[3 4] ; [6 2],[4.2 2.8] ; [4.8 3.2],0
b1,1,0.248213,1.333333,[5 3] ; [7 1],[6. 2.] ; [6. 2.],0
b5,1,0.248213,1.333333,[7 1] ; [5 3],[6. 2.] ; [6. 2.],0
a2,1,0.248213,1.333333,[3 5] ; [1 7],[2. 6.] ; [2. 6.],0
a3,1,0.248213,1.333333,[7 1] ; [5 3],[6. 2.] ; [6. 2.],0
s5,1,0.248213,1.333333,[1 7] ; [3 5],[2. 6.] ; [2. 6.],0
d4,1,0.248213,1.333333,[7 1] ; [5 3],[6. 2.] ; [6. 2.],0
s2,1,0.3017,1.066667,[2 6] ; [4 4],[3. 5.] ; [3. 5.],0
r4,1,0.3017,1.066667,[2 6] ; [4 4],[3. 5.] ; [3. 5.],0
p11,1,0.317311,1.0,[3 5] ; [5 3],[4. 4.] ; [4. 4.],0
d2,1,0.317311,1.0,[5 3] ; [3 5],[4. 4.] ; [4. 4.],0
u1,1,0.521839,0.410256,[2 6] ; [1 7],[1.5 6.5] ; [1.5 6.5],0
s4,1,0.521839,0.410256,[1 7] ; [2 6],[1.5 6.5] ; [1.5 6.5],0
p5,1,0.521839,0.410256,[1 7] ; [2 6],[1.5 6.5] ; [1.5 6.5],0
b3,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
b2,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
b4,1,0.589639,0.290909,[6 2] ; [5 3],[5.5 2.5] ; [5.5 2.5],0
n4,1,0.589639,0.290909,[5 3] ; [6 2],[5.5 2.5] ; [5.5 2.5],0
a5,1,0.614295,0.253968,[4 4] ; [5 3],[4.5 3.5] ; [4.5 3.5],0
a7,1,0.614295,0.253968,[5 3] ; [4 4],[4.5 3.5] ; [4.5 3.5],0
s6,1,0.614295,0.253968,[4 4] ; [3 5],[3.5 4.5] ; [3.5 4.5],0
d3,1,0.614295,0.253968,[4 4] ; [5 3],[4.5 3.5] ; [4.5 3.5],0
v3,1,0.614295,0.253968,[4 4] ; [3 5],[3.5 4.5] ; [3.5 4.5],0
r2,1,0.714393,0.133929,[5 2] ; [5 3],[4.66666667 2.33333333] ; [5.33333333 2.66666667],0
n1,1,0.80915,0.058333,[1 1] ; [3 2],[1.14285714 0.85714286] ; [2.85714286 2.14285714],0
s7,1,0.832662,0.044643,[3 5] ; [3 4],[3.2 4.8] ; [2.8 4.2],0
s3,1,1.0,0.0,[2 6] ; [2 6],[2. 6.] ; [2. 6.],0
d5,1,1.0,0.0,[7 1] ; [7 1],[7. 1.] ; [7. 1.],0
s8,1,1.0,0.0,[2 6] ; [2 6],[2. 6.] ; [2. 6.],0
p1,1,1.0,0.0,[1 7] ; [1 7],[1. 7.] ; [1. 7.],0
d1,1,1.0,0.0,[5 3] ; [5 3],[5. 3.] ; [5. 3.],0
a6,1,1.0,0.0,[4 4] ; [4 4],[4. 4.] ; [4. 4.],0
n6,1,1.0,0.0,[6 2] ; [6 2],[6. 2.] ; [6. 2.],0
a4,1,1.0,0.0,[4 4] ; [4 4],[4. 4.] ; [4. 4.],0
r1,1,1.0,0.0,[4 4] ; [4 4],[4. 4.] ; [4. 4.],0
p12,1,1.0,0.0,[1 7] ; [1 7],[1. 7.] ; [1. 7.],0
