Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.052094,[69 97] ; [111  51],[91.09756098 74.90243902] ; [88.90243902 73.09756098],1
p2,1,3.2e-05,17.275407,[121  52] ; [145  19],[136.55192878  36.44807122] ; [129.44807122  34.55192878],1
p3,1,3.9e-05,16.923887,[ 59 114] ; [92 71],[77.74702381 95.25297619] ; [73.25297619 89.74702381],1
v3,1,0.00016,14.252876,[ 44 125] ; [74 87],[ 60.43030303 108.56969697] ; [ 57.56969697 103.43030303],1
p9,1,0.00033,12.892365,[116  53] ; [139  24],[129.80421687  39.19578313] ; [125.19578313  37.80421687],1
p7,1,0.000621,11.710588,[83 86] ; [109  52],[98.32727273 70.67272727] ; [93.67272727 67.32727273],1
p8,1,0.000755,11.349919,[70 99] ; [96 64],[85.27051672 83.72948328] ; [80.72948328 79.27051672],1
p4,1,0.000797,11.249357,[74 97] ; [101  63],[89.32835821 81.67164179] ; [85.67164179 78.32835821],1
n5,1,0.001177,10.525921,[99 71] ; [123  41],[112.99401198  57.00598802] ; [109.00598802  54.99401198],0
p6,1,0.001473,10.112335,[ 36 135] ; [ 59 101],[ 49.07854985 121.92145015] ; [ 45.92145015 114.07854985],0
s6,1,0.005747,7.627913,[ 65 106] ; [86 76],[77.54054054 93.45945946] ; [73.45945946 88.54054054],0
n4,1,0.009288,6.766541,[111  61] ; [127  37],[121.83333333  50.16666667] ; [116.16666667  47.83333333],0
p10,1,0.02017,5.397083,[114  54] ; [129  34],[123.33534743  44.66465257] ; [119.66465257  43.33534743],0
u1,1,0.028975,4.769079,[ 19 154] ; [ 32 132],[ 26.1810089 146.8189911] ; [ 24.8189911 139.1810089],0
n6,1,0.043426,4.078725,[127  45] ; [136  28],[134.63095238  37.36904762] ; [128.36904762  35.63095238],0
r2,1,0.055204,3.675913,[150  21] ; [152  10],[155.08108108  15.91891892] ; [146.91891892  15.08108108],0
b5,1,0.06264,3.466063,[99 74] ; [110  54],[107.29080119  65.70919881] ; [101.70919881  62.29080119],0
b3,1,0.064447,3.419067,[28 74] ; [39 59],[34.17 67.83] ; [32.83 65.17],0
b2,1,0.064447,3.419067,[28 74] ; [39 59],[34.17 67.83] ; [32.83 65.17],0
p11,1,0.064565,3.416049,[122  51] ; [130  34],[129.36498516  43.63501484] ; [122.63501484  41.36498516],0
r1,1,0.073095,3.212109,[127  46] ; [133  30],[133.86904762  39.13095238] ; [126.13095238  36.86904762],0
s7,1,0.093007,2.821547,[ 36 129] ; [ 46 107],[ 42.54716981 122.45283019] ; [ 39.45283019 113.54716981],0
r4,1,0.09469,2.792778,[143  30] ; [146  18],[148.35905045  24.64094955] ; [140.64094955  23.35905045],0
v4,1,0.099845,2.708016,[155  18] ; [154   9],[159.09821429  13.90178571] ; [149.90178571  13.09821429],0
a6,1,0.11857,2.436114,[128  45] ; [133  31],[133.9851632  39.0148368] ; [127.0148368  36.9851632],0
r3,1,0.139928,2.178753,[156  17] ; [154   9],[159.61309524  13.38690476] ; [150.38690476  12.61309524],0
p12,1,0.15668,2.005981,[  5 166] ; [ 10 153],[  7.67964072 163.32035928] ; [  7.32035928 155.67964072],0
p1,1,0.163796,1.938828,[  9 163] ; [ 15 149],[ 12.28571429 159.71428571] ; [ 11.71428571 152.28571429],0
s8,1,0.194632,1.682203,[ 37 135] ; [ 45 118],[ 42.10149254 129.89850746] ; [ 39.89850746 123.10149254],0
a2,1,0.241276,1.373124,[ 36 137] ; [ 43 121],[ 40.55489614 132.44510386] ; [ 38.44510386 125.55489614],0
a5,1,0.260219,1.267593,[118  55] ; [121  43],[122.69139466  50.30860534] ; [116.30860534  47.69139466],0
u3,1,0.261001,1.263438,[27 29] ; [29 20],[29.86666667 26.13333333] ; [26.13333333 22.86666667],0
u2,1,0.345977,0.888158,[28 29] ; [28 20],[30.4 26.6] ; [25.6 22.4],0
a4,1,0.346003,0.888064,[ 66 107] ; [70 92],[ 70.23283582 102.76716418] ; [65.76716418 96.23283582],0
s3,1,0.373009,0.793615,[ 40 132] ; [ 31 130],[ 36.67267267 135.32732733] ; [ 34.32732733 126.67267267],0
p5,1,0.375882,0.784128,[ 13 158] ; [ 17 147],[ 15.31343284 155.68656716] ; [ 14.68656716 149.31343284],0
d2,1,0.457478,0.552059,[ 68 105] ; [71 93],[ 71.35608309 101.64391691] ; [67.64391691 96.35608309],0
a3,1,0.483136,0.491776,[116  56] ; [115  47],[118.95808383  53.04191617] ; [112.04191617  49.95808383],0
s1,1,0.501046,0.452719,[  5 164] ; [  3 161],[  4.06006006 164.93993994] ; [  3.93993994 160.06006006],0
d1,1,0.519566,0.414755,[91 82] ; [92 72],[93.94362018 79.05637982] ; [89.05637982 74.94362018],0
d5,1,0.531033,0.392415,[140  33] ; [137  27],[142.19881306  30.80118694] ; [134.80118694  29.19881306],0
b4,1,0.563109,0.33435,[98 75] ; [98 66],[100.61721068  72.38278932] ; [95.38278932 68.61721068],0
s4,1,0.564455,0.332048,[ 17 155] ; [ 13 148],[ 15.4954955 156.5045045] ; [ 14.5045045 146.4954955],0
a1,1,0.686949,0.162408,[  9 164] ; [  7 157],[  8.21364985 164.78635015] ; [  7.78635015 156.21364985],0
d3,1,0.695169,0.153547,[129  43] ; [126  38],[130.53571429  41.46428571] ; [124.46428571  39.53571429],0
n2,1,0.722962,0.125672,[37 22] ; [18  9],[37.73255814 21.26744186] ; [17.26744186  9.73255814],0
b1,1,0.830032,0.046079,[ 61 112] ; [ 56 108],[ 60.06231454 112.93768546] ; [ 56.93768546 107.06231454],0
d4,1,0.868705,0.027325,[138  35] ; [132  32],[138.60534125  34.39465875] ; [131.39465875  32.60534125],0
n1,1,0.890673,0.018893,[22 35] ; [10 17],[21.71428571 35.28571429] ; [10.28571429 16.71428571],0
n3,1,0.917343,0.010771,[40 19] ; [18  9],[39.79069767 19.20930233] ; [18.20930233  8.79069767],0
s5,1,0.92943,0.007843,[ 27 143] ; [ 25 136],[ 26.70694864 143.29305136] ; [ 25.29305136 135.70694864],0
a8,1,0.970944,0.001327,[ 20 143] ; [ 17 120],[ 20.10333333 142.89666667] ; [ 16.89666667 120.10333333],0
