Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-05,19.557945,[7 4] ; [ 3 42],[1.96428571 9.03571429] ; [ 8.03571429 36.96428571],1
p8,1,3.7e-05,17.004831,[6 4] ; [ 3 42],[1.63636364 8.36363636] ; [ 7.36363636 37.63636364],1
s2,1,4.2e-05,16.784802,[7 4] ; [ 4 41],[2.16071429 8.83928571] ; [ 8.83928571 36.16071429],1
p3,1,0.00013,14.646739,[6 5] ; [ 3 41],[1.8 9.2] ; [ 7.2 36.8],1
p6,1,0.004814,7.948161,[3 8] ; [ 1 42],[ 0.81481481 10.18518519] ; [ 3.18518519 39.81481481],0
s3,1,0.037691,4.31891,[6 5] ; [10 34],[3.2 7.8] ; [12.8 31.2],0
s1,1,0.04093,4.178905,[4 7] ; [ 5 40],[1.76785714 9.23214286] ; [ 7.23214286 37.76785714],0
p9,1,0.054335,3.70239,[6 5] ; [10 31],[3.38461538 7.61538462] ; [12.61538462 28.38461538],0
u3,1,0.070645,3.267974,[2 1] ; [ 3 14],[0.75 2.25] ; [ 4.25 12.75],0
s6,1,0.073809,3.196206,[4 7] ; [ 6 39],[1.96428571 9.03571429] ; [ 8.03571429 36.96428571],0
r3,1,0.089694,2.879855,[7 4] ; [16 29],[4.51785714 6.48214286] ; [18.48214286 26.51785714],0
s8,1,0.112768,2.514996,[2 9] ; [ 2 43],[ 0.78571429 10.21428571] ; [ 3.21428571 41.78571429],0
b5,1,0.157479,1.998264,[7 4] ; [18 27],[4.91071429 6.08928571] ; [20.08928571 24.91071429],0
a6,1,0.196087,1.671278,[8 3] ; [23 22],[6.08928571 4.91071429] ; [24.91071429 20.08928571],0
b4,1,0.201749,1.629671,[4 7] ; [26 19],[5.89285714 5.10714286] ; [24.10714286 20.89285714],0
p5,1,0.234646,1.412474,[1 9] ; [ 1 44],[0.36363636 9.63636364] ; [ 1.63636364 43.36363636],0
n2,1,0.234965,1.410553,[5 2] ; [12 14],[3.60606061 3.39393939] ; [13.39393939 12.60606061],0
p10,1,0.243152,1.362229,[5 6] ; [12 32],[3.4 7.6] ; [13.6 30.4],0
n4,1,0.24767,1.336401,[5 6] ; [29 16],[6.67857143 4.32142857] ; [27.32142857 17.67857143],0
v1,1,0.266636,1.233974,[4 7] ; [ 9 35],[2.6 8.4] ; [10.4 33.6],0
a7,1,0.312951,1.018182,[7 4] ; [21 24],[5.5 5.5] ; [22.5 22.5],0
a4,1,0.335375,0.92803,[3 8] ; [19 25],[4.4 6.6] ; [17.6 26.4],0
v2,1,0.339235,0.913319,[5 6] ; [13 30],[3.66666667 7.33333333] ; [14.33333333 28.66666667],0
a1,1,0.397079,0.717154,[ 1 10] ; [ 9 36],[1.96428571 9.03571429] ; [ 8.03571429 36.96428571],0
n6,1,0.402241,0.701615,[3 7] ; [20 25],[4.18181818 5.81818182] ; [18.81818182 26.18181818],0
p11,1,0.423587,0.640342,[4 7] ; [11 34],[2.94642857 8.05357143] ; [12.05357143 32.94642857],0
n5,1,0.45199,0.565657,[6 5] ; [30 15],[7.07142857 3.92857143] ; [28.92857143 16.07142857],0
n1,1,0.509126,0.435862,[2 5] ; [11 15],[2.75757576 4.24242424] ; [10.24242424 15.75757576],0
d1,1,0.537773,0.379683,[4 7] ; [21 24],[4.91071429 6.08928571] ; [20.08928571 24.91071429],0
v4,1,0.543243,0.369562,[5 6] ; [16 29],[4.125 6.875] ; [16.875 28.125],0
d5,1,0.543243,0.369562,[6 5] ; [29 16],[6.875 4.125] ; [28.125 16.875],0
s7,1,0.549308,0.358558,[3 8] ; [ 8 34],[2.28301887 8.71698113] ; [ 8.71698113 33.28301887],0
r1,1,0.560179,0.339394,[2 9] ; [12 33],[2.75 8.25] ; [11.25 33.75],0
a3,1,0.570625,0.321637,[8 3] ; [28 16],[7.2 3.8] ; [28.8 15.2],0
d3,1,0.639222,0.219761,[6 5] ; [21 24],[5.30357143 5.69642857] ; [21.69642857 23.30357143],0
v3,1,0.659207,0.194489,[2 9] ; [11 34],[2.55357143 8.44642857] ; [10.44642857 34.55357143],0
s4,1,0.680381,0.169697,[2 9] ; [ 6 39],[1.57142857 9.42857143] ; [ 6.42857143 38.57142857],0
d4,1,0.69963,0.148857,[8 3] ; [30 15],[7.46428571 3.53571429] ; [30.53571429 14.46428571],0
u2,1,0.717688,0.130719,[1 2] ; [ 4 13],[0.75 2.25] ; [ 4.25 12.75],0
a5,1,0.723299,0.125354,[7 4] ; [26 19],[6.48214286 4.51785714] ; [26.51785714 18.48214286],0
a8,1,0.795158,0.067402,[ 1 10] ; [ 3 41],[ 0.8 10.2] ; [ 3.2 40.8],0
r2,1,0.829678,0.046274,[6 5] ; [25 18],[6.31481481 4.68518519] ; [24.68518519 18.31481481],0
n3,1,0.891787,0.018508,[3 4] ; [10 15],[2.84375 4.15625] ; [10.15625 14.84375],0
d2,1,0.891864,0.018481,[6 5] ; [25 19],[6.2 4.8] ; [24.8 19.2],0
s5,1,0.91197,0.012222,[1 9] ; [ 4 41],[0.90909091 9.09090909] ; [ 4.09090909 40.90909091],0
b1,1,0.942395,0.005221,[6 5] ; [24 21],[5.89285714 5.10714286] ; [24.10714286 20.89285714],0
