Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.007661,7.111111,[1 3] ; [11  1],[3. 1.] ; [9. 3.],0
n4,1,0.029273,4.751515,[1 3] ; [10  2],[2.75 1.25] ; [8.25 3.75],0
d1,1,0.073638,3.2,[1 3] ; [9 3],[2.5 1.5] ; [7.5 4.5],0
p4,1,0.095205,2.784091,[1 3] ; [8 3],[2.4 1.6] ; [6.6 4.4],0
d3,1,0.145729,2.116402,[1 3] ; [8 4],[2.25 1.75] ; [6.75 5.25],0
p10,1,0.145729,2.116402,[1 3] ; [8 4],[2.25 1.75] ; [6.75 5.25],0
a5,1,0.145729,2.116402,[1 3] ; [8 4],[2.25 1.75] ; [6.75 5.25],0
p8,1,0.145729,2.116402,[1 3] ; [8 4],[2.25 1.75] ; [6.75 5.25],0
a7,1,0.145729,2.116402,[1 3] ; [8 4],[2.25 1.75] ; [6.75 5.25],0
a3,1,0.182422,1.777778,[2 2] ; [10  2],[3. 1.] ; [9. 3.],0
p11,1,0.248213,1.333333,[3 1] ; [5 7],[2. 2.] ; [6. 6.],0
d2,1,0.248213,1.333333,[1 3] ; [7 5],[2. 2.] ; [6. 6.],0
a4,1,0.248213,1.333333,[1 3] ; [7 5],[2. 2.] ; [6. 6.],0
d5,1,0.382733,0.761905,[3 1] ; [11  1],[3.5 0.5] ; [10.5  1.5],0
v3,1,0.382733,0.761905,[1 3] ; [6 6],[1.75 2.25] ; [5.25 6.75],0
s6,1,0.382733,0.761905,[1 3] ; [6 6],[1.75 2.25] ; [5.25 6.75],0
r2,1,0.408961,0.681818,[2 2] ; [8 3],[2.66666667 1.33333333] ; [7.33333333 3.66666667],0
p2,1,0.550985,0.355556,[3 1] ; [7 5],[2.5 1.5] ; [7.5 4.5],0
p5,1,0.711531,0.136752,[1 3] ; [ 2 10],[0.75 3.25] ; [2.25 9.75],0
b4,1,0.755497,0.09697,[3 1] ; [8 4],[2.75 1.25] ; [8.25 3.75],0
p9,1,0.771084,0.084656,[2 2] ; [7 5],[2.25 1.75] ; [6.75 5.25],0
v1,1,0.771084,0.084656,[2 2] ; [5 7],[1.75 2.25] ; [5.25 6.75],0
s7,1,0.792147,0.069444,[1 2] ; [5 7],[1.2 1.8] ; [4.8 7.2],0
b3,1,0.793428,0.068571,[1 1] ; [4 6],[0.83333333 1.16666667] ; [4.16666667 5.83333333],0
b2,1,0.793428,0.068571,[1 1] ; [4 6],[0.83333333 1.16666667] ; [4.16666667 5.83333333],0
n1,1,0.80915,0.058333,[1 1] ; [3 2],[1.14285714 0.85714286] ; [2.85714286 2.14285714],0
p7,1,0.875996,0.024351,[2 2] ; [6 5],[2.13333333 1.86666667] ; [5.86666667 5.13333333],0
p6,1,1.0,0.0,[2 2] ; [6 6],[2. 2.] ; [6. 6.],0
u3,1,1.0,0.0,[1 1] ; [1 1],[1. 1.] ; [1. 1.],0
a6,1,1.0,0.0,[2 2] ; [6 6],[2. 2.] ; [6. 6.],0
a2,1,1.0,0.0,[1 3] ; [3 9],[1. 3.] ; [3. 9.],0
