Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.067113,3.352259,[2 4] ; [10  3],[3.78947368 2.21052632] ; [8.21052632 4.78947368],0
s3,1,0.093533,2.8125,[1 5] ; [7 5],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
r1,1,0.12707,2.327943,[5 1] ; [6 7],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
a6,1,0.12707,2.327943,[1 5] ; [7 6],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
v2,1,0.12707,2.327943,[1 5] ; [7 6],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
b3,1,0.157299,2.0,[2 1] ; [2 7],[1. 2.] ; [3. 6.],0
b2,1,0.157299,2.0,[2 1] ; [2 7],[1. 2.] ; [3. 6.],0
s2,1,0.17146,1.87013,[1 5] ; [6 6],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
v1,1,0.215508,1.534035,[1 5] ; [6 7],[2.21052632 3.78947368] ; [4.78947368 8.21052632],0
b4,1,0.215508,1.534035,[5 1] ; [7 6],[3.78947368 2.21052632] ; [8.21052632 4.78947368],0
n1,1,0.342782,0.9,[2 1] ; [2 4],[1.33333333 1.66666667] ; [2.66666667 3.33333333],0
a7,1,0.405187,0.692877,[4 2] ; [6 7],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
r4,1,0.41923,0.652473,[3 3] ; [4 9],[2.21052632 3.78947368] ; [4.78947368 8.21052632],0
u2,1,0.490153,0.47619,[2 1] ; [6 1],[2.4 0.6] ; [5.6 1.4],0
s5,1,0.516407,0.421062,[1 5] ; [4 9],[1.57894737 4.42105263] ; [3.42105263 9.57894737],0
s1,1,0.553516,0.351056,[1 5] ; [ 1 12],[0.63157895 5.36842105] ; [ 1.36842105 11.63157895],0
p5,1,0.553516,0.351056,[1 5] ; [ 1 12],[0.63157895 5.36842105] ; [ 1.36842105 11.63157895],0
p9,1,0.595883,0.28125,[5 1] ; [11  1],[5.33333333 0.66666667] ; [10.66666667  1.33333333],0
v4,1,0.598802,0.276807,[4 2] ; [7 6],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
b1,1,0.598802,0.276807,[2 4] ; [6 7],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
a5,1,0.598802,0.276807,[4 2] ; [7 6],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
s7,1,0.627477,0.235498,[4 2] ; [6 5],[3.52941176 2.47058824] ; [6.47058824 4.52941176],0
p8,1,0.635848,0.224213,[3 3] ; [8 5],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
p7,1,0.635848,0.224213,[3 3] ; [8 5],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
d5,1,0.635848,0.224213,[3 3] ; [8 5],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
d4,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
n4,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
d1,1,0.636982,0.222711,[2 4] ; [ 3 10],[1.57894737 4.42105263] ; [3.42105263 9.57894737],0
n6,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
s6,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
a4,1,0.750042,0.101496,[1 5] ; [ 3 10],[1.26315789 4.73684211] ; [ 2.73684211 10.26315789],0
u3,1,0.77816,0.079365,[2 1] ; [4 3],[1.8 1.2] ; [4.2 2.8],0
d2,1,0.829454,0.046398,[2 4] ; [5 8],[2.21052632 3.78947368] ; [4.78947368 8.21052632],0
a3,1,0.875975,0.024359,[3 3] ; [6 7],[2.84210526 3.15789474] ; [6.15789474 6.84210526],0
b5,1,0.875975,0.024359,[3 3] ; [7 6],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
d3,1,0.875975,0.024359,[3 3] ; [7 6],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
v3,1,0.875975,0.024359,[3 3] ; [7 6],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
p2,1,0.943209,0.005075,[5 1] ; [11  2],[5.05263158 0.94736842] ; [10.94736842  2.05263158],0
a8,1,1.0,0.0,[1 5] ; [ 2 10],[1. 5.] ; [ 2. 10.],0
n2,1,1.0,0.0,[2 1] ; [4 2],[2. 1.] ; [4. 2.],0
