Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,51.824841,[134  31] ; [23 47],[110.23404255  54.76595745] ; [46.76595745 23.23404255],1
n6,1,8.6e-05,15.420572,[145  21] ; [45 24],[134.21276596  31.78723404] ; [55.78723404 13.21276596],1
d2,1,9.9e-05,15.155655,[91 75] ; [19 51],[77.37288136 88.62711864] ; [32.62711864 37.37288136],1
s8,1,0.000617,11.723451,[78 89] ; [16 54],[ 66.23628692 100.76371308] ; [27.76371308 42.23628692],1
s7,1,0.000897,11.028313,[84 75] ; [20 49],[72.52631579 86.47368421] ; [31.47368421 37.52631579],1
a8,1,0.001989,9.560115,[ 28 118] ; [ 2 63],[ 20.75829384 125.24170616] ; [ 9.24170616 55.75829384],0
d1,1,0.002588,9.077384,[112  56] ; [32 38],[101.64705882  66.35294118] ; [42.35294118 27.64705882],0
a5,1,0.003284,8.64269,[126  42] ; [39 31],[116.47058824  51.52941176] ; [48.52941176 21.47058824],0
a4,1,0.004517,8.063146,[79 89] ; [19 51],[69.17647059 98.82352941] ; [28.82352941 41.17647059],0
s4,1,0.005198,7.809058,[ 19 149] ; [18 52],[ 26.11764706 141.88235294] ; [10.88235294 59.11764706],0
a2,1,0.057167,3.617728,[ 37 131] ; [ 8 62],[ 31.76470588 136.23529412] ; [13.23529412 56.76470588],0
p11,1,0.101557,2.68092,[132  36] ; [48 22],[127.05882353  40.94117647] ; [52.94117647 17.05882353],0
d5,1,0.107109,2.596364,[144  24] ; [54 16],[139.76470588  28.23529412] ; [58.23529412 11.76470588],0
p4,1,0.12359,2.371226,[72 93] ; [23 47],[66.70212766 98.29787234] ; [28.29787234 41.70212766],0
p9,1,0.129555,2.297829,[135  29] ; [50 18],[130.77586207  33.22413793] ; [54.22413793 13.77586207],0
v1,1,0.136657,2.215202,[97 65] ; [34 35],[91.87012987 70.12987013] ; [39.12987013 29.87012987],0
p6,1,0.140024,2.177696,[ 46 118] ; [13 56],[ 41.527897 122.472103] ; [17.472103 51.527897],0
