Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.030383,4.6875,[1 3] ; [7 1],[2.66666667 1.33333333] ; [5.33333333 2.66666667],0
s5,1,0.044045,4.054847,[1 3] ; [6 1],[2.54545455 1.45454545] ; [4.45454545 2.54545455],0
n6,1,0.157299,2.0,[2 2] ; [7 1],[3. 1.] ; [6. 2.],0
b4,1,0.220671,1.5,[1 3] ; [5 3],[2. 2.] ; [4. 4.],0
s8,1,0.220671,1.5,[3 1] ; [3 5],[2. 2.] ; [4. 4.],0
p7,1,0.386476,0.75,[2 2] ; [6 2],[2.66666667 1.33333333] ; [5.33333333 2.66666667],0
v3,1,0.386916,0.748611,[1 2] ; [5 3],[1.63636364 1.36363636] ; [4.36363636 3.63636364],0
p4,1,0.407626,0.685714,[3 1] ; [4 4],[2.33333333 1.66666667] ; [4.66666667 3.33333333],0
a6,1,0.407626,0.685714,[3 1] ; [4 4],[2.33333333 1.66666667] ; [4.66666667 3.33333333],0
a4,1,0.583882,0.3,[1 3] ; [1 7],[0.66666667 3.33333333] ; [1.33333333 6.66666667],0
a5,1,0.583882,0.3,[3 1] ; [7 1],[3.33333333 0.66666667] ; [6.66666667 1.33333333],0
r4,1,0.583882,0.3,[3 1] ; [7 1],[3.33333333 0.66666667] ; [6.66666667 1.33333333],0
v2,1,0.621014,0.244444,[2 1] ; [4 4],[1.63636364 1.36363636] ; [4.36363636 3.63636364],0
b3,1,0.635256,0.225,[1 2] ; [3 3],[1.33333333 1.66666667] ; [2.66666667 3.33333333],0
b2,1,0.635256,0.225,[1 2] ; [3 3],[1.33333333 1.66666667] ; [2.66666667 3.33333333],0
a8,1,0.657619,0.196429,[1 3] ; [1 6],[0.72727273 3.27272727] ; [1.27272727 5.72727273],0
r1,1,0.665006,0.1875,[3 1] ; [5 3],[2.66666667 1.33333333] ; [5.33333333 2.66666667],0
s2,1,0.665006,0.1875,[1 3] ; [3 5],[1.33333333 2.66666667] ; [2.66666667 5.33333333],0
s3,1,0.665006,0.1875,[1 3] ; [3 5],[1.33333333 2.66666667] ; [2.66666667 5.33333333],0
a3,1,0.665006,0.1875,[3 1] ; [5 3],[2.66666667 1.33333333] ; [5.33333333 2.66666667],0
p3,1,0.665006,0.1875,[3 1] ; [5 3],[2.66666667 1.33333333] ; [5.33333333 2.66666667],0
v1,1,0.678845,0.171429,[2 2] ; [3 5],[1.66666667 2.33333333] ; [3.33333333 4.66666667],0
d1,1,0.678845,0.171429,[2 2] ; [3 5],[1.66666667 2.33333333] ; [3.33333333 4.66666667],0
b5,1,0.678845,0.171429,[2 2] ; [3 5],[1.66666667 2.33333333] ; [3.33333333 4.66666667],0
d5,1,1.0,0.0,[3 1] ; [6 2],[3. 1.] ; [6. 2.],0
d2,1,1.0,0.0,[1 3] ; [2 6],[1. 3.] ; [2. 6.],0
s7,1,1.0,0.0,[2 2] ; [4 4],[2. 2.] ; [4. 4.],0
