Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.001431,10.165414,[12  3] ; [ 7 18],[7.125 7.875] ; [11.875 13.125],0
p8,1,0.003289,8.64,[ 3 12] ; [17  8],[7.5 7.5] ; [12.5 12.5],0
s6,1,0.02017,5.397101,[ 4 11] ; [15  8],[7.5 7.5] ; [11.5 11.5],0
a6,1,0.022796,5.184,[6 9] ; [19  6],[9.375 5.625] ; [15.625  9.375],0
s4,1,0.031922,4.602672,[ 1 14] ; [ 9 15],[ 3.84615385 11.15384615] ; [ 6.15384615 17.84615385],0
b5,1,0.032877,4.552189,[ 5 10] ; [17  8],[8.25 6.75] ; [13.75 11.25],0
d5,1,0.038063,4.302222,[14  1] ; [16  9],[11.25  3.75] ; [18.75  6.25],0
d3,1,0.044991,4.018993,[13  2] ; [14 11],[10.125  4.875] ; [16.875  8.125],0
r2,1,0.04733,3.933611,[12  3] ; [11 12],[9.07894737 5.92105263] ; [13.92105263  9.07894737],0
p11,1,0.059697,3.545788,[7 8] ; [19  6],[9.75 5.25] ; [16.25  8.75],0
s7,1,0.096875,2.75625,[3 9] ; [13 11],[5.33333333 6.66666667] ; [10.66666667 13.33333333],0
b4,1,0.10247,2.666667,[10  5] ; [10 15],[7.5 7.5] ; [12.5 12.5],0
a4,1,0.109107,2.567111,[8 7] ; [ 7 18],[5.625 9.375] ; [ 9.375 15.625],0
d2,1,0.109107,2.567111,[8 7] ; [ 7 18],[5.625 9.375] ; [ 9.375 15.625],0
n5,1,0.109107,2.567111,[7 8] ; [18  7],[9.375 5.625] ; [15.625  9.375],0
u2,1,0.132026,2.268519,[1 5] ; [5 4],[2.4 3.6] ; [3.6 5.4],0
p6,1,0.149517,2.077174,[ 4 11] ; [12 12],[6.15384615 8.84615385] ; [ 9.84615385 14.15384615],0
d4,1,0.162486,1.950938,[14  1] ; [19  6],[12.375  2.625] ; [20.625  4.375],0
n2,1,0.217832,1.518595,[2 2] ; [9 2],[2.93333333 1.06666667] ; [8.06666667 2.93333333],0
r1,1,0.229421,1.444444,[ 5 10] ; [ 4 20],[ 3.46153846 11.53846154] ; [ 5.53846154 18.46153846],0
s8,1,0.249325,1.327083,[ 3 12] ; [ 9 15],[ 4.61538462 10.38461538] ; [ 7.38461538 16.61538462],0
s3,1,0.253995,1.301196,[6 9] ; [13  9],[7.7027027 7.2972973] ; [11.2972973 10.7027027],0
p4,1,0.285049,1.142857,[9 6] ; [19  6],[10.5  4.5] ; [17.5  7.5],0
s5,1,0.371776,0.797721,[ 5 10] ; [ 4 16],[ 3.85714286 11.14285714] ; [ 5.14285714 14.85714286],0
p5,1,0.414216,0.666667,[ 2 13] ; [ 6 19],[ 3. 12.] ; [ 5. 20.],0
u3,1,0.423711,0.64,[3 3] ; [3 7],[2.25 3.75] ; [3.75 6.25],0
v2,1,0.440059,0.596128,[ 5 10] ; [11 13],[6.15384615 8.84615385] ; [ 9.84615385 14.15384615],0
n3,1,0.474549,0.511364,[3 1] ; [6 5],[2.4 1.6] ; [6.6 4.4],0
p1,1,0.492717,0.470588,[ 3 12] ; [ 3 22],[ 2.25 12.75] ; [ 3.75 21.25],0
b2,1,0.518416,0.417043,[1 6] ; [ 5 14],[1.61538462 5.38461538] ; [ 4.38461538 14.61538462],0
b3,1,0.518416,0.417043,[1 6] ; [ 5 14],[1.61538462 5.38461538] ; [ 4.38461538 14.61538462],0
p9,1,0.522166,0.409613,[10  5] ; [19  6],[10.875  4.125] ; [18.125  6.875],0
v3,1,0.523593,0.40681,[ 3 12] ; [ 7 17],[ 3.84615385 11.15384615] ; [ 6.15384615 17.84615385],0
v1,1,0.542227,0.371429,[6 9] ; [12 12],[6.92307692 8.07692308] ; [11.07692308 12.92307692],0
s2,1,0.552033,0.353688,[7 8] ; [13 10],[7.89473684 7.10526316] ; [12.10526316 10.89473684],0
u1,1,0.586214,0.296296,[ 1 14] ; [ 3 22],[ 1.5 13.5] ; [ 2.5 22.5],0
s1,1,0.586214,0.296296,[ 1 14] ; [ 3 22],[ 1.5 13.5] ; [ 2.5 22.5],0
b1,1,0.607565,0.263736,[9 6] ; [17  8],[9.75 5.25] ; [16.25  8.75],0
n1,1,0.633553,0.227273,[2 2] ; [4 7],[1.6 2.4] ; [4.4 6.6],0
p10,1,0.672851,0.178286,[9 6] ; [16  8],[9.61538462 5.38461538] ; [15.38461538  8.61538462],0
a1,1,0.707932,0.140351,[ 1 14] ; [ 1 24],[ 0.75 14.25] ; [ 1.25 23.75],0
r3,1,0.717269,0.131125,[10  5] ; [14  9],[9.47368421 5.52631579] ; [14.52631579  8.47368421],0
v4,1,0.717269,0.131125,[10  5] ; [14  9],[9.47368421 5.52631579] ; [14.52631579  8.47368421],0
n6,1,0.718432,0.13,[12  3] ; [18  6],[11.53846154  3.46153846] ; [18.46153846  5.53846154],0
p2,1,0.769297,0.086022,[12  3] ; [19  6],[11.625  3.375] ; [19.375  5.625],0
a2,1,0.819129,0.052288,[ 2 13] ; [ 4 21],[ 2.25 12.75] ; [ 3.75 21.25],0
a5,1,0.864079,0.029304,[10  5] ; [16  9],[9.75 5.25] ; [16.25  8.75],0
n4,1,0.930542,0.007597,[10  5] ; [17  8],[10.125  4.875] ; [16.875  8.125],0
a7,1,0.934844,0.006683,[8 7] ; [13 12],[7.875 7.125] ; [13.125 11.875],0
a3,1,1.0,0.0,[9 6] ; [15 10],[9. 6.] ; [15. 10.],0
