Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,42.451846,[63  1] ; [1 4],[59.36231884  4.63768116] ; [4.63768116 0.36231884],1
r4,1,4e-06,21.307344,[59  5] ; [1 4],[55.65217391  8.34782609] ; [4.34782609 0.65217391],1
s1,1,0.000678,11.547548,[ 2 62] ; [2 3],[ 3.71014493 60.28985507] ; [0.28985507 4.71014493],1
r2,1,0.003354,8.604111,[61  3] ; [3 2],[59.36231884  4.63768116] ; [4.63768116 0.36231884],0
p9,1,0.014764,5.944443,[45 17] ; [1 4],[42.56716418 19.43283582] ; [3.43283582 1.56716418],0
p10,1,0.029761,4.72304,[43 20] ; [1 4],[40.76470588 22.23529412] ; [3.23529412 1.76470588],0
a7,1,0.031265,4.638333,[52 12] ; [2 3],[50.08695652 13.91304348] ; [3.91304348 1.08695652],0
p11,1,0.042601,4.111147,[42 22] ; [1 4],[39.88405797 24.11594203] ; [3.11594203 1.88405797],0
d5,1,0.042853,4.101198,[51 13] ; [2 3],[49.15942029 14.84057971] ; [3.84057971 1.15942029],0
n6,1,0.045876,3.986139,[41 22] ; [1 4],[38.91176471 24.08823529] ; [3.08823529 1.91176471],0
r1,1,0.05673,3.630501,[50 14] ; [2 3],[48.23188406 15.76811594] ; [3.76811594 1.23188406],0
v2,1,0.096958,2.754874,[47 16] ; [2 3],[45.39705882 17.60294118] ; [3.60294118 1.39705882],0
p7,1,0.133543,2.250829,[34 28] ; [1 4],[32.3880597 29.6119403] ; [2.6119403 2.3880597],0
a6,1,0.161288,1.962104,[45 19] ; [2 3],[43.5942029 20.4057971] ; [3.4057971 1.5942029],0
b5,1,0.21896,1.511172,[43 21] ; [2 3],[41.73913043 22.26086957] ; [3.26086957 1.73913043],0
v1,1,0.219429,1.5081,[33 31] ; [4 1],[34.31884058 29.68115942] ; [2.68115942 2.31884058],0
p1,1,0.260304,1.26714,[ 4 59] ; [1 4],[ 4.63235294 58.36764706] ; [0.36764706 4.63235294],0
n4,1,0.271499,1.209159,[29 35] ; [1 4],[27.82608696 36.17391304] ; [2.17391304 2.82608696],0
p3,1,0.374258,0.789478,[25 38] ; [3 2],[25.94117647 37.05882353] ; [2.05882353 2.94117647],0
s2,1,0.397942,0.714537,[26 38] ; [3 2],[26.89855072 37.10144928] ; [2.10144928 2.89855072],0
d1,1,0.439046,0.598774,[37 27] ; [2 3],[36.17391304 27.82608696] ; [2.82608696 2.17391304],0
a3,1,0.553804,0.350547,[43 21] ; [4 1],[43.5942029 20.4057971] ; [3.4057971 1.5942029],0
b3,1,0.564746,0.331553,[11 25] ; [1 1],[11.36842105 24.63157895] ; [0.63157895 1.36842105],0
b2,1,0.564746,0.331553,[11 25] ; [1 1],[11.36842105 24.63157895] ; [0.63157895 1.36842105],0
s7,1,0.567827,0.326332,[24 37] ; [1 3],[23.46153846 37.53846154] ; [1.53846154 2.46153846],0
p8,1,0.617324,0.249646,[30 32] ; [3 2],[30.53731343 31.46268657] ; [2.46268657 2.53731343],0
b4,1,0.629344,0.232952,[45 19] ; [3 2],[44.52173913 19.47826087] ; [3.47826087 1.52173913],0
a5,1,0.645638,0.211445,[45 19] ; [4 1],[45.44927536 18.55072464] ; [3.55072464 1.44927536],0
b1,1,0.685962,0.163491,[20 44] ; [2 3],[20.4057971 43.5942029] ; [1.5942029 3.4057971],0
d4,1,0.716436,0.131933,[55  9] ; [4 1],[54.72463768  9.27536232] ; [4.27536232 0.72463768],0
s3,1,0.742506,0.107937,[30 33] ; [2 3],[29.64705882 33.35294118] ; [2.35294118 2.64705882],0
a4,1,0.742648,0.107812,[21 43] ; [2 3],[21.33333333 42.66666667] ; [1.66666667 3.33333333],0
a2,1,0.796889,0.066242,[10 54] ; [1 4],[10.20289855 53.79710145] ; [0.79710145 4.20289855],0
s4,1,0.860761,0.030767,[15 49] ; [1 4],[14.84057971 49.15942029] ; [1.15942029 3.84057971],0
d2,1,0.870592,0.026538,[28 36] ; [2 3],[27.82608696 36.17391304] ; [2.17391304 2.82608696],0
d3,1,0.922016,0.009583,[50 14] ; [4 1],[50.08695652 13.91304348] ; [3.91304348 1.08695652],0
p4,1,0.93273,0.007125,[26 36] ; [2 3],[25.91044776 36.08955224] ; [2.08955224 2.91044776],0
s6,1,0.988858,0.000195,[38 25] ; [3 2],[37.98529412 25.01470588] ; [3.01470588 1.98529412],0
