Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,128.034546,[83 36] ; [526   8],[110.98162328   8.01837672] ; [498.01837672  35.98162328],1
r2,1,0.0,48.137257,[96 20] ; [521  11],[110.45061728   5.54938272] ; [506.54938272  25.45061728],1
v4,1,0.0,26.591522,[103  15] ; [521  12],[113.10599078   4.89400922] ; [510.89400922  22.10599078],1
a5,1,2e-06,22.982707,[69 50] ; [421 112],[89.43251534 29.56748466] ; [400.56748466 132.43251534],1
u1,1,8e-06,19.871213,[  6 113] ; [123 411],[23.50842266 95.49157734] ; [105.49157734 428.50842266],1
d1,1,2.3e-05,17.886919,[51 68] ; [341 193],[71.43644717 47.56355283] ; [320.56355283 213.43644717],1
d3,1,5e-05,16.442263,[62 56] ; [381 150],[80.54545455 37.45454545] ; [362.45454545 168.54545455],1
a2,1,7.6e-05,15.658875,[ 14 105] ; [157 377],[31.16232772 87.83767228] ; [139.83767228 394.16232772],1
u3,1,0.000157,14.281794,[15 31] ; [86 47],[25.95530726 20.04469274] ; [75.04469274 57.95530726],1
a7,1,0.000164,14.20471,[68 51] ; [396 136],[84.8172043 34.1827957] ; [379.1827957 152.8172043],1
d4,1,0.000289,13.14127,[84 35] ; [448  81],[97.69753086 21.30246914] ; [434.30246914  94.69753086],1
d2,1,0.000381,12.623245,[42 76] ; [285 246],[59.45454545 58.54545455] ; [267.54545455 263.45454545],1
d5,1,0.000424,12.425534,[84 35] ; [448  83],[97.39692308 21.60307692] ; [434.60307692  96.39692308],1
p7,1,0.001185,10.513519,[63 54] ; [360 158],[77.93858268 39.06141732] ; [345.06141732 172.93858268],0
a4,1,0.001287,10.361095,[40 79] ; [265 266],[55.83846154 63.16153846] ; [249.16153846 281.83846154],0
s5,1,0.001345,10.279151,[24 87] ; [194 322],[38.59330144 72.40669856] ; [179.40669856 336.59330144],0
a3,1,0.001662,9.89029,[73 46] ; [401 130],[86.77846154 32.22153846] ; [387.22153846 143.77846154],0
n4,1,0.002345,9.258004,[96 23] ; [483  51],[105.51454824  13.48545176] ; [473.48545176  60.51454824],0
s6,1,0.002523,9.124017,[68 47] ; [384 140],[81.3458529 33.6541471] ; [370.6541471 153.3458529],0
s8,1,0.005236,7.796095,[43 76] ; [266 263],[56.74537037 62.25462963] ; [252.25462963 276.74537037],0
v1,1,0.006627,7.371385,[54 60] ; [320 203],[66.93249608 47.06750392] ; [307.06750392 215.93249608],0
s2,1,0.007538,7.1401,[51 68] ; [296 229],[64.11956522 54.88043478] ; [282.88043478 242.11956522],0
s7,1,0.007821,7.0741,[47 65] ; [283 224],[59.7092084 52.2907916] ; [270.2907916 236.7092084],0
v2,1,0.009442,6.737188,[54 60] ; [311 202],[66.36363636 47.63636364] ; [298.63636364 214.36363636],0
a6,1,0.011293,6.418665,[70 49] ; [375 155],[81.59476117 37.40523883] ; [363.40523883 166.59476117],0
p4,1,0.01166,6.361854,[64 54] ; [352 177],[75.87017002 42.12982998] ; [340.12982998 188.87017002],0
p8,1,0.026022,4.954546,[54 63] ; [300 222],[64.81690141 52.18309859] ; [289.18309859 232.81690141],0
v3,1,0.026096,4.949639,[40 76] ; [236 279],[50.7385103 65.2614897] ; [225.2614897 289.7385103],0
p2,1,0.043118,4.090787,[92 25] ; [457  74],[99.125 17.875] ; [449.875  81.125],0
u2,1,0.049588,3.855321,[19 26] ; [78 54],[24.66101695 20.33898305] ; [72.33898305 59.66101695],0
s3,1,0.070519,3.270905,[61 58] ; [316 208],[69.77138414 49.22861586] ; [307.22861586 216.77138414],0
n6,1,0.092828,2.824637,[103  16] ; [486  45],[107.83230769  11.16769231] ; [481.16769231  49.83230769],0
b3,1,0.099257,2.717448,[21 48] ; [136 195],[27.0825 41.9175] ; [129.9175 201.0825],0
b2,1,0.099257,2.717448,[21 48] ; [136 195],[27.0825 41.9175] ; [129.9175 201.0825],0
p12,1,0.106349,2.607647,[  6 111] ; [ 52 476],[ 10.52093023 106.47906977] ; [ 47.47906977 480.52093023],0
p6,1,0.224678,1.474239,[40 76] ; [213 312],[45.78471139 70.21528861] ; [207.21528861 317.78471139],0
b4,1,0.261065,1.263101,[74 45] ; [302 232],[68.52067381 50.47932619] ; [307.47932619 226.52067381],0
p3,1,0.281873,1.158035,[57 61] ; [285 245],[62.27777778 55.72222222] ; [279.72222222 250.27777778],0
a8,1,0.308497,1.037097,[15 98] ; [ 82 394],[18.60950764 94.39049236] ; [ 78.39049236 397.60950764],0
s4,1,0.360396,0.836512,[22 97] ; [ 79 444],[ 18.7211838 100.2788162] ; [ 82.2788162 440.7211838],0
s1,1,0.368127,0.809977,[  2 116] ; [ 17 506],[  3.49765991 114.50234009] ; [ 15.50234009 507.49765991],0
u4,1,0.427967,0.628335,[  2 117] ; [ 16 518],[  3.28024502 115.71975498] ; [ 14.71975498 519.28024502],0
p9,1,0.456684,0.554011,[107  12] ; [460  66],[104.60930233  14.39069767] ; [462.39069767  63.60930233],0
b5,1,0.483796,0.490295,[75 44] ; [318 216],[71.618683 47.381317] ; [321.381317 212.618683],0
p10,1,0.491398,0.473464,[99 19] ; [455  72],[101.35193798  16.64806202] ; [452.64806202  74.35193798],0
n1,1,0.500163,0.45459,[17 19] ; [37 54],[15.30708661 20.69291339] ; [38.69291339 52.30708661],0
n2,1,0.598184,0.277744,[31  7] ; [72 21],[29.8778626  8.1221374] ; [73.1221374 19.8778626],0
n3,1,0.680497,0.169567,[29  9] ; [67 25],[28.06153846  9.93846154] ; [67.93846154 24.06153846],0
b1,1,0.731524,0.117717,[45 74] ; [211 323],[46.65237366 72.34762634] ; [209.34762634 324.65237366],0
p11,1,0.757405,0.095413,[98 21] ; [446  88],[99.13629403 19.86370597] ; [444.86370597  89.13629403],0
p1,1,0.791462,0.069914,[ 11 108] ; [ 45 485],[ 10.26810478 108.73189522] ; [ 45.73189522 484.26810478],0
p5,1,0.831709,0.045161,[ 15 103] ; [ 71 457],[ 15.70897833 102.29102167] ; [ 70.29102167 457.70897833],0
a1,1,0.888531,0.019646,[  5 114] ; [ 24 510],[  5.2848392 113.7151608] ; [ 23.7151608 510.2848392],0
