Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000491,12.15,[ 2 43] ; [4 5],[ 5. 40.] ; [1. 8.],1
d3,1,0.003289,8.64,[16 29] ; [8 1],[20. 25.] ; [4. 5.],0
v1,1,0.004326,8.141538,[ 9 36] ; [6 3],[12.5 32.5] ; [2.5 6.5],0
p10,1,0.022367,5.216981,[16 28] ; [7 2],[19.09433962 24.90566038] ; [3.90566038 5.09433962],0
p5,1,0.024413,5.065049,[ 3 40] ; [3 6],[ 4.96153846 38.03846154] ; [1.03846154 7.96153846],0
p4,1,0.029537,4.736065,[ 9 35] ; [5 4],[11.62264151 32.37735849] ; [2.37735849 6.62264151],0
a6,1,0.037998,4.305103,[18 27] ; [7 2],[20.83333333 24.16666667] ; [4.16666667 4.83333333],0
n2,1,0.040181,4.210218,[10 14] ; [6 1],[12.38709677 11.61290323] ; [3.61290323 3.38709677],0
a2,1,0.046262,3.972036,[ 4 41] ; [3 6],[ 5.83333333 39.16666667] ; [1.16666667 7.83333333],0
n4,1,0.061129,3.506494,[30 15] ; [3 6],[27.5 17.5] ; [5.5 3.5],0
p6,1,0.06737,3.34596,[ 2 42] ; [2 7],[ 3.32075472 40.67924528] ; [0.67924528 8.32075472],0
p9,1,0.103823,2.645807,[16 27] ; [6 3],[18.19230769 24.80769231] ; [3.80769231 5.19230769],0
d4,1,0.141645,2.16,[23 22] ; [7 2],[25. 20.] ; [5. 4.],0
a7,1,0.141645,2.16,[18 27] ; [6 3],[20. 25.] ; [4. 5.],0
p2,1,0.176052,1.830644,[14 30] ; [5 4],[15.77358491 28.22641509] ; [3.22641509 5.77358491],0
p8,1,0.178155,1.812946,[10 34] ; [4 5],[11.62264151 32.37735849] ; [2.37735849 6.62264151],0
u1,1,0.197396,1.661538,[ 1 44] ; [1 8],[ 1.66666667 43.33333333] ; [0.33333333 8.66666667],0
p11,1,0.221383,1.495385,[11 34] ; [4 5],[12.5 32.5] ; [2.5 6.5],0
a5,1,0.273322,1.2,[21 24] ; [6 3],[22.5 22.5] ; [4.5 4.5],0
b1,1,0.313358,1.016471,[27 18] ; [7 2],[28.33333333 16.66666667] ; [5.66666667 3.33333333],0
r1,1,0.32175,0.981818,[17 28] ; [5 4],[18.33333333 26.66666667] ; [3.66666667 5.33333333],0
b4,1,0.32175,0.981818,[28 17] ; [4 5],[26.66666667 18.33333333] ; [5.33333333 3.66666667],0
p7,1,0.395957,0.720571,[10 33] ; [3 5],[10.96078431 32.03921569] ; [2.03921569 5.96078431],0
v3,1,0.400259,0.707548,[ 9 35] ; [3 6],[ 9.96226415 34.03773585] ; [2.03773585 6.96226415],0
r2,1,0.408512,0.683126,[30 13] ; [5 4],[28.94230769 14.05769231] ; [6.05769231 2.94230769],0
s3,1,0.414352,0.66628,[ 5 37] ; [2 7],[ 5.76470588 36.23529412] ; [1.23529412 7.76470588],0
p12,1,0.42542,0.635294,[ 2 43] ; [1 8],[ 2.5 42.5] ; [0.5 8.5],0
d1,1,0.438578,0.6,[14 31] ; [4 5],[15. 30.] ; [3. 6.],0
v4,1,0.462433,0.54,[24 21] ; [6 3],[25. 20.] ; [5. 4.],0
s6,1,0.476629,0.506567,[10 35] ; [3 6],[10.83333333 34.16666667] ; [2.16666667 6.83333333],0
s4,1,0.493187,0.469565,[ 6 39] ; [2 7],[ 6.66666667 38.33333333] ; [1.33333333 7.66666667],0
n6,1,0.496829,0.461704,[19 25] ; [5 4],[19.9245283 24.0754717] ; [4.0754717 4.9245283],0
d5,1,0.53831,0.378682,[25 20] ; [6 3],[25.83333333 19.16666667] ; [5.16666667 3.83333333],0
a3,1,0.548992,0.359126,[24 19] ; [6 3],[24.80769231 18.19230769] ; [5.19230769 3.80769231],0
a4,1,0.588064,0.293379,[15 28] ; [4 5],[15.71153846 27.28846154] ; [3.28846154 5.71153846],0
n1,1,0.598309,0.277555,[11 13] ; [4 3],[11.61290323 12.38709677] ; [3.38709677 3.61290323],0
b3,1,0.615496,0.252249,[12 19] ; [2 5],[11.42105263 19.57894737] ; [2.57894737 4.42105263],0
b2,1,0.615496,0.252249,[12 19] ; [2 5],[11.42105263 19.57894737] ; [2.57894737 4.42105263],0
v2,1,0.668238,0.18367,[ 7 36] ; [2 7],[ 7.44230769 35.55769231] ; [1.55769231 7.44230769],0
n5,1,0.683553,0.166154,[32 13] ; [7 2],[32.5 12.5] ; [6.5 2.5],0
b5,1,0.708023,0.14026,[17 28] ; [4 5],[17.5 27.5] ; [3.5 5.5],0
s5,1,0.856225,0.032827,[ 6 39] ; [1 8],[ 5.83333333 39.16666667] ; [1.16666667 7.83333333],0
d2,1,0.857344,0.032312,[21 23] ; [4 5],[20.75471698 23.24528302] ; [4.24528302 4.75471698],0
n3,1,0.860116,0.031056,[ 9 14] ; [3 4],[ 9.2 13.8] ; [2.8 4.2],0
u3,1,0.865215,0.028812,[ 6 15] ; [1 2],[ 6.125 14.875] ; [0.875 2.125],0
u2,1,0.873382,0.025397,[ 8 13] ; [1 2],[ 7.875 13.125] ; [1.125 1.875],0
p3,1,0.973685,0.001088,[10 34] ; [2 7],[ 9.96226415 34.03773585] ; [2.03773585 6.96226415],0
