Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,1e-05,19.451923,[ 4 28] ; [32 20],[13.71428571 18.28571429] ; [22.28571429 29.71428571],1
r3,1,0.000145,14.43981,[ 8 24] ; [34 16],[16.3902439 15.6097561] ; [25.6097561 24.3902439],1
p2,1,0.000401,12.529586,[ 7 25] ; [32 20],[14.85714286 17.14285714] ; [24.14285714 27.85714286],1
v4,1,0.001778,9.765228,[11 21] ; [36 16],[17.9047619 14.0952381] ; [29.0952381 22.9047619],0
p4,1,0.004907,7.913423,[ 2 30] ; [17 35],[ 7.23809524 24.76190476] ; [11.76190476 40.23809524],0
s8,1,0.021841,5.258413,[ 1 31] ; [11 41],[ 4.57142857 27.42857143] ; [ 7.42857143 44.57142857],0
n5,1,0.026068,4.951484,[15 17] ; [37 15],[19.80952381 12.19047619] ; [32.19047619 19.80952381],0
a1,1,0.026862,4.899636,[ 7 25] ; [ 3 49],[ 3.80952381 28.19047619] ; [ 6.19047619 45.80952381],0
b4,1,0.032068,4.594872,[16 16] ; [38 14],[20.57142857 11.42857143] ; [33.42857143 18.57142857],0
p8,1,0.037503,4.327402,[ 1 30] ; [10 42],[ 4.10843373 26.89156627] ; [ 6.89156627 45.10843373],0
s2,1,0.04702,3.944656,[ 3 29] ; [14 37],[ 6.55421687 25.44578313] ; [10.44578313 40.55421687],0
p9,1,0.047313,3.934209,[11 20] ; [28 20],[15.30379747 15.69620253] ; [23.69620253 24.30379747],0
s7,1,0.049066,3.873103,[ 4 26] ; [16 32],[ 7.69230769 22.30769231] ; [12.30769231 35.69230769],0
b2,1,0.049124,3.871117,[11  7] ; [10 21],[ 7.71428571 10.28571429] ; [13.28571429 17.71428571],0
b3,1,0.049124,3.871117,[11  7] ; [10 21],[ 7.71428571 10.28571429] ; [13.28571429 17.71428571],0
d4,1,0.053216,3.737125,[18 14] ; [39 12],[21.97590361 10.02409639] ; [35.02409639 15.97590361],0
b5,1,0.056574,3.635074,[11 21] ; [29 23],[15.23809524 16.76190476] ; [24.76190476 27.23809524],0
p10,1,0.074843,3.173482,[ 9 22] ; [25 26],[12.85365854 18.14634146] ; [21.14634146 29.85365854],0
s6,1,0.084038,2.985027,[ 5 27] ; [17 35],[ 8.38095238 23.61904762] ; [13.61904762 38.38095238],0
n2,1,0.085986,2.947952,[ 6 11] ; [15  9],[8.70731707 8.29268293] ; [12.29268293 11.70731707],0
n3,1,0.109769,2.557545,[ 6 11] ; [14  9],[8.5 8.5] ; [11.5 11.5],0
n4,1,0.114727,2.487865,[16 16] ; [35 17],[19.42857143 12.57142857] ; [31.57142857 20.42857143],0
p3,1,0.124869,2.35516,[ 3 28] ; [12 40],[ 5.60240964 25.39759036] ; [ 9.39759036 42.60240964],0
v2,1,0.191717,1.704374,[ 8 23] ; [20 30],[10.71604938 20.28395062] ; [17.28395062 32.71604938],0
d1,1,0.239106,1.385859,[13 19] ; [28 24],[15.61904762 16.38095238] ; [25.38095238 26.61904762],0
d5,1,0.266093,1.236779,[19 13] ; [37 15],[21.33333333 10.66666667] ; [34.66666667 17.33333333],0
b1,1,0.284527,1.145338,[18 14] ; [23 29],[15.61904762 16.38095238] ; [25.38095238 26.61904762],0
s1,1,0.298319,1.081694,[ 3 29] ; [ 2 50],[ 1.9047619 30.0952381] ; [ 3.0952381 48.9047619],0
a7,1,0.322621,0.97829,[18 14] ; [23 28],[15.80722892 16.19277108] ; [25.19277108 25.80722892],0
v1,1,0.334772,0.93035,[11 21] ; [12 37],[ 9.08641975 22.91358025] ; [13.91358025 35.08641975],0
u3,1,0.342953,0.899362,[ 3 11] ; [ 8 14],[4.27777778 9.72222222] ; [ 6.72222222 15.27777778],0
d3,1,0.491539,0.473156,[16 16] ; [30 22],[17.52380952 14.47619048] ; [28.47619048 23.52380952],0
a8,1,0.516744,0.420388,[ 1 31] ; [ 3 44],[ 1.62025316 30.37974684] ; [ 2.37974684 44.62025316],0
p1,1,0.589779,0.290689,[ 5 27] ; [ 6 46],[ 4.19047619 27.80952381] ; [ 6.80952381 45.19047619],0
s3,1,0.591157,0.288541,[ 8 23] ; [16 35],[ 9.07317073 21.92682927] ; [14.92682927 36.07317073],0
d2,1,0.595075,0.282488,[16 16] ; [22 28],[14.82926829 17.17073171] ; [23.17073171 26.82926829],0
a5,1,0.606645,0.265089,[16 16] ; [29 23],[17.14285714 14.85714286] ; [27.85714286 24.14285714],0
r2,1,0.639124,0.219889,[19 12] ; [28 22],[17.98765432 13.01234568] ; [29.01234568 20.98765432],0
v3,1,0.682411,0.167424,[ 8 24] ; [11 41],[ 7.23809524 24.76190476] ; [11.76190476 40.23809524],0
a6,1,0.731781,0.117483,[16 16] ; [24 28],[15.23809524 16.76190476] ; [24.76190476 27.23809524],0
a2,1,0.783182,0.075721,[ 5 27] ; [ 7 45],[ 4.57142857 27.42857143] ; [ 7.42857143 44.57142857],0
u2,1,0.836664,0.042503,[ 4 10] ; [ 7 15],[4.27777778 9.72222222] ; [ 6.72222222 15.27777778],0
n1,1,0.896219,0.017014,[ 6 11] ; [ 8 16],[ 5.80487805 11.19512195] ; [ 8.19512195 15.80487805],0
a4,1,0.898392,0.016305,[13 19] ; [20 31],[12.72289157 19.27710843] ; [20.27710843 30.72289157],0
s4,1,0.899051,0.016093,[ 4 28] ; [ 7 45],[ 4.19047619 27.80952381] ; [ 6.80952381 45.19047619],0
r1,1,0.943358,0.005048,[ 9 23] ; [15 37],[ 9.14285714 22.85714286] ; [14.85714286 37.14285714],0
a3,1,0.973502,0.001103,[18 13] ; [30 22],[17.92771084 13.07228916] ; [30.07228916 21.92771084],0
s5,1,0.994035,5.6e-05,[ 5 27] ; [ 8 43],[ 5.01204819 26.98795181] ; [ 7.98795181 43.01204819],0
