Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000386,12.599682,[12 16] ; [109  34],[19.8128655  8.1871345] ; [101.1871345  41.8128655],1
d5,1,0.002732,8.978246,[18 11] ; [125  21],[23.69714286  5.30285714] ; [119.30285714  26.69714286],0
a7,1,0.002987,8.815624,[15 14] ; [115  32],[21.42045455  7.57954545] ; [108.57954545  38.42045455],0
d4,1,0.003827,8.364343,[18 12] ; [121  24],[23.82857143  6.17142857] ; [115.17142857  29.82857143],0
d1,1,0.007723,7.096647,[10 20] ; [88 59],[16.61016949 13.38983051] ; [81.38983051 65.61016949],0
a3,1,0.009854,6.661111,[14 16] ; [103  42],[20.05714286  9.94285714] ; [96.94285714 48.05714286],0
d3,1,0.015973,5.805811,[14 15] ; [104  42],[19.55428571  9.44571429] ; [98.44571429 47.55428571],0
a5,1,0.022072,5.240132,[15 15] ; [105  42],[20.33898305  9.66101695] ; [99.66101695 47.33898305],0
s8,1,0.029427,4.742445,[ 7 23] ; [65 80],[12.34285714 17.65714286] ; [59.65714286 85.34285714],0
a4,1,0.038722,4.27301,[ 9 21] ; [74 72],[14.14772727 15.85227273] ; [68.85227273 77.14772727],0
v4,1,0.046847,3.950874,[26  4] ; [140   6],[28.29545455  1.70454545] ; [137.70454545   8.29545455],0
u1,1,0.055681,3.661577,[ 2 28] ; [ 32 115],[ 5.76271186 24.23728814] ; [ 28.23728814 118.76271186],0
s4,1,0.05714,3.618515,[11 19] ; [ 30 116],[ 6.98863636 23.01136364] ; [ 34.01136364 111.98863636],0
a6,1,0.058675,3.574434,[14 16] ; [95 51],[18.57954545 11.42045455] ; [90.42045455 55.57954545],0
s7,1,0.070477,3.271867,[10 19] ; [70 62],[14.40993789 14.59006211] ; [65.59006211 66.40993789],0
a2,1,0.071984,3.237186,[ 4 26] ; [ 43 104],[ 7.96610169 22.03389831] ; [ 39.03389831 107.96610169],0
n4,1,0.074774,3.174988,[15 15] ; [98 48],[19.26136364 10.73863636] ; [93.73863636 52.26136364],0
v2,1,0.092837,2.824481,[11 19] ; [75 65],[15.17647059 14.82352941] ; [70.82352941 69.17647059],0
n5,1,0.147029,2.102812,[15 15] ; [93 52],[18.51428571 11.48571429] ; [89.48571429 55.51428571],0
v1,1,0.162459,1.951189,[10 20] ; [69 77],[13.46590909 16.53409091] ; [65.53409091 80.46590909],0
n6,1,0.188544,1.728956,[25  5] ; [104  41],[22.11428571  7.88571429] ; [106.88571429  38.11428571],0
p10,1,0.232428,1.42594,[14 15] ; [85 56],[16.88823529 12.11176471] ; [82.11176471 58.88823529],0
u3,1,0.242327,1.367003,[8 8] ; [28 14],[9.93103448 6.06896552] ; [26.06896552 15.93103448],0
d2,1,0.25206,1.311852,[13 17] ; [80 66],[15.85227273 14.14772727] ; [77.14772727 68.85227273],0
v3,1,0.290969,1.115133,[ 8 21] ; [52 85],[10.48192771 18.51807229] ; [49.51807229 87.48192771],0
p7,1,0.302447,1.063373,[18 12] ; [71 72],[15.43352601 14.56647399] ; [73.56647399 69.43352601],0
n2,1,0.321584,0.982494,[8 1] ; [39 14],[6.82258065 2.17741935] ; [40.17741935 12.82258065],0
b4,1,0.353581,0.860564,[15 15] ; [87 60],[17.28813559 12.71186441] ; [84.71186441 62.28813559],0
b5,1,0.358522,0.843063,[22  8] ; [95 52],[19.83050847 10.16949153] ; [97.16949153 49.83050847],0
s2,1,0.37774,0.778045,[14 16] ; [81 65],[16.19318182 13.80681818] ; [78.80681818 67.19318182],0
p6,1,0.443442,0.58736,[ 8 21] ; [50 93],[ 9.77906977 19.22093023] ; [48.22093023 94.77906977],0
p8,1,0.50916,0.435793,[ 9 20] ; [54 90],[10.56069364 18.43930636] ; [52.43930636 91.56069364],0
s1,1,0.537087,0.380965,[ 1 29] ; [  9 136],[ 1.71428571 28.28571429] ; [  8.28571429 136.71428571],0
s3,1,0.564228,0.332436,[15 14] ; [84 62],[16.40571429 12.59428571] ; [82.59428571 63.40571429],0
p1,1,0.612072,0.257169,[ 2 28] ; [ 14 132],[ 2.72727273 27.27272727] ; [ 13.27272727 132.72727273],0
p2,1,0.617588,0.249272,[20 10] ; [104  42],[21.13636364  8.86363636] ; [102.86363636  43.13636364],0
a8,1,0.668469,0.183398,[ 3 26] ; [ 17 111],[ 3.69426752 25.30573248] ; [ 16.30573248 111.69426752],0
s5,1,0.669033,0.182735,[11 17] ; [48 89],[10.01212121 17.98787879] ; [48.98787879 88.01212121],0
b1,1,0.713821,0.134491,[14 16] ; [74 73],[14.91525424 15.08474576] ; [73.08474576 73.91525424],0
p5,1,0.758794,0.094289,[ 3 27] ; [ 12 133],[ 2.57142857 27.42857143] ; [ 12.42857143 132.57142857],0
n1,1,0.800093,0.064124,[4 5] ; [25 26],[4.35 4.65] ; [24.65 26.35],0
b3,1,0.920235,0.010028,[ 4 10] ; [21 56],[ 3.84615385 10.15384615] ; [21.15384615 55.84615385],0
b2,1,0.920235,0.010028,[ 4 10] ; [21 56],[ 3.84615385 10.15384615] ; [21.15384615 55.84615385],0
p3,1,0.930258,0.00766,[13 17] ; [62 84],[12.78409091 17.21590909] ; [62.21590909 83.78409091],0
p4,1,0.945926,0.0046,[15 14] ; [74 71],[14.83333333 14.16666667] ; [74.16666667 70.83333333],0
p9,1,0.979257,0.000676,[19  9] ; [96 46],[18.94117647  9.05882353] ; [96.05882353 45.94117647],0
a1,1,0.98503,0.000352,[ 1 29] ; [  5 142],[ 1.01694915 28.98305085] ; [  4.98305085 142.01694915],0
n3,1,0.988186,0.000219,[7 2] ; [39 11],[7.01694915 1.98305085] ; [38.98305085 11.01694915],0
u2,1,1.0,0.0,[8 8] ; [21 21],[8. 8.] ; [21. 21.],0
