Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,6.2e-05,16.034898,[76 13] ; [31 25],[65.67586207 23.32413793] ; [41.32413793 14.67586207],1
v1,1,0.000476,12.209091,[59 29] ; [20 34],[48.95774648 39.04225352] ; [30.04225352 23.95774648],1
p7,1,0.000518,12.05099,[73 16] ; [31 25],[63.83448276 25.16551724] ; [40.16551724 15.83448276],1
p10,1,0.000996,10.834417,[78 10] ; [37 19],[70.27777778 17.72222222] ; [44.72222222 11.27777778],1
v2,1,0.001748,9.797356,[58 29] ; [21 32],[49.09285714 37.90714286] ; [29.90714286 23.09285714],0
p9,1,0.002131,9.433562,[78 10] ; [38 18],[70.88888889 17.11111111] ; [45.11111111 10.88888889],0
v3,1,0.008317,6.963879,[42 45] ; [13 38],[34.67391304 52.32608696] ; [20.32608696 30.67391304],0
p3,1,0.00882,6.858952,[63 25] ; [28 28],[55.61111111 32.38888889] ; [35.38888889 20.61111111],0
p11,1,0.008882,6.84649,[81  8] ; [42 14],[75.49655172 13.50344828] ; [47.50344828  8.49655172],0
p2,1,0.016591,5.739136,[83  6] ; [44 11],[78.49305556 10.50694444] ; [48.50694444  6.49305556],0
s2,1,0.047875,3.914372,[13 74] ; [16 40],[17.64335664 69.35664336] ; [11.35664336 44.64335664],0
a5,1,0.082377,3.01737,[69 20] ; [36 20],[64.44827586 24.55172414] ; [40.55172414 15.44827586],0
d1,1,0.093076,2.820352,[54 35] ; [26 30],[49.10344828 39.89655172] ; [30.89655172 25.10344828],0
d2,1,0.105149,2.625652,[44 45] ; [20 36],[39.28275862 49.71724138] ; [24.71724138 31.28275862],0
s3,1,0.106754,2.601622,[20 66] ; [20 36],[24.22535211 61.77464789] ; [15.77464789 40.22535211],0
n5,1,0.114635,2.489125,[68 21] ; [36 20],[63.83448276 25.16551724] ; [40.16551724 15.83448276],0
s8,1,0.118166,2.441463,[28 61] ; [11 45],[23.93793103 65.06206897] ; [15.06206897 40.93793103],0
p6,1,0.122554,2.384368,[39 50] ; [17 38],[34.61111111 54.38888889] ; [21.38888889 33.61111111],0
r4,1,0.130955,2.281141,[77 12] ; [43 13],[73.65517241 15.34482759] ; [46.34482759  9.65517241],0
n6,1,0.139071,2.188209,[76 12] ; [43 13],[72.72222222 15.27777778] ; [46.27777778  9.72222222],0
u2,1,0.139919,2.178854,[17 13] ; [ 5 10],[14.66666667 15.33333333] ; [7.33333333 7.66666667],0
v4,1,0.153537,2.036756,[86  3] ; [51  5],[84.08965517  4.91034483] ; [52.91034483  3.08965517],0
u1,1,0.178427,1.810675,[ 9 80] ; [10 46],[11.66206897 77.33793103] ; [ 7.33793103 48.66206897],0
d3,1,0.209533,1.574651,[63 26] ; [34 22],[59.53793103 29.46206897] ; [37.46206897 18.53793103],0
n4,1,0.221489,1.494699,[70 19] ; [39 17],[66.90344828 22.09655172] ; [42.09655172 13.90344828],0
a7,1,0.258431,1.277141,[68 21] ; [38 18],[65.06206897 23.93793103] ; [40.93793103 15.06206897],0
p1,1,0.315248,1.008561,[11 78] ; [ 4 52],[ 9.20689655 79.79310345] ; [ 5.79310345 50.20689655],0
n1,1,0.315594,1.007119,[7 8] ; [ 4 10],[5.68965517 9.31034483] ; [5.31034483 8.68965517],0
n3,1,0.36131,0.833333,[11  4] ; [13  2],[12.  3.] ; [12.  3.],0
s5,1,0.368995,0.807047,[15 74] ; [ 6 47],[13.16197183 75.83802817] ; [ 7.83802817 45.16197183],0
a4,1,0.432961,0.614867,[37 52] ; [27 29],[39.28275862 49.71724138] ; [24.71724138 31.28275862],0
p5,1,0.455152,0.557789,[10 79] ; [ 4 50],[ 8.71328671 80.28671329] ; [ 5.28671329 48.71328671],0
b4,1,0.51539,0.423109,[51 38] ; [29 27],[49.10344828 39.89655172] ; [30.89655172 25.10344828],0
a6,1,0.517599,0.418675,[59 30] ; [40 16],[60.76551724 28.23448276] ; [38.23448276 17.76551724],0
u3,1,0.535825,0.383333,[16 14] ; [7 9],[15. 15.] ; [8. 8.],0
s1,1,0.568475,0.32524,[ 3 85] ; [ 3 53],[ 3.66666667 84.33333333] ; [ 2.33333333 53.66666667],0
a3,1,0.580132,0.306021,[59 29] ; [40 16],[60.5 27.5] ; [38.5 17.5],0
n2,1,0.589876,0.290538,[12  3] ; [10  4],[11.37931034  3.62068966] ; [10.62068966  3.37931034],0
a1,1,0.635484,0.224698,[ 2 87] ; [ 2 54],[ 2.45517241 86.54482759] ; [ 1.54482759 54.45517241],0
a2,1,0.669007,0.182766,[18 71] ; [13 43],[19.02758621 69.97241379] ; [11.97241379 44.02758621],0
d5,1,0.669007,0.182766,[71 18] ; [43 13],[69.97241379 19.02758621] ; [44.02758621 11.97241379],0
b2,1,0.713736,0.134574,[24 33] ; [17 20],[24.86170213 32.13829787] ; [16.13829787 20.86170213],0
b3,1,0.713736,0.134574,[24 33] ; [17 20],[24.86170213 32.13829787] ; [16.13829787 20.86170213],0
s7,1,0.720722,0.127802,[27 56] ; [16 38],[26.05109489 56.94890511] ; [16.94890511 37.05109489],0
d4,1,0.726462,0.122385,[69 20] ; [42 14],[68.13103448 20.86896552] ; [42.86896552 13.13103448],0
b5,1,0.744616,0.106111,[50 39] ; [33 23],[50.94482759 38.05517241] ; [32.05517241 23.94482759],0
r3,1,0.814217,0.05522,[80  9] ; [51  5],[80.40689655  8.59310345] ; [50.59310345  5.40689655],0
b1,1,0.846953,0.037252,[38 51] ; [23 33],[37.44137931 51.55862069] ; [23.55862069 32.44137931],0
r2,1,0.897,0.016758,[79  9] ; [49  6],[78.76923077  9.23076923] ; [49.23076923  5.76923077],0
s4,1,0.926027,0.00862,[ 6 83] ; [ 4 52],[ 6.13793103 82.86206897] ; [ 3.86206897 52.13793103],0
a8,1,0.954054,0.00332,[ 8 68] ; [ 5 44],[ 7.904 68.096] ; [ 5.096 43.904],0
