Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.001561,10.004775,[16  8] ; [13 34],[ 9.8028169 14.1971831] ; [19.1971831 27.8028169],0
s3,1,0.004931,7.90448,[15 10] ; [12 34],[ 9.50704225 15.49295775] ; [17.49295775 28.50704225],0
a4,1,0.007363,7.182095,[15 10] ; [13 34],[ 9.72222222 15.27777778] ; [18.27777778 28.72222222],0
s6,1,0.01238,6.25568,[16  6] ; [19 28],[11.15942029 10.84057971] ; [23.84057971 23.15942029],0
s8,1,0.01573,5.832817,[ 9 15] ; [ 6 41],[ 5.07042254 18.92957746] ; [ 9.92957746 37.07042254],0
u3,1,0.026411,4.928894,[8 1] ; [ 9 11],[5.27586207 3.72413793] ; [11.72413793  8.27586207],0
p11,1,0.071986,3.237155,[14 11] ; [16 31],[10.41666667 14.58333333] ; [19.58333333 27.41666667],0
a7,1,0.078486,3.095968,[10 15] ; [29 18],[13.54166667 11.45833333] ; [25.45833333 21.54166667],0
p1,1,0.081668,3.031389,[ 3 22] ; [ 1 46],[ 1.38888889 23.61111111] ; [ 2.61111111 44.38888889],0
v3,1,0.157258,2.000394,[ 9 14] ; [10 34],[ 6.52238806 16.47761194] ; [12.47761194 31.52238806],0
b2,1,0.169473,1.8876,[7 7] ; [ 7 18],[5.02564103 8.97435897] ; [ 8.97435897 16.02564103],0
b3,1,0.169473,1.8876,[7 7] ; [ 7 18],[5.02564103 8.97435897] ; [ 8.97435897 16.02564103],0
a1,1,0.235162,1.409362,[ 2 23] ; [ 1 46],[ 1.04166667 23.95833333] ; [ 1.95833333 45.04166667],0
n1,1,0.239639,1.382716,[5 5] ; [ 5 13],[3.57142857 6.42857143] ; [ 6.42857143 11.57142857],0
s7,1,0.253762,1.302475,[ 9 14] ; [11 32],[ 6.96969697 16.03030303] ; [13.03030303 29.96969697],0
a2,1,0.335694,0.926809,[ 4 21] ; [ 4 43],[ 2.77777778 22.22222222] ; [ 5.22222222 41.77777778],0
p9,1,0.343331,0.897952,[13 11] ; [19 26],[11.13043478 12.86956522] ; [20.86956522 24.13043478],0
v4,1,0.354335,0.857872,[21  4] ; [35 12],[19.44444444  5.55555556] ; [36.55555556 10.44444444],0
r1,1,0.382225,0.763532,[18  7] ; [29 18],[16.31944444  8.68055556] ; [30.68055556 16.31944444],0
p3,1,0.461147,0.543108,[ 7 17] ; [10 37],[ 5.74647887 18.25352113] ; [11.25352113 35.74647887],0
p4,1,0.464512,0.535,[ 9 16] ; [13 34],[ 7.63888889 17.36111111] ; [14.36111111 32.63888889],0
a5,1,0.46875,0.524922,[15 10] ; [24 23],[13.54166667 11.45833333] ; [25.45833333 21.54166667],0
u1,1,0.473495,0.513809,[ 1 24] ; [ 4 43],[ 1.73611111 23.26388889] ; [ 3.26388889 43.73611111],0
p10,1,0.486917,0.483332,[12 12] ; [19 27],[10.62857143 13.37142857] ; [20.37142857 25.62857143],0
d1,1,0.56804,0.325973,[11 14] ; [24 23],[12.15277778 12.84722222] ; [22.84722222 24.15277778],0
d4,1,0.579908,0.306383,[20  5] ; [40  7],[20.83333333  4.16666667] ; [39.16666667  7.83333333],0
a6,1,0.579908,0.306383,[10 15] ; [22 25],[11.11111111 13.88888889] ; [20.88888889 26.11111111],0
a3,1,0.589359,0.291346,[16  9] ; [27 20],[14.93055556 10.06944444] ; [28.06944444 18.93055556],0
p8,1,0.598746,0.276892,[ 5 20] ; [12 35],[ 5.90277778 19.09722222] ; [11.09722222 35.90277778],0
p12,1,0.623281,0.241283,[ 1 23] ; [ 1 46],[ 0.67605634 23.32394366] ; [ 1.32394366 45.67605634],0
s1,1,0.634216,0.226387,[ 3 22] ; [ 4 43],[ 2.43055556 22.56944444] ; [ 4.56944444 42.43055556],0
s5,1,0.638075,0.221269,[ 6 14] ; [11 34],[ 5.23076923 14.76923077] ; [11.76923077 33.23076923],0
d3,1,0.6579,0.196085,[13 12] ; [27 20],[13.88888889 11.11111111] ; [26.11111111 20.88888889],0
b4,1,0.6579,0.196085,[13 12] ; [27 20],[13.88888889 11.11111111] ; [26.11111111 20.88888889],0
p6,1,0.69441,0.154353,[ 5 19] ; [ 8 39],[ 4.3943662 19.6056338] ; [ 8.6056338 38.3943662],0
b1,1,0.702544,0.145839,[10 15] ; [21 26],[10.76388889 14.23611111] ; [20.23611111 26.76388889],0
r3,1,0.705597,0.142715,[21  4] ; [41  6],[21.52777778  3.47222222] ; [40.47222222  6.52777778],0
r2,1,0.732311,0.117001,[21  4] ; [40  6],[21.47887324  3.52112676] ; [39.52112676  6.47887324],0
r4,1,0.737301,0.112513,[19  6] ; [34 13],[18.40277778  6.59722222] ; [34.59722222 12.40277778],0
p7,1,0.737301,0.112513,[ 6 19] ; [13 34],[ 6.59722222 18.40277778] ; [12.40277778 34.59722222],0
n6,1,0.804489,0.061277,[12 13] ; [24 23],[12.5 12.5] ; [23.5 23.5],0
n2,1,0.819872,0.051852,[6 4] ; [10  8],[5.71428571 4.28571429] ; [10.28571429  7.71428571],0
d5,1,0.82103,0.051175,[18  7] ; [35 12],[18.40277778  6.59722222] ; [34.59722222 12.40277778],0
d2,1,0.834284,0.043769,[10 15] ; [20 27],[10.41666667 14.58333333] ; [19.58333333 27.41666667],0
n3,1,0.850646,0.035455,[6 4] ; [9 7],[5.76923077 4.23076923] ; [9.23076923 6.76923077],0
n4,1,0.86105,0.030638,[ 8 17] ; [16 31],[ 8.33333333 16.66666667] ; [15.66666667 31.33333333],0
b5,1,0.887831,0.019895,[15 10] ; [29 18],[15.27777778  9.72222222] ; [28.72222222 18.27777778],0
s4,1,0.975506,0.000943,[ 7 18] ; [13 34],[ 6.94444444 18.05555556] ; [13.05555556 33.94444444],0
u2,1,0.977797,0.000775,[5 4] ; [11  9],[4.96551724 4.03448276] ; [11.03448276  8.96551724],0
v2,1,1.0,0.0,[11 12] ; [22 24],[11. 12.] ; [22. 24.],0
