Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,2e-06,23.099586,[5 4] ; [64  1],[8.39189189 0.60810811] ; [60.60810811  4.39189189],1
r1,1,0.000254,13.380905,[2 7] ; [52 13],[6.56756757 2.43243243] ; [47.43243243 17.56756757],1
a3,1,0.034497,4.469921,[3 6] ; [45 20],[5.83783784 3.16216216] ; [42.16216216 22.83783784],0
s3,1,0.039757,4.228237,[4 5] ; [50 15],[6.56756757 2.43243243] ; [47.43243243 17.56756757],0
d5,1,0.039757,4.228237,[4 5] ; [50 15],[6.56756757 2.43243243] ; [47.43243243 17.56756757],0
a5,1,0.044771,4.027229,[3 6] ; [44 21],[5.71621622 3.28378378] ; [41.28378378 23.71621622],0
d2,1,0.045826,3.987984,[1 8] ; [30 35],[3.77027027 5.22972973] ; [27.22972973 37.77027027],0
n3,1,0.064943,3.406417,[1 3] ; [16  6],[2.61538462 1.38461538] ; [14.38461538  7.61538462],0
p9,1,0.071353,3.251613,[6 3] ; [56  7],[7.75 1.25] ; [54.25  8.75],0
v4,1,0.096963,2.754796,[8 1] ; [64  1],[8.75675676 0.24324324] ; [63.24324324  1.75675676],0
a6,1,0.113848,2.499977,[4 5] ; [46 19],[6.08108108 2.91891892] ; [43.91891892 21.08108108],0
s6,1,0.144138,2.133218,[6 3] ; [55  9],[7.52054795 1.47945205] ; [53.47945205 10.52054795],0
a4,1,0.144861,2.12555,[1 8] ; [23 42],[2.91891892 6.08108108] ; [21.08108108 43.91891892],0
p4,1,0.174398,1.844729,[7 2] ; [35 30],[5.10810811 3.89189189] ; [36.89189189 28.10810811],0
v3,1,0.204987,1.60648,[1 8] ; [19 41],[2.60869565 6.39130435] ; [17.39130435 42.60869565],0
d1,1,0.248533,1.331534,[3 6] ; [35 30],[4.62162162 4.37837838] ; [33.37837838 31.62162162],0
v2,1,0.261421,1.261218,[3 6] ; [31 27],[4.56716418 4.43283582] ; [29.43283582 28.56716418],0
v1,1,0.285049,1.142857,[3 6] ; [33 30],[4.5 4.5] ; [31.5 31.5],0
b1,1,0.327615,0.958301,[5 4] ; [25 40],[3.64864865 5.35135135] ; [26.35135135 38.64864865],0
b5,1,0.342882,0.899625,[7 2] ; [40 25],[5.71621622 3.28378378] ; [41.28378378 23.71621622],0
p6,1,0.411437,0.674644,[4 5] ; [20 45],[2.91891892 6.08108108] ; [21.08108108 43.91891892],0
p8,1,0.417873,0.65629,[6 3] ; [34 31],[4.86486486 4.13513514] ; [35.13513514 29.86486486],0
p7,1,0.423884,0.639522,[4 4] ; [40 22],[5.02857143 2.97142857] ; [38.97142857 23.02857143],0
p2,1,0.465829,0.531854,[8 1] ; [51 14],[7.17567568 1.82432432] ; [51.82432432 13.17567568],0
u3,1,0.496587,0.462222,[4 2] ; [16  4],[4.61538462 1.38461538] ; [15.38461538  4.61538462],0
a7,1,0.501495,0.45177,[6 3] ; [50 15],[6.81081081 2.18918919] ; [49.18918919 15.81081081],0
n1,1,0.504036,0.446429,[1 3] ; [ 9 12],[1.6 2.4] ; [ 8.4 12.6],0
p10,1,0.632585,0.228571,[7 2] ; [53 10],[7.5 1.5] ; [52.5 10.5],0
b4,1,0.638437,0.220793,[6 3] ; [38 27],[5.35135135 3.64864865] ; [38.64864865 26.35135135],0
s5,1,0.647778,0.208713,[3 5] ; [29 34],[3.6056338 4.3943662] ; [28.3943662 34.6056338],0
s2,1,0.649438,0.20661,[6 3] ; [48 17],[6.56756757 2.43243243] ; [47.43243243 17.56756757],0
n6,1,0.688297,0.160935,[5 4] ; [40 24],[5.54794521 3.45205479] ; [39.45205479 24.54794521],0
a8,1,0.782712,0.076058,[1 8] ; [ 5 55],[0.7826087 8.2173913] ; [ 5.2173913 54.7826087],0
p3,1,0.787739,0.072495,[4 5] ; [32 33],[4.37837838 4.62162162] ; [31.62162162 33.37837838],0
s4,1,0.800756,0.06369,[3 6] ; [19 46],[2.67567568 6.32432432] ; [19.32432432 45.67567568],0
p11,1,0.800756,0.06369,[6 3] ; [46 19],[6.32432432 2.67567568] ; [45.67567568 19.32432432],0
n5,1,0.868468,0.027425,[4 5] ; [27 38],[3.77027027 5.22972973] ; [27.22972973 37.77027027],0
s7,1,0.920306,0.01001,[6 3] ; [41 19],[6.13043478 2.86956522] ; [40.86956522 19.13043478],0
n2,1,0.924899,0.008886,[3 1] ; [16  6],[2.92307692 1.07692308] ; [16.07692308  5.92307692],0
u2,1,0.935989,0.00645,[4 2] ; [13  6],[4.08 1.92] ; [12.92  6.08],0
d3,1,0.950879,0.003795,[6 3] ; [44 21],[6.08108108 2.91891892] ; [43.91891892 21.08108108],0
d4,1,0.954444,0.003264,[7 2] ; [50 15],[6.93243243 2.06756757] ; [50.06756757 14.93243243],0
