Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.015297,5.881944,[ 6 10] ; [10  2],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
r1,1,0.027469,4.861111,[ 4 12] ; [8 4],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
n2,1,0.094264,2.8,[6 1] ; [3 4],[4.5 2.5] ; [4.5 2.5],0
a6,1,0.09821,2.734375,[7 9] ; [9 3],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
p2,1,0.143606,2.138889,[11  5] ; [11  1],[12.57142857  3.42857143] ; [9.42857143 2.57142857],0
s6,1,0.181709,1.783591,[10  6] ; [4 7],[8.2962963 7.7037037] ; [5.7037037 5.2962963],0
u3,1,0.198211,1.65551,[4 3] ; [1 4],[2.91666667 4.08333333] ; [2.08333333 2.91666667],0
a5,1,0.227195,1.458333,[10  6] ; [10  2],[11.42857143  4.57142857] ; [8.57142857 3.42857143],0
d3,1,0.228871,1.447863,[7 9] ; [8 4],[8.57142857 7.42857143] ; [6.42857143 5.57142857],0
p8,1,0.237625,1.394628,[8 8] ; [8 3],[9.48148148 6.51851852] ; [6.51851852 4.48148148],0
a7,1,0.274006,1.196581,[ 6 10] ; [7 5],[7.42857143 8.57142857] ; [5.57142857 6.42857143],0
u2,1,0.276278,1.185306,[5 2] ; [2 3],[4.08333333 2.91666667] ; [2.91666667 2.08333333],0
s5,1,0.305507,1.05,[7 9] ; [3 9],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
n4,1,0.305507,1.05,[9 7] ; [9 3],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
s3,1,0.315266,1.008485,[7 8] ; [3 8],[5.76923077 9.23076923] ; [4.23076923 6.76923077],0
d1,1,0.350045,0.873294,[ 4 12] ; [5 7],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
b4,1,0.350045,0.873294,[12  4] ; [7 5],[10.85714286  5.14285714] ; [8.14285714 3.85714286],0
r4,1,0.350045,0.873294,[ 4 12] ; [5 7],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
d4,1,0.377822,0.777778,[8 8] ; [8 4],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
d5,1,0.377822,0.777778,[8 8] ; [8 4],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
p5,1,0.377822,0.777778,[ 3 13] ; [4 8],[ 4. 12.] ; [3. 9.],0
n5,1,0.377822,0.777778,[11  5] ; [10  2],[12.  4.] ; [9. 3.],0
p7,1,0.391153,0.735354,[7 7] ; [8 4],[8.07692308 5.92307692] ; [6.92307692 5.07692308],0
b1,1,0.445009,0.583333,[7 9] ; [7 5],[8. 8.] ; [6. 6.],0
p9,1,0.446443,0.579667,[11  5] ; [9 2],[11.85185185  4.14814815] ; [8.14814815 2.85185185],0
p6,1,0.48338,0.491228,[ 6 10] ; [3 9],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
p10,1,0.48338,0.491228,[10  6] ; [9 3],[10.85714286  5.14285714] ; [8.14285714 3.85714286],0
a4,1,0.48338,0.491228,[ 6 10] ; [3 9],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
s8,1,0.52518,0.403708,[ 4 12] ; [4 7],[ 4.74074074 11.25925926] ; [3.25925926 7.74074074],0
v2,1,0.52518,0.403708,[ 4 12] ; [4 7],[ 4.74074074 11.25925926] ; [3.25925926 7.74074074],0
s2,1,0.57649,0.311943,[7 9] ; [4 8],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
n1,1,0.59298,0.285714,[4 3] ; [3 4],[3.5 3.5] ; [3.5 3.5],0
n3,1,0.59298,0.285714,[4 3] ; [3 4],[3.5 3.5] ; [3.5 3.5],0
s4,1,0.594853,0.282828,[ 4 12] ; [ 2 10],[ 3.42857143 12.57142857] ; [2.57142857 9.42857143],0
s7,1,0.599337,0.275996,[7 8] ; [4 7],[6.34615385 8.65384615] ; [4.65384615 6.34615385],0
d2,1,0.66171,0.191453,[8 8] ; [5 7],[7.42857143 8.57142857] ; [5.57142857 6.42857143],0
b2,1,0.675706,0.175,[3 9] ; [3 6],[3.42857143 8.57142857] ; [2.57142857 6.42857143],0
b3,1,0.675706,0.175,[3 9] ; [3 6],[3.42857143 8.57142857] ; [2.57142857 6.42857143],0
v4,1,0.689995,0.159091,[13  3] ; [9 3],[12.57142857  3.42857143] ; [9.42857143 2.57142857],0
s1,1,0.724263,0.124444,[ 2 14] ; [ 1 11],[ 1.71428571 14.28571429] ; [ 1.28571429 10.71428571],0
a2,1,0.724263,0.124444,[ 2 14] ; [ 1 11],[ 1.71428571 14.28571429] ; [ 1.28571429 10.71428571],0
p1,1,0.755189,0.097222,[ 2 14] ; [ 2 10],[ 2.28571429 13.71428571] ; [ 1.71428571 10.28571429],0
b5,1,0.907008,0.013645,[11  5] ; [8 4],[10.85714286  5.14285714] ; [8.14285714 3.85714286],0
v1,1,0.912219,0.012153,[7 9] ; [5 7],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
a3,1,0.912219,0.012153,[9 7] ; [7 5],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
v3,1,0.97021,0.001395,[ 3 13] ; [2 9],[ 2.96296296 13.03703704] ; [2.03703704 8.96296296],0
r2,1,1.0,0.0,[12  4] ; [9 3],[12.  4.] ; [9. 3.],0
