Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.099481,2.713846,[ 3 12] ; [2 1],[ 4.16666667 10.83333333] ; [0.83333333 2.16666667],0
p1,1,0.179712,1.8,[ 1 14] ; [1 2],[ 1.66666667 13.33333333] ; [0.33333333 2.66666667],0
s1,1,0.179712,1.8,[ 1 14] ; [1 2],[ 1.66666667 13.33333333] ; [0.33333333 2.66666667],0
d5,1,0.179712,1.8,[11  4] ; [1 2],[10.  5.] ; [2. 1.],0
s3,1,0.279642,1.168831,[ 5 10] ; [2 1],[5.83333333 9.16666667] ; [1.16666667 1.83333333],0
a3,1,0.279642,1.168831,[10  5] ; [1 2],[9.16666667 5.83333333] ; [1.83333333 1.16666667],0
p4,1,0.279642,1.168831,[10  5] ; [1 2],[9.16666667 5.83333333] ; [1.83333333 1.16666667],0
b5,1,0.396144,0.72,[6 9] ; [2 1],[6.66666667 8.33333333] ; [1.33333333 1.66666667],0
p2,1,0.396144,0.72,[13  2] ; [2 1],[12.5  2.5] ; [2.5 0.5],0
s8,1,0.396144,0.72,[9 6] ; [1 2],[8.33333333 6.66666667] ; [1.66666667 1.33333333],0
d3,1,0.396144,0.72,[6 9] ; [2 1],[6.66666667 8.33333333] ; [1.33333333 1.66666667],0
a7,1,0.396144,0.72,[6 9] ; [2 1],[6.66666667 8.33333333] ; [1.33333333 1.66666667],0
p8,1,0.527089,0.4,[7 8] ; [2 1],[7.5 7.5] ; [1.5 1.5],0
v1,1,0.527089,0.4,[8 7] ; [1 2],[7.5 7.5] ; [1.5 1.5],0
a6,1,0.527089,0.4,[7 8] ; [2 1],[7.5 7.5] ; [1.5 1.5],0
r4,1,0.61209,0.257143,[ 3 12] ; [1 2],[ 3.33333333 11.66666667] ; [0.66666667 2.33333333],0
p9,1,0.61209,0.257143,[12  3] ; [2 1],[11.66666667  3.33333333] ; [2.33333333 0.66666667],0
p10,1,0.61209,0.257143,[12  3] ; [2 1],[11.66666667  3.33333333] ; [2.33333333 0.66666667],0
p3,1,0.671373,0.18,[7 8] ; [1 2],[6.66666667 8.33333333] ; [1.33333333 1.66666667],0
p7,1,0.671373,0.18,[8 7] ; [2 1],[8.33333333 6.66666667] ; [1.66666667 1.33333333],0
p11,1,0.813945,0.055385,[11  4] ; [2 1],[10.83333333  4.16666667] ; [2.16666667 0.83333333],0
r3,1,0.813945,0.055385,[11  4] ; [2 1],[10.83333333  4.16666667] ; [2.16666667 0.83333333],0
s2,1,0.828812,0.046753,[6 9] ; [1 2],[5.83333333 9.16666667] ; [1.16666667 1.83333333],0
r1,1,0.828812,0.046753,[9 6] ; [2 1],[9.16666667 5.83333333] ; [1.83333333 1.16666667],0
a5,1,0.828812,0.046753,[9 6] ; [2 1],[9.16666667 5.83333333] ; [1.83333333 1.16666667],0
n6,1,0.86952,0.026984,[10  4] ; [2 1],[9.88235294 4.11764706] ; [2.11764706 0.88235294],0
n5,1,1.0,0.0,[10  5] ; [2 1],[10.  5.] ; [2. 1.],0
n4,1,1.0,0.0,[10  5] ; [2 1],[10.  5.] ; [2. 1.],0
v4,1,1.0,0.0,[10  5] ; [2 1],[10.  5.] ; [2. 1.],0
