Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.008829,6.857143,[12  2] ; [2 5],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
p10,1,0.008829,6.857143,[12  2] ; [2 5],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
p11,1,0.030564,4.677273,[9 5] ; [1 6],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
p9,1,0.040424,4.2,[12  2] ; [3 4],[10.  4.] ; [5. 2.],0
n5,1,0.101707,2.678571,[11  3] ; [3 4],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
p7,1,0.101707,2.678571,[11  3] ; [3 4],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
b2,1,0.121335,2.4,[2 8] ; [3 2],[3.33333333 6.66666667] ; [1.66666667 3.33333333],0
b3,1,0.121335,2.4,[2 8] ; [3 2],[3.33333333 6.66666667] ; [1.66666667 3.33333333],0
p1,1,0.185877,1.75,[ 1 13] ; [2 5],[ 2. 12.] ; [1. 6.],0
s3,1,0.19043,1.714286,[8 6] ; [6 1],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
a6,1,0.203737,1.615385,[10  4] ; [3 4],[8.66666667 5.33333333] ; [4.33333333 2.66666667],0
d3,1,0.203737,1.615385,[10  4] ; [3 4],[8.66666667 5.33333333] ; [4.33333333 2.66666667],0
a8,1,0.212296,1.555699,[ 1 12] ; [2 5],[ 1.95 11.05] ; [1.05 5.95],0
s7,1,0.215508,1.534035,[6 7] ; [1 5],[4.78947368 8.21052632] ; [2.21052632 3.78947368],0
v1,1,0.216522,1.527273,[8 6] ; [2 5],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
s5,1,0.260452,1.266353,[5 8] ; [1 6],[3.9 9.1] ; [2.1 4.9],0
u2,1,0.270289,1.215278,[1 3] ; [2 1],[1.71428571 2.28571429] ; [1.28571429 1.71428571],0
s8,1,0.305507,1.05,[5 9] ; [1 6],[ 4. 10.] ; [2. 5.],0
d4,1,0.305507,1.05,[9 5] ; [6 1],[10.  4.] ; [5. 2.],0
p4,1,0.305507,1.05,[11  3] ; [4 3],[10.  4.] ; [5. 2.],0
p8,1,0.349575,0.875,[7 7] ; [2 5],[6. 8.] ; [3. 4.],0
d1,1,0.349575,0.875,[5 9] ; [4 3],[6. 8.] ; [3. 4.],0
n4,1,0.512691,0.428571,[10  4] ; [4 3],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
d5,1,0.512691,0.428571,[10  4] ; [4 3],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
r3,1,0.512691,0.428571,[10  4] ; [4 3],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
a4,1,0.512691,0.428571,[ 4 10] ; [3 4],[4.66666667 9.33333333] ; [2.33333333 4.66666667],0
a3,1,0.512691,0.428571,[10  4] ; [4 3],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
d2,1,0.536632,0.381818,[6 8] ; [4 3],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
s2,1,0.536632,0.381818,[8 6] ; [3 4],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
b5,1,0.536632,0.381818,[8 6] ; [3 4],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
s1,1,0.599126,0.276316,[ 1 13] ; [1 6],[ 1.33333333 12.66666667] ; [0.66666667 6.33333333],0
s6,1,0.678044,0.172336,[8 4] ; [4 3],[7.57894737 4.42105263] ; [4.42105263 2.57894737],0
a5,1,0.694354,0.154412,[11  3] ; [6 1],[11.33333333  2.66666667] ; [5.66666667 1.33333333],0
b1,1,0.743421,0.107143,[9 5] ; [5 2],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
a7,1,0.743421,0.107143,[5 9] ; [2 5],[4.66666667 9.33333333] ; [2.33333333 4.66666667],0
r2,1,0.743421,0.107143,[9 5] ; [5 2],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
r4,1,0.750679,0.100962,[5 9] ; [3 4],[5.33333333 8.66666667] ; [2.66666667 4.33333333],0
v2,1,0.757354,0.095455,[7 7] ; [3 4],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
v3,1,0.831359,0.045351,[ 4 10] ; [2 4],[4.2 9.8] ; [1.8 4.2],0
s4,1,1.0,0.0,[ 4 10] ; [2 5],[ 4. 10.] ; [2. 5.],0
r1,1,1.0,0.0,[6 8] ; [3 4],[6. 8.] ; [3. 4.],0
p6,1,1.0,0.0,[6 8] ; [3 4],[6. 8.] ; [3. 4.],0
a2,1,1.0,0.0,[ 2 12] ; [1 6],[ 2. 12.] ; [1. 6.],0
b4,1,1.0,0.0,[8 6] ; [4 3],[8. 6.] ; [4. 3.],0
