Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2.2e-05,18.02505,[76 20] ; [12 19],[66.51968504 29.48031496] ; [21.48031496  9.51968504],1
a7,1,0.000698,11.495,[73 23] ; [14 18],[65.25 30.75] ; [21.75 10.25],1
p4,1,0.019486,5.457366,[51 45] ; [ 9 22],[45.35433071 50.64566929] ; [14.64566929 16.35433071],0
d3,1,0.022402,5.214263,[68 28] ; [15 16],[62.74015748 33.25984252] ; [20.25984252 10.74015748],0
n4,1,0.024674,5.046595,[55 41] ; [11 21],[49.5 46.5] ; [16.5 15.5],0
p7,1,0.027374,4.867072,[52 40] ; [10 20],[46.75409836 45.24590164] ; [15.24590164 14.75409836],0
p3,1,0.029579,4.733585,[45 51] ; [ 8 24],[39.75 56.25] ; [13.25 18.75],0
d5,1,0.053637,3.723963,[78 18] ; [20 11],[74.07874016 21.92125984] ; [23.92125984  7.07874016],0
p8,1,0.08035,3.057802,[43 51] ; [ 9 23],[38.79365079 55.20634921] ; [13.20634921 18.79365079],0
p10,1,0.081112,3.042485,[62 32] ; [15 16],[57.904 36.096] ; [19.096 11.904],0
a8,1,0.106703,2.60239,[ 7 78] ; [ 6 26],[ 9.44444444 75.55555556] ; [ 3.55555556 28.44444444],0
u2,1,0.106787,2.601135,[21 10] ; [11  1],[23.06976744  7.93023256] ; [8.93023256 3.06976744],0
p11,1,0.108888,2.570281,[66 30] ; [17 15],[62.25 33.75] ; [20.75 11.25],0
s1,1,0.147136,2.101695,[ 3 90] ; [ 3 28],[ 4.5 88.5] ; [ 1.5 29.5],0
v4,1,0.155984,2.012733,[91  3] ; [29  3],[89.52380952  4.47619048] ; [30.47619048  1.52380952],0
n1,1,0.163328,1.943142,[ 7 14] ; [9 7],[ 9.08108108 11.91891892] ; [6.91891892 9.08108108],0
s6,1,0.199846,1.643501,[56 40] ; [14 17],[52.91338583 43.08661417] ; [17.08661417 13.91338583],0
v1,1,0.203496,1.617103,[44 49] ; [11 21],[40.92 52.08] ; [14.08 17.92],0
p9,1,0.246096,1.345332,[68 26] ; [19 12],[65.424 28.576] ; [21.576  9.424],0
p6,1,0.258635,1.276046,[24 68] ; [ 5 26],[21.69105691 70.30894309] ; [ 7.30894309 23.69105691],0
s2,1,0.272814,1.202544,[37 58] ; [16 16],[39.64566929 55.35433071] ; [13.35433071 18.64566929],0
a5,1,0.277102,1.181248,[67 29] ; [19 13],[64.5 31.5] ; [21.5 10.5],0
d4,1,0.337504,0.91989,[78 17] ; [23  8],[76.15079365 18.84920635] ; [24.84920635  6.15079365],0
b5,1,0.340698,0.907801,[63 33] ; [18 14],[60.75 35.25] ; [20.25 11.75],0
s8,1,0.39004,0.738817,[35 61] ; [ 9 23],[33. 63.] ; [11. 21.],0
u1,1,0.398288,0.713489,[11 85] ; [ 2 30],[ 9.75 86.25] ; [ 3.25 28.75],0
d2,1,0.405392,0.692275,[39 57] ; [10 21],[37.03937008 58.96062992] ; [11.96062992 19.03937008],0
n2,1,0.409145,0.681283,[18  4] ; [12  5],[16.92307692  5.07692308] ; [13.07692308  3.92307692],0
a2,1,0.417033,0.658662,[18 78] ; [ 4 28],[16.5 79.5] ; [ 5.5 26.5],0
b4,1,0.468313,0.525954,[58 38] ; [17 15],[56.25 39.75] ; [18.75 13.25],0
n5,1,0.514291,0.425327,[40 55] ; [11 20],[38.45238095 56.54761905] ; [12.54761905 18.45238095],0
d1,1,0.540093,0.375367,[48 48] ; [14 18],[46.5 49.5] ; [15.5 16.5],0
r1,1,0.550806,0.355875,[84 11] ; [27  5],[83.03149606 11.96850394] ; [27.96850394  4.03149606],0
s4,1,0.573992,0.316049,[16 80] ; [ 4 28],[15. 81.] ; [ 5. 27.],0
r2,1,0.629197,0.233151,[92  4] ; [30  2],[91.5  4.5] ; [30.5  1.5],0
a3,1,0.667361,0.184704,[64 32] ; [20 12],[63. 33.] ; [21. 11.],0
u3,1,0.668952,0.182831,[24  7] ; [10  2],[24.51162791  6.48837209] ; [9.48837209 2.51162791],0
a4,1,0.67329,0.177778,[35 61] ; [13 19],[36. 60.] ; [12. 20.],0
p1,1,0.6933,0.155536,[ 8 87] ; [ 2 30],[ 7.48031496 87.51968504] ; [ 2.51968504 29.48031496],0
p12,1,0.729017,0.120016,[ 2 92] ; [ 1 30],[ 2.256 91.744] ; [ 0.744 30.256],0
a1,1,0.735884,0.113778,[ 2 94] ; [ 1 31],[ 2.25 93.75] ; [ 0.75 31.25],0
s5,1,0.746128,0.104814,[19 73] ; [ 5 23],[18.4 73.6] ; [ 5.6 22.4],0
b2,1,0.75938,0.093816,[14 39] ; [ 6 14],[14.52054795 38.47945205] ; [ 5.47945205 14.52054795],0
b3,1,0.75938,0.093816,[14 39] ; [ 6 14],[14.52054795 38.47945205] ; [ 5.47945205 14.52054795],0
s3,1,0.764312,0.089894,[50 44] ; [18 14],[50.73015873 43.26984127] ; [17.26984127 14.73015873],0
s7,1,0.822217,0.050487,[31 59] ; [ 9 19],[30.50847458 59.49152542] ; [ 9.49152542 18.50847458],0
n3,1,0.889735,0.019221,[18  4] ; [12  3],[17.83783784  4.16216216] ; [12.16216216  2.83783784],0
v2,1,0.916565,0.010975,[43 45] ; [14 14],[43.24137931 44.75862069] ; [13.75862069 14.24137931],0
b1,1,0.918618,0.01044,[46 50] ; [15 17],[45.75 50.25] ; [15.25 16.75],0
v3,1,0.99331,7e-05,[26 62] ; [ 8 19],[26.0173913 61.9826087] ; [ 7.9826087 19.0173913],0
