Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.6e-05,18.631844,[31 26] ; [77 12],[42.16438356 14.83561644] ; [65.83561644 23.16438356],1
d4,1,0.001462,10.12605,[32 25] ; [71 17],[40.48965517 16.51034483] ; [62.51034483 25.48965517],0
v2,1,0.002029,9.522811,[11 45] ; [37 45],[19.47826087 36.52173913] ; [28.52173913 53.47826087],0
a7,1,0.00496,7.894089,[31 25] ; [69 20],[38.62068966 17.37931034] ; [61.37931034 27.62068966],0
r2,1,0.010289,6.584121,[43 14] ; [81  8],[48.4109589  8.5890411] ; [75.5890411 13.4109589],0
d1,1,0.010466,6.553855,[16 41] ; [44 45],[23.42465753 33.57534247] ; [36.57534247 52.42465753],0
v3,1,0.015438,5.865732,[ 4 50] ; [20 66],[ 9.25714286 44.74285714] ; [14.74285714 71.25714286],0
d3,1,0.01626,5.774551,[28 27] ; [63 26],[34.75694444 20.24305556] ; [56.24305556 32.75694444],0
a6,1,0.023378,5.140209,[27 30] ; [59 30],[33.57534247 23.42465753] ; [52.42465753 36.57534247],0
u3,1,0.029761,4.72304,[13 20] ; [23 12],[17.47058824 15.52941176] ; [18.52941176 16.47058824],0
v4,1,0.038686,4.274583,[45 11] ; [81  7],[49.  7.] ; [77. 11.],0
d5,1,0.04773,3.91947,[32 24] ; [65 24],[37.46206897 18.53793103] ; [59.53793103 29.46206897],0
a3,1,0.054125,3.708831,[24 33] ; [52 37],[29.67123288 27.32876712] ; [46.32876712 42.67123288],0
a1,1,0.056084,3.649566,[ 4 53] ; [ 1 88],[ 1.95205479 55.04794521] ; [ 3.04794521 85.95205479],0
a5,1,0.059186,3.560037,[21 36] ; [47 42],[26.54794521 30.45205479] ; [41.45205479 47.54794521],0
s6,1,0.070367,3.274429,[22 35] ; [48 41],[27.32876712 29.67123288] ; [42.67123288 46.32876712],0
b1,1,0.098818,2.724517,[27 30] ; [30 59],[22.25342466 34.74657534] ; [34.74657534 54.25342466],0
p1,1,0.149549,2.076843,[ 4 52] ; [ 2 87],[ 2.31724138 53.68275862] ; [ 3.68275862 85.31724138],0
p2,1,0.1608,1.966683,[34 22] ; [64 25],[37.84827586 18.15172414] ; [60.15172414 28.84827586],0
p10,1,0.178496,1.810101,[29 26] ; [57 32],[32.84722222 22.15277778] ; [53.15277778 35.84722222],0
u1,1,0.20095,1.635455,[ 2 55] ; [ 8 81],[ 3.90410959 53.09589041] ; [ 6.09589041 82.90410959],0
b3,1,0.257066,1.28449,[ 9 21] ; [ 8 35],[ 6.98630137 23.01369863] ; [10.01369863 32.98630137],0
b2,1,0.257066,1.28449,[ 9 21] ; [ 8 35],[ 6.98630137 23.01369863] ; [10.01369863 32.98630137],0
s3,1,0.271264,1.210344,[21 36] ; [41 48],[24.20547945 32.79452055] ; [37.79452055 51.20547945],0
a2,1,0.298003,1.083109,[ 3 54] ; [ 9 80],[ 4.68493151 52.31506849] ; [ 7.31506849 81.68493151],0
p6,1,0.303945,1.056806,[15 42] ; [17 72],[12.49315068 44.50684932] ; [19.50684932 69.49315068],0
p9,1,0.323569,0.974465,[32 22] ; [60 29],[34.74125874 19.25874126] ; [57.25874126 31.74125874],0
p4,1,0.331171,0.944312,[20 37] ; [38 50],[22.8 34.2] ; [35.2 52.8],0
a4,1,0.361394,0.833043,[11 46] ; [23 66],[13.2739726 43.7260274] ; [20.7260274 68.2739726],0
n5,1,0.395842,0.720921,[20 37] ; [25 63],[17.68965517 39.31034483] ; [27.31034483 60.68965517],0
u2,1,0.401836,0.702827,[15 18] ; [20 16],[16.73913043 16.26086957] ; [18.26086957 17.73913043],0
s8,1,0.418655,0.654087,[12 45] ; [24 65],[14.05479452 42.94520548] ; [21.94520548 67.05479452],0
r3,1,0.470968,0.519703,[49  8] ; [80  9],[50.3630137  6.6369863] ; [78.6369863 10.3630137],0
s5,1,0.472563,0.515977,[12 44] ; [23 63],[13.8028169 42.1971831] ; [21.1971831 64.8028169],0
n3,1,0.546062,0.36442,[14  9] ; [24 11],[15.06896552  7.93103448] ; [22.93103448 12.06896552],0
n1,1,0.572947,0.317776,[ 7 15] ; [ 9 27],[ 6.06896552 15.93103448] ; [ 9.93103448 26.06896552],0
s7,1,0.597512,0.278765,[12 42] ; [22 62],[13.30434783 40.69565217] ; [20.69565217 63.30434783],0
p3,1,0.638297,0.220976,[14 43] ; [25 64],[15.2260274 41.7739726] ; [23.7739726 65.2260274],0
s4,1,0.652578,0.202665,[16 41] ; [22 67],[14.83561644 42.16438356] ; [23.16438356 65.83561644],0
d2,1,0.754653,0.097662,[20 37] ; [29 60],[19.13013699 37.86986301] ; [29.86986301 59.13013699],0
s2,1,0.768286,0.0868,[20 37] ; [33 55],[20.83448276 36.16551724] ; [32.16551724 55.83448276],0
s1,1,0.769776,0.085654,[ 2 55] ; [ 4 85],[ 2.34246575 54.65753425] ; [ 3.65753425 85.34246575],0
n2,1,0.79247,0.069224,[13 10] ; [21 14],[13.48275862  9.51724138] ; [20.51724138 14.48275862],0
p5,1,0.802321,0.062673,[ 2 53] ; [ 4 85],[ 2.29166667 52.70833333] ; [ 3.70833333 85.29166667],0
b4,1,0.831516,0.045266,[31 26] ; [50 39],[31.62328767 25.37671233] ; [49.37671233 39.62328767],0
p12,1,0.837756,0.041929,[ 1 56] ; [ 2 87],[ 1.17123288 55.82876712] ; [ 1.82876712 87.17123288],0
p7,1,0.842193,0.039636,[27 27] ; [45 42],[27.57446809 26.42553191] ; [44.42553191 42.57446809],0
p8,1,0.852059,0.034779,[22 33] ; [37 52],[22.53472222 32.46527778] ; [36.46527778 52.53472222],0
b5,1,0.883587,0.02144,[34 23] ; [52 37],[33.57534247 23.42465753] ; [52.42465753 36.57534247],0
a8,1,0.893616,0.017884,[ 3 52] ; [ 4 77],[ 2.83088235 52.16911765] ; [ 4.16911765 76.83088235],0
p11,1,0.901728,0.015247,[34 23] ; [54 35],[34.35616438 22.64383562] ; [53.64383562 35.35616438],0
n6,1,0.976958,0.000834,[36 21] ; [56 33],[35.91780822 21.08219178] ; [56.08219178 32.91780822],0
