Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,87.754353,[218  39] ; [ 7 34],[194.04362416  62.95637584] ; [30.95637584 10.04362416],1
r3,1,0.0,70.110626,[230  27] ; [14 26],[211.13804714  45.86195286] ; [32.86195286  7.13804714],1
r2,1,0.0,45.761654,[235  22] ; [20 19],[221.40202703  35.59797297] ; [33.59797297  5.40202703],1
p2,1,0.0,30.979014,[192  64] ; [13 28],[176.7003367  79.2996633] ; [28.2996633 12.7003367],1
s6,1,3e-06,21.732372,[149 105] ; [ 8 33],[135.17966102 118.82033898] ; [21.82033898 19.17966102],1
p11,1,4e-06,21.135245,[177  80] ; [13 28],[163.8590604  93.1409396] ; [26.1409396 14.8590604],1
p10,1,8e-06,20.05735,[178  76] ; [14 27],[165.31525424  88.68474576] ; [26.68474576 14.31525424],1
p9,1,2.1e-05,18.113204,[186  64] ; [17 24],[174.39862543  75.60137457] ; [28.60137457 12.39862543],1
n6,1,2.1e-05,18.079258,[201  56] ; [18 21],[190.14527027  66.85472973] ; [28.85472973 10.14527027],1
a1,1,5.5e-05,16.261346,[  7 250] ; [ 7 34],[ 12.0738255 244.9261745] ; [ 1.9261745 39.0738255],1
r1,1,5.6e-05,16.233067,[176  79] ; [15 26],[164.54391892  90.45608108] ; [26.45608108 14.54391892],1
p1,1,0.000848,11.133769,[ 13 242] ; [ 8 33],[ 18.09121622 236.90878378] ; [ 2.90878378 38.09121622],1
b5,1,0.001267,10.39,[168  89] ; [16 25],[158.68456376  98.31543624] ; [25.31543624 15.68456376],0
n2,1,0.001859,9.683311,[56 24] ; [ 6 13],[50.1010101 29.8989899] ; [11.8989899  7.1010101],0
u3,1,0.002154,9.413143,[58 42] ; [ 2 12],[52.63157895 47.36842105] ; [7.36842105 6.63157895],0
s2,1,0.00258,9.083321,[106 148] ; [ 7 34],[ 97.29491525 156.70508475] ; [15.70508475 25.29491525],0
p4,1,0.003129,8.730419,[112 143] ; [ 8 33],[103.37837838 151.62162162] ; [16.62162162 24.37837838],0
s8,1,0.003505,8.523947,[ 82 174] ; [ 4 37],[ 74.12794613 181.87205387] ; [11.87205387 29.12794613],0
s3,1,0.004624,8.021112,[131 123] ; [11 29],[122.68027211 131.31972789] ; [19.31972789 20.68027211],0
d5,1,0.006648,7.365724,[185  71] ; [21 20],[177.56228956  78.43771044] ; [28.43771044 12.56228956],0
p8,1,0.007502,7.148564,[ 93 162] ; [ 6 34],[ 85.57627119 169.42372881] ; [13.42372881 26.57627119],0
a7,1,0.009182,6.786983,[173  84] ; [19 22],[165.58389262  91.41610738] ; [26.41610738 14.58389262],0
u2,1,0.018607,5.538045,[55 45] ; [ 3 11],[50.87719298 49.12280702] ; [7.12280702 6.87719298],0
s1,1,0.031085,4.648244,[ 14 240] ; [ 6 35],[ 17.22033898 236.77966102] ; [ 2.77966102 38.22033898],0
n3,1,0.04033,4.203964,[52 25] ; [ 8 11],[48.125 28.875] ; [11.875  7.125],0
p7,1,0.043181,4.088307,[109 141] ; [11 30],[103.09278351 146.90721649] ; [16.90721649 24.09278351],0
a6,1,0.061316,3.501427,[164  92] ; [20 21],[158.5993266  97.4006734] ; [25.4006734 15.5993266],0
d1,1,0.07649,3.13795,[113 144] ; [12 29],[107.80201342 149.19798658] ; [17.19798658 23.80201342],0
a2,1,0.080844,3.047848,[ 47 210] ; [ 3 38],[ 43.12080537 213.87919463] ; [ 6.87919463 34.12080537],0
s5,1,0.094719,2.792288,[ 60 191] ; [ 5 36],[ 55.87328767 195.12671233] ; [ 9.12671233 31.87328767],0
s7,1,0.098484,2.729924,[ 86 157] ; [ 8 29],[ 81.57857143 161.42142857] ; [12.42142857 24.57857143],0
b3,1,0.108949,2.569397,[ 41 107] ; [12 16],[ 44.56818182 103.43181818] ; [ 8.43181818 19.56818182],0
b2,1,0.108949,2.569397,[ 41 107] ; [12 16],[ 44.56818182 103.43181818] ; [ 8.43181818 19.56818182],0
d3,1,0.14134,2.163306,[150 106] ; [19 22],[145.67003367 110.32996633] ; [23.32996633 17.67003367],0
u1,1,0.156634,2.006422,[ 32 225] ; [ 2 39],[ 29.32214765 227.67785235] ; [ 4.67785235 36.32214765],0
b1,1,0.162977,1.94638,[108 149] ; [22 19],[112.11409396 144.88590604] ; [17.88590604 23.11409396],0
p3,1,0.218074,1.516997,[ 87 168] ; [10 31],[ 83.56418919 171.43581081] ; [13.43581081 27.56418919],0
d4,1,0.224169,1.477479,[186  70] ; [26 15],[182.73400673  73.26599327] ; [29.26599327 11.73400673],0
a5,1,0.231365,1.432451,[163  94] ; [22 19],[159.54697987  97.45302013] ; [25.45302013 15.54697987],0
v1,1,0.27306,1.20131,[ 89 161] ; [11 30],[ 85.91065292 164.08934708] ; [14.08934708 26.91065292],0
a3,1,0.443564,0.587046,[156  99] ; [27 13],[158.18644068  96.81355932] ; [24.81355932 15.18644068],0
a8,1,0.495878,0.463747,[ 27 213] ; [ 6 34],[ 28.28571429 211.71428571] ; [ 4.71428571 35.28571429],0
n4,1,0.563744,0.333263,[174  82] ; [26 15],[172.39057239  83.60942761] ; [27.60942761 13.39057239],0
a4,1,0.573312,0.317171,[ 95 161] ; [13 27],[ 93.40540541 162.59459459] ; [14.59459459 25.40540541],0
n5,1,0.749451,0.101993,[175  81] ; [27 14],[174.11447811  81.88552189] ; [27.88552189 13.11447811],0
b4,1,0.752596,0.099362,[150 107] ; [25 16],[150.92281879 106.07718121] ; [24.07718121 16.92281879],0
n1,1,0.770464,0.085129,[30 48] ; [ 8 11],[30.55670103 47.44329897] ; [ 7.44329897 11.55670103],0
d2,1,0.851429,0.03508,[106 149] ; [16 24],[105.45762712 149.54237288] ; [16.54237288 23.45762712],0
p5,1,0.855648,0.033094,[ 17 236] ; [ 3 37],[ 17.26962457 235.73037543] ; [ 2.73037543 37.26962457],0
s4,1,0.937043,0.006239,[ 45 211] ; [ 7 34],[ 44.82154882 211.17845118] ; [ 7.17845118 33.82154882],0
v3,1,0.975452,0.000947,[ 43 206] ; [ 7 34],[ 42.93103448 206.06896552] ; [ 7.06896552 33.93103448],0
