Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,122.940609,[201  18] ; [17 49],[167.51578947  51.48421053] ; [50.48421053 15.51578947],1
p8,1,0.0,43.866247,[136  81] ; [11 56],[112.32042254 104.67957746] ; [34.67957746 32.32042254],1
p2,1,0.0,42.948346,[184  33] ; [31 37],[163.70175439  53.29824561] ; [51.29824561 16.70175439],1
r3,1,0.0,39.071376,[207   9] ; [47 21],[193.18309859  22.81690141] ; [60.81690141  7.18309859],1
r4,1,0.0,34.95404,[197  22] ; [40 28],[180.8466899  38.1533101] ; [56.1533101 11.8466899],1
p7,1,0.0,33.486599,[158  56] ; [24 44],[138.11347518  75.88652482] ; [43.88652482 24.11347518],1
v4,1,2e-06,22.784855,[203  13] ; [49 18],[192.33922261  23.66077739] ; [59.66077739  7.33922261],1
n6,1,2e-06,22.449601,[183  36] ; [38 30],[168.63763066  50.36236934] ; [52.36236934 15.63763066],1
s8,1,3e-06,22.112036,[111 107] ; [12 54],[ 94.41549296 123.58450704] ; [28.58450704 37.41549296],1
p4,1,4e-06,21.257572,[149  70] ; [25 43],[132.77351916  86.22648084] ; [41.22648084 26.77351916],1
n5,1,5e-06,21.007517,[188  31] ; [41 27],[174.74216028  44.25783972] ; [54.25783972 13.74216028],1
r1,1,6.2e-05,16.048634,[174  43] ; [38 30],[161.41754386  55.58245614] ; [50.58245614 17.41754386],1
a5,1,0.000131,14.621304,[176  43] ; [39 29],[164.05923345  54.94076655] ; [50.94076655 17.05923345],1
v1,1,0.000141,14.489051,[117  92] ; [20 48],[103.36823105 105.63176895] ; [33.63176895 34.36823105],1
p6,1,0.00015,14.37845,[ 91 124] ; [11 55],[ 78.04270463 136.95729537] ; [23.95729537 42.04270463],1
p3,1,0.000263,13.314589,[135  83] ; [25 43],[121.95804196  96.04195804] ; [38.04195804 29.95804196],1
a3,1,0.000298,13.085821,[173  45] ; [39 29],[161.59440559  56.40559441] ; [50.40559441 17.59440559],1
v2,1,0.000328,12.905743,[113  92] ; [20 47],[100.23897059 104.76102941] ; [32.76102941 34.23897059],1
s2,1,0.00064,11.65583,[116 100] ; [20 47],[103.80212014 112.19787986] ; [32.19787986 34.80212014],1
n4,1,0.001372,10.243503,[184  35] ; [45 23],[174.74216028  44.25783972] ; [54.25783972 13.74216028],0
