Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.035266,4.432234,[10  2] ; [3 5],[7.8 4.2] ; [5.2 2.8],0
p9,1,0.093533,2.8125,[9 3] ; [3 5],[7.2 4.8] ; [4.8 3.2],0
u2,1,0.098943,2.7225,[1 3] ; [4 1],[2.22222222 1.77777778] ; [2.77777778 2.22222222],0
s5,1,0.110149,2.552083,[ 1 11] ; [3 5],[2.4 9.6] ; [1.6 6.4],0
p11,1,0.111017,2.539683,[10  2] ; [4 4],[8.4 3.6] ; [5.6 2.4],0
p10,1,0.111017,2.539683,[10  2] ; [4 4],[8.4 3.6] ; [5.6 2.4],0
s7,1,0.11953,2.423469,[6 6] ; [1 6],[4.42105263 7.57894737] ; [2.57894737 4.42105263],0
v2,1,0.142117,2.154882,[7 5] ; [2 6],[5.4 6.6] ; [3.6 4.4],0
r1,1,0.163187,1.944444,[5 7] ; [1 7],[3.6 8.4] ; [2.4 5.6],0
a3,1,0.198982,1.649832,[8 4] ; [3 5],[6.6 5.4] ; [4.4 3.6],0
d3,1,0.263552,1.25,[6 6] ; [6 2],[7.2 4.8] ; [4.8 3.2],0
v4,1,0.263552,1.25,[6 6] ; [6 2],[7.2 4.8] ; [4.8 3.2],0
r4,1,0.291841,1.111111,[ 2 10] ; [3 5],[3. 9.] ; [2. 6.],0
d2,1,0.291841,1.111111,[4 8] ; [1 7],[3. 9.] ; [2. 6.],0
u3,1,0.293718,1.1025,[1 3] ; [3 2],[1.77777778 2.22222222] ; [2.22222222 2.77777778],0
a1,1,0.306488,1.045752,[ 1 11] ; [2 6],[ 1.8 10.2] ; [1.2 6.8],0
n6,1,0.345099,0.891396,[9 2] ; [5 3],[8.10526316 2.89473684] ; [5.89473684 2.10526316],0
a5,1,0.36131,0.833333,[7 5] ; [3 5],[6. 6.] ; [4. 4.],0
p3,1,0.36131,0.833333,[5 7] ; [5 3],[6. 6.] ; [4. 4.],0
p7,1,0.443939,0.586081,[7 5] ; [6 2],[7.8 4.2] ; [5.2 2.8],0
s8,1,0.443939,0.586081,[5 7] ; [2 6],[4.2 7.8] ; [2.8 5.2],0
d1,1,0.443939,0.586081,[5 7] ; [2 6],[4.2 7.8] ; [2.8 5.2],0
n1,1,0.540291,0.375,[1 3] ; [1 1],[1.33333333 2.66666667] ; [0.66666667 1.33333333],0
n3,1,0.540291,0.375,[1 3] ; [1 1],[1.33333333 2.66666667] ; [0.66666667 1.33333333],0
a7,1,0.550097,0.357143,[3 9] ; [3 5],[3.6 8.4] ; [2.4 5.6],0
p2,1,0.550097,0.357143,[9 3] ; [5 3],[8.4 3.6] ; [5.6 2.4],0
a6,1,0.581989,0.30303,[6 6] ; [5 3],[6.6 5.4] ; [4.4 3.6],0
d5,1,0.581989,0.30303,[6 6] ; [3 5],[5.4 6.6] ; [3.6 4.4],0
s6,1,0.648077,0.208333,[10  2] ; [6 2],[9.6 2.4] ; [6.4 1.6],0
r3,1,0.648077,0.208333,[10  2] ; [6 2],[9.6 2.4] ; [6.4 1.6],0
v3,1,0.690328,0.15873,[4 8] ; [2 6],[3.6 8.4] ; [2.4 5.6],0
p8,1,0.713628,0.13468,[5 7] ; [4 4],[5.4 6.6] ; [3.6 4.4],0
b1,1,0.713628,0.13468,[7 5] ; [4 4],[6.6 5.4] ; [4.4 3.6],0
v1,1,0.713628,0.13468,[5 7] ; [4 4],[5.4 6.6] ; [3.6 4.4],0
p12,1,0.760907,0.092593,[ 1 11] ; [1 7],[ 1.2 10.8] ; [0.8 7.2],0
p5,1,0.798217,0.065359,[ 2 10] ; [1 7],[ 1.8 10.2] ; [1.2 6.8],0
d4,1,0.798217,0.065359,[10  2] ; [7 1],[10.2  1.8] ; [6.8 1.2],0
a4,1,0.798217,0.065359,[ 2 10] ; [1 7],[ 1.8 10.2] ; [1.2 6.8],0
s3,1,0.84822,0.03663,[8 4] ; [5 3],[7.8 4.2] ; [5.2 2.8],0
p6,1,0.84822,0.03663,[4 8] ; [3 5],[4.2 7.8] ; [2.8 5.2],0
b5,1,0.84822,0.03663,[8 4] ; [5 3],[7.8 4.2] ; [5.2 2.8],0
b4,1,0.852179,0.034722,[5 7] ; [3 5],[4.8 7.2] ; [3.2 4.8],0
s4,1,1.0,0.0,[3 9] ; [2 6],[3. 9.] ; [2. 6.],0
