Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,296.476939,[451  17] ; [28 74],[393.28421053  74.71578947] ; [85.71578947 16.28421053],1
p11,1,0.0,116.245334,[407  62] ; [41 65],[365.41217391 103.58782609] ; [82.58782609 23.41217391],1
n6,1,0.0,61.184288,[414  51] ; [61 45],[386.82136602  78.17863398] ; [88.17863398 17.82136602],1
r4,1,0.0,59.797167,[430  39] ; [67 39],[405.37913043  63.62086957] ; [91.62086957 14.37913043],1
r3,1,0.0,59.088906,[452  15] ; [80 26],[433.58464223  33.41535777] ; [98.41535777  7.58464223],1
p2,1,0.0,59.077307,[405  63] ; [57 49],[376.68292683  91.31707317] ; [85.31707317 20.68292683],1
v4,1,0.0,42.898643,[451  14] ; [84 21],[436.44736842  28.55263158] ; [98.55263158  6.44736842],1
r2,1,0.0,34.746736,[445  18] ; [84 21],[431.20950704  31.79049296] ; [97.79049296  7.20950704],1
p8,1,0.0,29.01877,[255 207] ; [27 77],[230.18374558 231.81625442] ; [51.81625442 52.18374558],1
a7,1,1e-06,23.688961,[358 111] ; [56 50],[337.68 131.32] ; [76.32 29.68],1
n5,1,6e-06,20.419696,[352 113] ; [57 49],[333.07355517 131.92644483] ; [75.92644483 30.07355517],1
v2,1,7e-06,20.218763,[272 179] ; [37 66],[251.55054152 199.44945848] ; [57.44945848 45.55054152],1
r1,1,9e-06,19.653668,[376  91] ; [64 42],[358.60383944 108.39616056] ; [81.39616056 24.60383944],1
s6,1,2e-05,18.153595,[321 140] ; [49 54],[302.42907801 158.57092199] ; [67.57092199 35.42907801],1
s8,1,4.2e-05,16.786236,[206 260] ; [23 80],[187.54657293 278.45342707] ; [41.45342707 61.54657293],1
d3,1,6.1e-05,16.057705,[339 129] ; [55 50],[321.80104712 146.19895288] ; [72.19895288 32.80104712],1
p4,1,6.6e-05,15.928555,[279 186] ; [41 65],[260.59544658 204.40455342] ; [59.40455342 46.59544658],1
a6,1,8.1e-05,15.534124,[330 138] ; [53 52],[312.81675393 155.18324607] ; [70.18324607 34.81675393],1
s7,1,0.000128,14.669987,[220 230] ; [26 69],[203.11926606 246.88073394] ; [42.88073394 52.11926606],1
v1,1,0.000136,14.559254,[254 204] ; [37 69],[236.30851064 221.69148936] ; [54.69148936 51.30851064],1
p7,1,0.000141,14.484276,[293 162] ; [47 59],[275.75757576 179.24242424] ; [64.24242424 41.75757576],1
s2,1,0.000184,13.98385,[240 225] ; [33 72],[222.71052632 242.28947368] ; [50.28947368 54.71052632],1
d1,1,0.000206,13.771067,[283 186] ; [43 63],[265.9026087 203.0973913] ; [60.0973913 45.9026087],1
d5,1,0.000391,12.575148,[388  80] ; [71 34],[374.89005236  93.10994764] ; [84.10994764 20.89005236],1
