Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.013407,6.114656,[5 1] ; [ 3 10],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
b5,1,0.068628,3.315527,[5 1] ; [5 8],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
d5,1,0.12707,2.327943,[5 1] ; [6 7],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
p7,1,0.12707,2.327943,[5 1] ; [6 7],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
v4,1,0.140711,2.170163,[2 4] ; [9 4],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
s3,1,0.179712,1.8,[4 2] ; [4 8],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
a8,1,0.179712,1.8,[2 4] ; [ 1 11],[1. 5.] ; [ 2. 10.],0
n5,1,0.215508,1.534035,[5 1] ; [7 6],[3.78947368 2.21052632] ; [8.21052632 4.78947368],0
p3,1,0.240575,1.377219,[3 3] ; [ 3 10],[1.89473684 4.10526316] ; [4.10526316 8.89473684],0
s7,1,0.308709,1.03619,[2 3] ; [8 4],[2.94117647 2.05882353] ; [7.05882353 4.94117647],0
a3,1,0.405187,0.692877,[2 4] ; [7 6],[2.84210526 3.15789474] ; [6.15789474 6.84210526],0
v3,1,0.405187,0.692877,[4 2] ; [6 7],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
b2,1,0.407626,0.685714,[1 4] ; [3 4],[1.66666667 3.33333333] ; [2.33333333 4.66666667],0
b3,1,0.407626,0.685714,[1 4] ; [3 4],[1.66666667 3.33333333] ; [2.33333333 4.66666667],0
d2,1,0.41923,0.652473,[3 3] ; [4 9],[2.21052632 3.78947368] ; [4.78947368 8.21052632],0
v1,1,0.41923,0.652473,[3 3] ; [4 9],[2.21052632 3.78947368] ; [4.78947368 8.21052632],0
r4,1,0.41923,0.652473,[3 3] ; [4 9],[2.21052632 3.78947368] ; [4.78947368 8.21052632],0
s2,1,0.494125,0.467532,[3 3] ; [4 8],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
n4,1,0.516407,0.421062,[5 1] ; [9 4],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
p5,1,0.553516,0.351056,[1 5] ; [ 1 12],[0.63157895 5.36842105] ; [ 1.36842105 11.63157895],0
p9,1,0.595883,0.28125,[5 1] ; [11  1],[5.33333333 0.66666667] ; [10.66666667  1.33333333],0
u3,1,0.598161,0.277778,[2 2] ; [4 2],[2.4 1.6] ; [3.6 2.4],0
p8,1,0.598802,0.276807,[4 2] ; [7 6],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
b1,1,0.598802,0.276807,[2 4] ; [6 7],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
r1,1,0.598802,0.276807,[4 2] ; [7 6],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
a5,1,0.598802,0.276807,[4 2] ; [7 6],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
a6,1,0.635848,0.224213,[3 3] ; [5 8],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
n6,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
d4,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
s5,1,0.636982,0.222711,[2 4] ; [ 3 10],[1.57894737 4.42105263] ; [3.42105263 9.57894737],0
d1,1,0.636982,0.222711,[2 4] ; [ 3 10],[1.57894737 4.42105263] ; [3.42105263 9.57894737],0
a4,1,0.750042,0.101496,[1 5] ; [ 3 10],[1.26315789 4.73684211] ; [ 2.73684211 10.26315789],0
b4,1,0.829454,0.046398,[4 2] ; [8 5],[3.78947368 2.21052632] ; [8.21052632 4.78947368],0
d3,1,0.875975,0.024359,[3 3] ; [7 6],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
a7,1,0.875975,0.024359,[3 3] ; [7 6],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
s4,1,0.943209,0.005075,[1 5] ; [ 2 11],[0.94736842 5.05263158] ; [ 2.05263158 10.94736842],0
p11,1,0.943209,0.005075,[5 1] ; [11  2],[5.05263158 0.94736842] ; [10.94736842  2.05263158],0
