Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9.7e-05,15.193402,[5 9] ; [25  2],[10.24390244  3.75609756] ; [19.75609756  7.24390244],1
p11,1,0.003188,8.696471,[7 7] ; [27  3],[10.81818182  3.18181818] ; [23.18181818  6.81818182],0
a4,1,0.061664,3.492063,[ 1 13] ; [10 20],[ 3.5 10.5] ; [ 7.5 22.5],0
p2,1,0.071233,3.254366,[8 6] ; [24  5],[10.41860465  3.58139535] ; [21.58139535  7.41860465],0
n5,1,0.072267,3.230769,[6 8] ; [20  8],[8.66666667 5.33333333] ; [17.33333333 10.66666667],0
s8,1,0.075627,3.156471,[ 2 12] ; [12 17],[4.55813953 9.44186047] ; [ 9.44186047 19.55813953],0
p3,1,0.082239,3.020093,[ 4 10] ; [17 13],[6.68181818 7.31818182] ; [14.31818182 15.68181818],0
n4,1,0.086581,2.936825,[5 9] ; [19 11],[7.63636364 6.36363636] ; [16.36363636 13.63636364],0
p5,1,0.122553,2.384389,[ 1 13] ; [ 8 21],[ 2.93023256 11.06976744] ; [ 6.06976744 22.93023256],0
v1,1,0.171857,1.866667,[ 3 11] ; [12 16],[5. 9.] ; [10. 18.],0
a5,1,0.195431,1.67619,[5 9] ; [17 13],[7. 7.] ; [15. 15.],0
b4,1,0.275787,1.187735,[5 9] ; [16 14],[6.68181818 7.31818182] ; [14.31818182 15.68181818],0
p7,1,0.299625,1.075862,[11  2] ; [18  8],[9.66666667 3.33333333] ; [19.33333333  6.66666667],0
p4,1,0.307375,1.041923,[7 6] ; [21  9],[8.46511628 4.53488372] ; [19.53488372 10.46511628],0
v4,1,0.350994,0.869862,[10  4] ; [21  4],[11.12820513  2.87179487] ; [19.87179487  5.12820513],0
s5,1,0.36911,0.806659,[ 1 12] ; [ 5 22],[ 1.95 11.05] ; [ 4.05 22.95],0
n2,1,0.374857,0.7875,[6 3] ; [10  2],[6.85714286 2.14285714] ; [9.14285714 2.85714286],0
a6,1,0.375399,0.785714,[9 5] ; [15 15],[7.63636364 6.36363636] ; [16.36363636 13.63636364],0
a2,1,0.391212,0.735171,[ 1 13] ; [ 5 25],[ 1.90909091 12.09090909] ; [ 4.09090909 25.90909091],0
a7,1,0.402114,0.701994,[7 7] ; [19 11],[8.27272727 5.72727273] ; [17.72727273 12.27272727],0
d5,1,0.402114,0.701994,[7 7] ; [19 11],[8.27272727 5.72727273] ; [17.72727273 12.27272727],0
v2,1,0.415529,0.662926,[ 4 10] ; [12 17],[5.20930233 8.79069767] ; [10.79069767 18.20930233],0
s7,1,0.437013,0.604113,[5 9] ; [14 15],[6.18604651 7.81395349] ; [12.81395349 16.18604651],0
n3,1,0.445009,0.583333,[3 6] ; [6 6],[3.85714286 5.14285714] ; [5.14285714 6.85714286],0
u2,1,0.469064,0.524179,[5 3] ; [7 8],[4.17391304 3.82608696] ; [7.82608696 7.17391304],0
n6,1,0.480933,0.496746,[8 5] ; [21  8],[8.97619048 4.02380952] ; [20.02380952  8.97619048],0
r2,1,0.485045,0.4875,[9 4] ; [15 11],[8. 5.] ; [16. 10.],0
s2,1,0.508332,0.4375,[7 7] ; [11 17],[6. 8.] ; [12. 16.],0
a3,1,0.658617,0.195209,[6 8] ; [15 15],[6.68181818 7.31818182] ; [14.31818182 15.68181818],0
s1,1,0.676523,0.174066,[ 2 12] ; [ 3 27],[ 1.59090909 12.40909091] ; [ 3.40909091 26.59090909],0
s3,1,0.684743,0.164835,[5 9] ; [11 15],[5.6 8.4] ; [10.4 15.6],0
b5,1,0.694469,0.15429,[8 6] ; [19 11],[8.59090909 5.40909091] ; [18.40909091 11.59090909],0
n1,1,0.697161,0.151442,[3 6] ; [5 7],[3.42857143 5.57142857] ; [4.57142857 7.42857143],0
d2,1,0.704656,0.143673,[5 9] ; [ 9 21],[4.45454545 9.54545455] ; [ 9.54545455 20.45454545],0
p6,1,0.721817,0.126758,[5 9] ; [12 17],[5.53488372 8.46511628] ; [11.46511628 17.53488372],0
u3,1,0.746188,0.104762,[4 4] ; [6 8],[3.63636364 4.36363636] ; [6.36363636 7.63636364],0
s4,1,0.754867,0.097487,[ 4 10] ; [ 7 22],[ 3.58139535 10.41860465] ; [ 7.41860465 21.58139535],0
u1,1,0.758798,0.094286,[ 1 13] ; [ 3 27],[ 1.27272727 12.72727273] ; [ 2.72727273 27.27272727],0
r1,1,0.797817,0.065625,[ 3 11] ; [ 7 21],[ 3.33333333 10.66666667] ; [ 6.66666667 21.33333333],0
r3,1,0.816961,0.053571,[9 5] ; [19  9],[9.33333333 4.66666667] ; [18.66666667  9.33333333],0
d3,1,0.836647,0.042512,[7 7] ; [16 14],[7.31818182 6.68181818] ; [15.68181818 14.31818182],0
b1,1,0.836647,0.042512,[7 7] ; [14 16],[6.68181818 7.31818182] ; [14.31818182 15.68181818],0
s6,1,0.896219,0.017014,[6 8] ; [11 16],[5.80487805 8.19512195] ; [11.19512195 15.80487805],0
d1,1,0.922934,0.009358,[ 4 10] ; [ 9 21],[4.13636364 9.86363636] ; [ 8.86363636 21.13636364],0
d4,1,0.951226,0.003741,[9 5] ; [19 11],[8.90909091 5.09090909] ; [19.09090909 10.90909091],0
v3,1,1.0,0.0,[ 3 11] ; [ 6 22],[ 3. 11.] ; [ 6. 22.],0
