Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.004845,7.936508,[13  1] ; [2 4],[10.5  3.5] ; [4.5 1.5],0
s7,1,0.019773,5.431803,[ 3 11] ; [4 1],[5.15789474 8.84210526] ; [1.84210526 3.15789474],0
a6,1,0.024078,5.088985,[10  4] ; [1 5],[7.7 6.3] ; [3.3 2.7],0
b2,1,0.124541,2.359259,[1 8] ; [2 2],[2.07692308 6.92307692] ; [0.92307692 3.07692308],0
b3,1,0.124541,2.359259,[1 8] ; [2 2],[2.07692308 6.92307692] ; [0.92307692 3.07692308],0
n5,1,0.163187,1.944444,[7 7] ; [5 1],[8.4 5.6] ; [3.6 2.4],0
p11,1,0.201336,1.632653,[11  3] ; [3 3],[9.8 4.2] ; [4.2 1.8],0
v3,1,0.201336,1.632653,[ 3 11] ; [3 3],[4.2 9.8] ; [1.8 4.2],0
v2,1,0.202288,1.625782,[5 9] ; [4 2],[6.3 7.7] ; [2.7 3.3],0
s3,1,0.260452,1.266353,[8 6] ; [5 1],[9.1 4.9] ; [3.9 2.1],0
n4,1,0.260452,1.266353,[8 6] ; [5 1],[9.1 4.9] ; [3.9 2.1],0
p3,1,0.329114,0.952381,[8 6] ; [2 4],[7. 7.] ; [3. 3.],0
a5,1,0.329114,0.952381,[8 6] ; [2 4],[7. 7.] ; [3. 3.],0
s8,1,0.357197,0.847724,[ 4 10] ; [3 3],[4.9 9.1] ; [2.1 3.9],0
p6,1,0.357197,0.847724,[ 4 10] ; [3 3],[4.9 9.1] ; [2.1 3.9],0
p7,1,0.357197,0.847724,[10  4] ; [3 3],[9.1 4.9] ; [3.9 2.1],0
p10,1,0.394305,0.725624,[9 5] ; [5 1],[9.8 4.2] ; [4.2 1.8],0
n6,1,0.418222,0.655306,[11  3] ; [3 2],[10.31578947  3.68421053] ; [3.68421053 1.31578947],0
a3,1,0.492353,0.47138,[7 7] ; [4 2],[7.7 6.3] ; [3.3 2.7],0
v1,1,0.492353,0.47138,[7 7] ; [2 4],[6.3 7.7] ; [2.7 3.3],0
b1,1,0.492353,0.47138,[7 7] ; [4 2],[7.7 6.3] ; [3.3 2.7],0
p12,1,0.515305,0.42328,[ 1 13] ; [1 5],[ 1.4 12.6] ; [0.6 5.4],0
v4,1,0.550097,0.357143,[9 5] ; [3 3],[8.4 5.6] ; [3.6 2.4],0
b4,1,0.550097,0.357143,[5 9] ; [3 3],[5.6 8.4] ; [2.4 3.6],0
p9,1,0.550097,0.357143,[9 5] ; [3 3],[8.4 5.6] ; [3.6 2.4],0
d3,1,0.550097,0.357143,[9 5] ; [3 3],[8.4 5.6] ; [3.6 2.4],0
a8,1,0.553516,0.351056,[ 1 12] ; [1 5],[ 1.36842105 11.63157895] ; [0.63157895 5.36842105],0
r4,1,0.573138,0.31746,[ 3 11] ; [2 4],[ 3.5 10.5] ; [1.5 4.5],0
s4,1,0.573138,0.31746,[ 3 11] ; [2 4],[ 3.5 10.5] ; [1.5 4.5],0
d2,1,0.573138,0.31746,[ 3 11] ; [2 4],[ 3.5 10.5] ; [1.5 4.5],0
d5,1,0.768571,0.08658,[6 8] ; [3 3],[6.3 7.7] ; [2.7 3.3],0
p8,1,0.768571,0.08658,[6 8] ; [3 3],[6.3 7.7] ; [2.7 3.3],0
r3,1,0.80725,0.059524,[11  3] ; [5 1],[11.2  2.8] ; [4.8 1.2],0
s6,1,0.80725,0.059524,[11  3] ; [5 1],[11.2  2.8] ; [4.8 1.2],0
s5,1,0.80725,0.059524,[ 3 11] ; [1 5],[ 2.8 11.2] ; [1.2 4.8],0
a7,1,0.831359,0.045351,[ 4 10] ; [2 4],[4.2 9.8] ; [1.8 4.2],0
p2,1,0.831359,0.045351,[10  4] ; [4 2],[9.8 4.2] ; [4.2 1.8],0
u2,1,0.857714,0.032143,[4 3] ; [1 1],[3.88888889 3.11111111] ; [1.11111111 0.88888889],0
p5,1,0.891305,0.018674,[ 2 12] ; [1 5],[ 2.1 11.9] ; [0.9 5.1],0
a1,1,0.891305,0.018674,[ 2 12] ; [1 5],[ 2.1 11.9] ; [0.9 5.1],0
d4,1,0.891305,0.018674,[12  2] ; [5 1],[11.9  2.1] ; [5.1 0.9],0
d1,1,0.918517,0.010466,[5 9] ; [2 4],[4.9 9.1] ; [2.1 3.9],0
b5,1,0.918517,0.010466,[9 5] ; [4 2],[9.1 4.9] ; [3.9 2.1],0
