Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.95625,[ 4 23] ; [51 21],[15. 12.] ; [40. 32.],1
s3,1,2.2e-05,17.983768,[ 4 22] ; [46 26],[13.26530612 12.73469388] ; [36.73469388 35.26530612],1
s7,1,0.000109,14.970918,[ 4 20] ; [42 25],[12.13186813 11.86813187] ; [33.86813187 33.13186813],1
s8,1,0.000665,11.58584,[ 4 23] ; [38 34],[11.45454545 15.54545455] ; [30.54545455 41.45454545],1
s5,1,0.000835,11.161353,[ 3 24] ; [33 36],[10.125 16.875] ; [25.875 43.125],1
r1,1,0.005763,7.623109,[17 10] ; [63  9],[21.81818182  5.18181818] ; [58.18181818 13.81818182],0
p3,1,0.008894,6.844077,[ 5 20] ; [36 36],[10.56701031 14.43298969] ; [30.43298969 41.56701031],0
p9,1,0.018891,5.511594,[12 14] ; [51 20],[16.88659794  9.11340206] ; [46.11340206 24.88659794],0
b3,1,0.022337,5.219338,[6 3] ; [11 30],[3.06 5.94] ; [13.94 27.06],0
b2,1,0.022337,5.219338,[6 3] ; [11 30],[3.06 5.94] ; [13.94 27.06],0
r4,1,0.044145,4.051022,[19  8] ; [63  9],[22.36363636  4.63636364] ; [59.63636364 12.36363636],0
p4,1,0.059346,3.555556,[ 8 16] ; [40 32],[12. 12.] ; [36. 36.],0
d2,1,0.06928,3.3,[11 16] ; [44 28],[15. 12.] ; [40. 32.],0
n3,1,0.073495,3.203194,[3 4] ; [18  5],[4.9 2.1] ; [16.1  6.9],0
n2,1,0.073495,3.203194,[3 4] ; [18  5],[4.9 2.1] ; [16.1  6.9],0
r2,1,0.081839,3.027994,[23  3] ; [70  2],[24.67346939  1.32653061] ; [68.32653061  3.67346939],0
p7,1,0.090578,2.864077,[ 9 16] ; [39 31],[12.63157895 12.36842105] ; [35.36842105 34.63157895],0
p10,1,0.097319,2.748934,[12 14] ; [46 25],[15.54639175 10.45360825] ; [42.45360825 28.54639175],0
b1,1,0.108669,2.573472,[ 9 18] ; [37 35],[12.54545455 14.45454545] ; [33.45454545 38.54545455],0
v1,1,0.118036,2.443191,[11 16] ; [42 30],[14.45454545 12.54545455] ; [38.54545455 33.45454545],0
s4,1,0.1322,2.266484,[ 3 24] ; [18 54],[ 5.72727273 21.27272727] ; [15.27272727 56.72727273],0
r3,1,0.138068,2.199362,[23  4] ; [67  4],[24.79591837  2.20408163] ; [65.20408163  5.79591837],0
p2,1,0.152077,2.05129,[14 12] ; [50 22],[16.97959184  9.02040816] ; [47.02040816 24.97959184],0
n1,1,0.160506,1.969449,[1 6] ; [10 13],[2.56666667 4.43333333] ; [ 8.43333333 14.56666667],0
n4,1,0.164122,1.935826,[15 12] ; [50 21],[17.90816327  9.09183673] ; [47.09183673 23.90816327],0
a5,1,0.196175,1.670625,[18  9] ; [57 15],[20.45454545  6.54545455] ; [54.54545455 17.45454545],0
p6,1,0.21016,1.570325,[ 7 17] ; [31 40],[ 9.6 14.4] ; [28.4 42.6],0
n5,1,0.235344,1.408269,[13 14] ; [43 27],[15.58762887 11.41237113] ; [40.41237113 29.58762887],0
b5,1,0.329406,0.951231,[19  8] ; [43 29],[16.90909091 10.09090909] ; [45.09090909 26.90909091],0
u1,1,0.34035,0.909112,[ 4 23] ; [17 55],[ 5.72727273 21.27272727] ; [15.27272727 56.72727273],0
a3,1,0.412257,0.672284,[21  6] ; [50 22],[19.36363636  7.63636364] ; [51.63636364 20.36363636],0
n6,1,0.45302,0.563084,[18  9] ; [52 18],[19.48453608  7.51546392] ; [50.51546392 19.48453608],0
a6,1,0.465684,0.532199,[19  8] ; [45 27],[17.45454545  9.54545455] ; [46.54545455 25.45454545],0
s1,1,0.522436,0.409082,[ 2 25] ; [ 3 68],[ 1.37755102 25.62244898] ; [ 3.62244898 67.37755102],0
p1,1,0.537958,0.379337,[ 1 26] ; [ 5 66],[ 1.65306122 25.34693878] ; [ 4.34693878 66.65306122],0
a4,1,0.538232,0.378827,[12 15] ; [37 35],[13.36363636 13.63636364] ; [35.63636364 36.36363636],0
a2,1,0.561696,0.336775,[ 7 20] ; [23 49],[ 8.18181818 18.81818182] ; [21.81818182 50.18181818],0
v3,1,0.658446,0.195416,[13 13] ; [31 38],[12.04210526 13.95789474] ; [31.95789474 37.04210526],0
d3,1,0.790689,0.070446,[18  9] ; [50 22],[18.54545455  8.45454545] ; [49.45454545 22.54545455],0
u3,1,0.84313,0.039161,[3 3] ; [12 10],[3.21428571 2.78571429] ; [11.78571429 10.21428571],0
a7,1,0.855421,0.033199,[19  8] ; [52 20],[19.36363636  7.63636364] ; [51.63636364 20.36363636],0
d1,1,0.866627,0.028205,[16 11] ; [44 28],[16.36363636 10.63636364] ; [43.63636364 28.36363636],0
v4,1,0.880332,0.022665,[25  2] ; [66  6],[24.81818182  2.18181818] ; [66.18181818  5.81818182],0
d4,1,0.906264,0.013866,[23  4] ; [62 10],[23.18181818  3.81818182] ; [61.81818182 10.18181818],0
d5,1,0.906264,0.013866,[23  4] ; [62 10],[23.18181818  3.81818182] ; [61.81818182 10.18181818],0
u2,1,0.918011,0.010597,[3 3] ; [10 11],[2.88888889 3.11111111] ; [10.11111111 10.88888889],0
b4,1,0.933614,0.006939,[16 11] ; [42 30],[15.81818182 11.18181818] ; [42.18181818 29.81818182],0
p8,1,0.97107,0.001315,[ 8 17] ; [23 48],[ 8.07291667 16.92708333] ; [22.92708333 48.07291667],0
