Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000116,14.855967,[7 5] ; [101   7],[10.8  1.2] ; [97.2 10.8],1
v4,1,0.001028,10.775947,[8 4] ; [101   6],[10.99159664  1.00840336] ; [98.00840336  8.99159664],0
n4,1,0.003482,8.536155,[4 8] ; [80 28],[8.4 3.6] ; [75.6 32.4],0
n5,1,0.004607,8.027787,[4 8] ; [79 29],[8.3 3.7] ; [74.7 33.3],0
v3,1,0.098233,2.734007,[ 1 10] ; [35 70],[3.4137931 7.5862069] ; [32.5862069 72.4137931],0
p9,1,0.119104,2.42906,[8 4] ; [88 16],[9.93103448 2.06896552] ; [86.06896552 17.93103448],0
s4,1,0.121813,2.393849,[6 6] ; [30 76],[3.66101695 8.33898305] ; [32.33898305 73.66101695],0
d1,1,0.142117,2.154882,[9 3] ; [57 51],[6.6 5.4] ; [59.4 48.6],0
p11,1,0.186558,1.744593,[7 5] ; [82 26],[8.9 3.1] ; [80.1 27.9],0
p10,1,0.201564,1.631006,[8 4] ; [87 19],[9.66101695 2.33898305] ; [85.33898305 20.66101695],0
r3,1,0.213233,1.549337,[10  2] ; [99  7],[11.08474576  0.91525424] ; [97.91525424  8.08474576],0
s2,1,0.217044,1.52381,[5 7] ; [65 43],[7. 5.] ; [63. 45.],0
u3,1,0.221853,1.492347,[1 3] ; [20 15],[2.15384615 1.84615385] ; [18.84615385 16.15384615],0
a2,1,0.237291,1.396618,[ 1 11] ; [25 83],[2.6 9.4] ; [23.4 84.6],0
d2,1,0.286797,1.134598,[8 4] ; [54 53],[6.25210084 5.74789916] ; [55.74789916 51.25210084],0
u2,1,0.290426,1.117647,[3 1] ; [16 18],[2. 2.] ; [17. 17.],0
s3,1,0.305629,1.049471,[9 3] ; [64 43],[7.36134454 4.63865546] ; [65.63865546 41.36134454],0
a6,1,0.312345,1.020734,[6 6] ; [70 38],[7.6 4.4] ; [68.4 39.6],0
n3,1,0.314753,1.010625,[5 3] ; [20  5],[6.06060606 1.93939394] ; [18.93939394  6.06060606],0
p6,1,0.345779,0.888889,[3 9] ; [42 66],[4.5 7.5] ; [40.5 67.5],0
b2,1,0.353736,0.86001,[2 7] ; [24 39],[3.25 5.75] ; [22.75 40.25],0
b3,1,0.353736,0.86001,[2 7] ; [24 39],[3.25 5.75] ; [22.75 40.25],0
b5,1,0.391829,0.733259,[4 8] ; [50 58],[5.4 6.6] ; [48.6 59.4],0
p8,1,0.422476,0.643418,[4 7] ; [52 54],[5.26495726 5.73504274] ; [50.73504274 55.26495726],0
p5,1,0.446494,0.579537,[ 1 11] ; [18 89],[ 1.91596639 10.08403361] ; [17.08403361 89.91596639],0
d3,1,0.480338,0.498096,[9 3] ; [70 38],[7.9 4.1] ; [71.1 36.9],0
d5,1,0.522352,0.409246,[10  2] ; [81 27],[9.1 2.9] ; [81.9 26.1],0
r1,1,0.537614,0.379981,[8 3] ; [87 21],[8.78151261 2.21848739] ; [86.21848739 21.78151261],0
s7,1,0.549449,0.358305,[6 5] ; [65 37],[6.91150442 4.08849558] ; [64.08849558 37.91150442],0
s8,1,0.560441,0.338941,[4 8] ; [45 62],[4.94117647 7.05882353] ; [44.05882353 62.94117647],0
r2,1,0.576522,0.311891,[11  1] ; [103   5],[11.4  0.6] ; [102.6   5.4],0
a5,1,0.581989,0.30303,[8 4] ; [80 28],[8.8 3.2] ; [79.2 28.8],0
p2,1,0.599737,0.275393,[9 3] ; [87 20],[9.68067227 2.31932773] ; [86.31932773 20.68067227],0
s6,1,0.62357,0.240882,[11  1] ; [91 14],[10.46153846  1.53846154] ; [91.53846154 13.46153846],0
p4,1,0.645135,0.212088,[8 4] ; [64 43],[7.2605042 4.7394958] ; [64.7394958 42.2605042],0
p7,1,0.677689,0.172739,[7 5] ; [67 37],[7.65517241 4.34482759] ; [66.34482759 37.65517241],0
p1,1,0.689816,0.159285,[ 1 11] ; [13 93],[ 1.42372881 10.57627119] ; [12.57627119 93.42372881],0
b4,1,0.753316,0.098765,[8 4] ; [67 41],[7.5 4.5] ; [67.5 40.5],0
v2,1,0.755909,0.096633,[6 6] ; [48 58],[5.49152542 6.50847458] ; [48.50847458 57.49152542],0
a4,1,0.760098,0.09324,[5 7] ; [50 58],[5.5 6.5] ; [49.5 58.5],0
n1,1,0.766735,0.088,[4 4] ; [11 14],[3.63636364 4.36363636] ; [11.36363636 13.63636364],0
d4,1,0.780555,0.077616,[9 3] ; [84 23],[9.37815126 2.62184874] ; [83.62184874 23.37815126],0
a1,1,0.80725,0.059524,[ 1 11] ; [  7 101],[ 0.8 11.2] ; [  7.2 100.8],0
b1,1,0.851648,0.034975,[5 7] ; [42 66],[4.7 7.3] ; [42.3 65.7],0
p3,1,0.90307,0.014831,[6 6] ; [56 52],[6.2 5.8] ; [55.8 52.2],0
a7,1,0.912611,0.012044,[8 4] ; [73 34],[8.16806723 3.83193277] ; [72.83193277 34.16806723],0
n2,1,0.914143,0.011624,[6 2] ; [19  7],[5.88235294 2.11764706] ; [19.11764706  6.88235294],0
a3,1,0.9482,0.004221,[8 4] ; [73 35],[8.1 3.9] ; [72.9 35.1],0
