Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.3e-05,17.930062,[19 26] ; [93 28],[30.36144578 14.63855422] ; [81.63855422 39.36144578],1
a6,1,2.5e-05,17.747015,[15 30] ; [84 37],[26.8373494 18.1626506] ; [72.1626506 48.8373494],1
p2,1,0.003012,8.8,[22 23] ; [88 32],[30. 15.] ; [80. 40.],0
d4,1,0.003338,8.612597,[29 16] ; [103  18],[35.78313253  9.21686747] ; [96.21686747 24.78313253],0
b1,1,0.009353,6.754158,[21 24] ; [31 90],[14.09638554 30.90361446] ; [37.90361446 83.09638554],0
d1,1,0.009525,6.721713,[14 31] ; [65 56],[21.41566265 23.58433735] ; [57.58433735 63.41566265],0
p10,1,0.009817,6.667854,[19 25] ; [78 41],[26.18404908 17.81595092] ; [70.81595092 48.18404908],0
d5,1,0.011468,6.391361,[27 18] ; [96 25],[33.34337349 11.65662651] ; [89.65662651 31.34337349],0
a4,1,0.016046,5.797863,[22 23] ; [35 86],[15.45180723 29.54819277] ; [41.54819277 79.45180723],0
a2,1,0.022825,5.181765,[ 1 44] ; [ 18 103],[ 5.15060241 39.84939759] ; [ 13.84939759 107.15060241],0
p9,1,0.02375,5.112777,[23 21] ; [84 34],[29.0617284 14.9382716] ; [77.9382716 40.0617284],0
s6,1,0.027745,4.843815,[14 29] ; [62 57],[20.17283951 22.82716049] ; [55.82716049 63.17283951],0
p8,1,0.030488,4.681587,[ 8 36] ; [43 77],[13.68292683 30.31707317] ; [37.31707317 82.68292683],0
s7,1,0.035244,4.43331,[ 7 35] ; [40 78],[12.3375 29.6625] ; [34.6625 83.3375],0
b5,1,0.042656,4.108996,[22 23] ; [80 41],[27.65060241 17.34939759] ; [74.34939759 46.65060241],0
n6,1,0.060883,3.513174,[23 22] ; [81 40],[28.19277108 16.80722892] ; [75.80722892 45.19277108],0
v3,1,0.082504,3.014868,[ 6 34] ; [34 84],[10.12658228 29.87341772] ; [29.87341772 88.12658228],0
r3,1,0.107597,2.589161,[39  6] ; [114   7],[41.47590361  3.52409639] ; [111.52409639   9.47590361],0
a5,1,0.123276,2.375198,[20 25] ; [70 51],[24.39759036 20.60240964] ; [65.60240964 55.39759036],0
n1,1,0.186819,1.742523,[ 7 12] ; [ 9 34],[ 4.90322581 14.09677419] ; [11.09677419 31.90322581],0
a1,1,0.198843,1.650854,[ 3 42] ; [  3 118],[ 1.62650602 43.37349398] ; [  4.37349398 116.62650602],0
b2,1,0.206727,1.594199,[10 16] ; [15 45],[ 7.55813953 18.44186047] ; [17.44186047 42.55813953],0
b3,1,0.206727,1.594199,[10 16] ; [15 45],[ 7.55813953 18.44186047] ; [17.44186047 42.55813953],0
n2,1,0.217027,1.523924,[14  5] ; [24 18],[11.83606557  7.16393443] ; [26.16393443 15.83606557],0
v4,1,0.219526,1.507466,[36  8] ; [106  13],[38.33128834  5.66871166] ; [103.66871166  15.33128834],0
r1,1,0.249841,1.32419,[29 16] ; [89 32],[31.98795181 13.01204819] ; [86.01204819 34.98795181],0
r4,1,0.262034,1.257977,[32 13] ; [96 25],[34.69879518 10.30120482] ; [93.30120482 27.69879518],0
s5,1,0.322694,0.977996,[ 7 34] ; [29 89],[ 9.28301887 31.71698113] ; [26.71698113 91.28301887],0
s4,1,0.333208,0.93639,[ 6 39] ; [24 97],[ 8.13253012 36.86746988] ; [21.86746988 99.13253012],0
a3,1,0.336668,0.923077,[24 20] ; [76 45],[26.66666667 17.33333333] ; [73.33333333 47.66666667],0
s2,1,0.390399,0.737698,[14 31] ; [46 74],[16.36363636 28.63636364] ; [43.63636364 76.36363636],0
p6,1,0.413176,0.669643,[ 5 39] ; [ 20 101],[ 6.66666667 37.33333333] ; [ 18.33333333 102.66666667],0
u3,1,0.424482,0.637874,[ 9 12] ; [23 20],[10.5 10.5] ; [21.5 21.5],0
p4,1,0.429195,0.625,[10 34] ; [35 86],[12. 32.] ; [33. 88.],0
r2,1,0.483221,0.491586,[37  7] ; [105  14],[38.33128834  5.66871166] ; [103.66871166  15.33128834],0
s1,1,0.497939,0.459326,[ 3 42] ; [  5 116],[ 2.1686747 42.8313253] ; [  5.8313253 115.1686747],0
n4,1,0.528335,0.397592,[18 27] ; [42 79],[16.26506024 28.73493976] ; [43.73493976 77.26506024],0
v1,1,0.550521,0.356384,[17 27] ; [40 79],[15.38650307 28.61349693] ; [41.61349693 77.38650307],0
v2,1,0.56389,0.333014,[19 23] ; [59 58],[20.60377358 21.39622642] ; [57.39622642 59.60377358],0
n3,1,0.573663,0.316592,[11  6] ; [31 12],[11.9  5.1] ; [30.1 12.9],0
b4,1,0.578135,0.309259,[25 20] ; [73 48],[26.56626506 18.43373494] ; [71.43373494 49.56626506],0
a8,1,0.63418,0.226434,[ 3 38] ; [ 11 101],[ 3.75163399 37.24836601] ; [ 10.24836601 101.75163399],0
p11,1,0.645677,0.211394,[30 15] ; [76 45],[28.73493976 16.26506024] ; [77.26506024 43.73493976],0
s3,1,0.648955,0.20722,[20 23] ; [51 69],[18.73006135 24.26993865] ; [52.26993865 67.73006135],0
s8,1,0.703778,0.144571,[10 34] ; [31 90],[10.93333333 33.06666667] ; [30.06666667 90.93333333],0
u2,1,0.736453,0.113268,[11 10] ; [25 19],[11.63076923  9.36923077] ; [24.36923077 19.63076923],0
p1,1,0.911869,0.01225,[ 1 44] ; [  3 116],[ 1.09756098 43.90243902] ; [  2.90243902 116.09756098],0
p12,1,0.933376,0.006989,[ 1 43] ; [  3 117],[ 1.07317073 42.92682927] ; [  2.92682927 117.07317073],0
d2,1,0.97752,0.000794,[17 28] ; [46 75],[17.07831325 27.92168675] ; [45.92168675 75.07831325],0
p7,1,0.984237,0.00039,[18 27] ; [47 71],[17.94478528 27.05521472] ; [47.05521472 70.94478528],0
