Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.025347,5.0,[12  6] ; [3 9],[9. 9.] ; [6. 6.],0
r1,1,0.026411,4.928894,[8 9] ; [ 1 11],[ 5.27586207 11.72413793] ; [3.72413793 8.27586207],0
n6,1,0.0513,3.798465,[10  7] ; [11  1],[12.31034483  4.68965517] ; [8.68965517 3.31034483],0
p6,1,0.057114,3.619256,[ 5 13] ; [7 4],[ 7.44827586 10.55172414] ; [4.55172414 6.44827586],0
p4,1,0.063444,3.444976,[9 9] ; [10  2],[11.4  6.6] ; [7.6 4.4],0
p7,1,0.09821,2.734375,[7 9] ; [9 3],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
p8,1,0.136037,2.222222,[ 7 11] ; [8 4],[9. 9.] ; [6. 6.],0
d3,1,0.136037,2.222222,[11  7] ; [4 8],[9. 9.] ; [6. 6.],0
s6,1,0.159982,1.974401,[10  7] ; [10  2],[11.72413793  5.27586207] ; [8.27586207 3.72413793],0
b1,1,0.175823,1.832579,[ 6 12] ; [7 5],[ 7.8 10.2] ; [5.2 6.8],0
p11,1,0.192106,1.701389,[13  5] ; [11  1],[14.4  3.6] ; [9.6 2.4],0
u2,1,0.196706,1.666667,[4 2] ; [1 3],[3. 3.] ; [2. 2.],0
d1,1,0.231998,1.428571,[10  8] ; [4 8],[8.4 9.6] ; [5.6 6.4],0
v2,1,0.231998,1.428571,[ 8 10] ; [8 4],[9.6 8.4] ; [6.4 5.6],0
a5,1,0.27894,1.172249,[10  8] ; [9 3],[11.4  6.6] ; [7.6 4.4],0
p10,1,0.295366,1.095001,[15  2] ; [8 3],[13.96428571  3.03571429] ; [9.03571429 1.96428571],0
b4,1,0.295642,1.09375,[11  7] ; [5 7],[9.6 8.4] ; [6.4 5.6],0
s7,1,0.352732,0.863603,[15  2] ; [9 3],[14.06896552  2.93103448] ; [9.93103448 2.06896552],0
s2,1,0.36671,0.814783,[10  7] ; [9 3],[11.13793103  5.86206897] ; [7.86206897 4.13793103],0
v4,1,0.377822,0.777778,[13  3] ; [8 4],[12.  4.] ; [9. 3.],0
n3,1,0.393153,0.729167,[5 5] ; [3 1],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
v3,1,0.429195,0.625,[ 7 11] ; [3 9],[ 6. 12.] ; [4. 8.],0
v1,1,0.445009,0.583333,[7 9] ; [7 5],[8. 8.] ; [6. 6.],0
p9,1,0.473763,0.513186,[14  3] ; [11  1],[14.65517241  2.34482759] ; [10.34482759  1.65517241],0
a2,1,0.510671,0.432692,[ 3 15] ; [ 1 11],[ 2.4 15.6] ; [ 1.6 10.4],0
s4,1,0.57615,0.3125,[ 3 15] ; [3 9],[ 3.6 14.4] ; [2.4 9.6],0
u3,1,0.598161,0.277778,[4 2] ; [2 2],[3.6 2.4] ; [2.4 1.6],0
n5,1,0.653188,0.201904,[13  4] ; [10  2],[13.48275862  3.51724138] ; [9.51724138 2.48275862],0
p5,1,0.661003,0.192308,[ 2 16] ; [ 2 10],[ 2.4 15.6] ; [ 1.6 10.4],0
d4,1,0.709388,0.138889,[14  4] ; [10  2],[14.4  3.6] ; [9.6 2.4],0
s5,1,0.711011,0.137269,[ 4 13] ; [3 7],[ 4.40740741 12.59259259] ; [2.59259259 7.40740741],0
n4,1,0.744954,0.10582,[13  5] ; [8 4],[12.6  5.4] ; [8.4 3.6],0
d5,1,0.744954,0.10582,[13  5] ; [8 4],[12.6  5.4] ; [8.4 3.6],0
a8,1,0.74748,0.103661,[ 1 16] ; [ 1 10],[ 1.21428571 15.78571429] ; [ 0.78571429 10.21428571],0
a6,1,0.765087,0.089286,[ 8 10] ; [6 6],[8.4 9.6] ; [5.6 6.4],0
a4,1,0.879072,0.023148,[ 7 11] ; [5 7],[ 7.2 10.8] ; [4.8 7.2],0
b5,1,0.880438,0.022624,[10  8] ; [7 5],[10.2  7.8] ; [6.8 5.2],0
d2,1,0.880438,0.022624,[ 8 10] ; [5 7],[ 7.8 10.2] ; [5.2 6.8],0
s3,1,0.907008,0.013645,[11  5] ; [8 4],[10.85714286  5.14285714] ; [8.14285714 3.85714286],0
b2,1,0.94277,0.005154,[ 4 10] ; [3 8],[ 3.92 10.08] ; [3.08 7.92],0
b3,1,0.94277,0.005154,[ 4 10] ; [3 8],[ 3.92 10.08] ; [3.08 7.92],0
r2,1,0.951159,0.003752,[8 7] ; [6 5],[8.07692308 6.92307692] ; [5.92307692 5.07692308],0
a3,1,1.0,0.0,[12  6] ; [8 4],[12.  6.] ; [8. 4.],0
n1,1,1.0,0.0,[5 5] ; [2 2],[5. 5.] ; [2. 2.],0
p2,1,1.0,0.0,[15  3] ; [10  2],[15.  3.] ; [10.  2.],0
