Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.008832,6.856515,[13  9] ; [ 7 23],[ 8.46153846 13.53846154] ; [11.53846154 18.46153846],0
p10,1,0.011338,6.411616,[13  9] ; [ 7 22],[ 8.62745098 13.37254902] ; [11.37254902 17.62745098],0
p11,1,0.02328,5.147475,[ 9 13] ; [ 4 26],[ 5.5 16.5] ; [ 7.5 22.5],0
p8,1,0.039142,4.254688,[ 9 12] ; [ 5 25],[ 5.76470588 15.23529412] ; [ 8.23529412 21.76470588],0
a6,1,0.044483,4.038141,[ 7 15] ; [18 12],[10.57692308 11.42307692] ; [14.42307692 15.57692308],0
v4,1,0.044483,4.038141,[15  7] ; [12 18],[11.42307692 10.57692308] ; [15.57692308 14.42307692],0
n5,1,0.049432,3.860606,[12 10] ; [24  6],[15.23076923  6.76923077] ; [20.76923077  9.23076923],0
d1,1,0.056107,3.648872,[ 4 18] ; [13 17],[ 7.19230769 14.80769231] ; [ 9.80769231 20.19230769],0
d2,1,0.061622,3.493181,[ 5 17] ; [14 15],[ 8.19607843 13.80392157] ; [10.80392157 18.19607843],0
p9,1,0.090498,2.865497,[11 10] ; [ 8 20],[ 8.14285714 12.85714286] ; [10.85714286 17.14285714],0
a1,1,0.106712,2.602251,[ 1 21] ; [ 6 24],[ 2.96153846 19.03846154] ; [ 4.03846154 25.96153846],0
r1,1,0.159445,1.979481,[10 12] ; [ 8 22],[ 7.61538462 14.38461538] ; [10.38461538 19.61538462],0
p7,1,0.161365,1.961388,[ 9 12] ; [ 7 22],[ 6.72 14.28] ; [ 9.28 19.72],0
u2,1,0.166337,1.915646,[4 4] ; [ 3 11],[2.54545455 5.45454545] ; [4.45454545 9.54545455],0
n1,1,0.170007,1.882882,[4 9] ; [9 7],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
a5,1,0.173424,1.853091,[ 9 13] ; [18 12],[11.42307692 10.57692308] ; [15.57692308 14.42307692],0
b2,1,0.214449,1.541137,[4 9] ; [12 11],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
b3,1,0.214449,1.541137,[4 9] ; [12 11],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
d4,1,0.225234,1.470707,[14  8] ; [14 16],[11.84615385 10.15384615] ; [16.15384615 13.84615385],0
a4,1,0.296459,1.090054,[ 6 16] ; [12 17],[ 7.76470588 14.23529412] ; [10.23529412 18.76470588],0
s7,1,0.303653,1.058084,[ 5 14] ; [ 4 24],[ 3.63829787 15.36170213] ; [ 5.36170213 22.63829787],0
p3,1,0.330879,0.945455,[ 4 18] ; [ 9 21],[ 5.5 16.5] ; [ 7.5 22.5],0
p4,1,0.342614,0.900627,[ 8 14] ; [ 7 22],[ 6.47058824 15.52941176] ; [ 8.52941176 20.47058824],0
v3,1,0.380722,0.768369,[ 3 19] ; [ 7 23],[ 4.23076923 17.76923077] ; [ 5.76923077 24.23076923],0
s1,1,0.399634,0.709426,[ 3 19] ; [ 2 28],[ 2.11538462 19.88461538] ; [ 2.88461538 27.11538462],0
r2,1,0.409343,0.680707,[13  9] ; [19  8],[14.36734694  7.63265306] ; [17.63265306  9.36734694],0
s2,1,0.429084,0.625301,[ 2 20] ; [ 5 25],[ 2.96153846 19.03846154] ; [ 4.03846154 25.96153846],0
b5,1,0.473179,0.514543,[11 11] ; [12 18],[ 9.73076923 12.26923077] ; [13.26923077 16.73076923],0
v1,1,0.538578,0.378182,[ 6 16] ; [ 6 24],[ 5.07692308 16.92307692] ; [ 6.92307692 23.07692308],0
a3,1,0.543007,0.369996,[14  8] ; [16 13],[12.94117647  9.05882353] ; [17.05882353 11.94117647],0
n2,1,0.588439,0.292788,[7 6] ; [7 9],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
s4,1,0.632117,0.229201,[ 4 18] ; [ 4 26],[ 3.38461538 18.61538462] ; [ 4.61538462 25.38461538],0
d5,1,0.633769,0.226984,[11 11] ; [17 13],[11.84615385 10.15384615] ; [16.15384615 13.84615385],0
p1,1,0.636157,0.223803,[ 2 20] ; [ 4 26],[ 2.53846154 19.46153846] ; [ 3.46153846 26.53846154],0
a2,1,0.636157,0.223803,[ 2 20] ; [ 4 26],[ 2.53846154 19.46153846] ; [ 3.46153846 26.53846154],0
s8,1,0.636157,0.223803,[ 2 20] ; [ 4 26],[ 2.53846154 19.46153846] ; [ 3.46153846 26.53846154],0
s3,1,0.640032,0.2187,[ 5 17] ; [ 8 20],[ 5.72 16.28] ; [ 7.28 20.72],0
p6,1,0.669504,0.182183,[ 4 18] ; [ 4 25],[ 3.45098039 18.54901961] ; [ 4.54901961 24.45098039],0
p5,1,0.708765,0.139514,[ 2 19] ; [ 2 28],[ 1.64705882 19.35294118] ; [ 2.35294118 27.64705882],0
s5,1,0.723777,0.124902,[ 1 21] ; [ 2 27],[ 1.29411765 20.70588235] ; [ 1.70588235 27.29411765],0
n3,1,0.742787,0.107692,[6 7] ; [6 9],[5.57142857 7.42857143] ; [6.42857143 8.57142857],0
u1,1,0.745851,0.105051,[ 1 21] ; [ 2 28],[ 1.26923077 20.73076923] ; [ 1.73076923 28.26923077],0
r4,1,0.745851,0.105051,[ 1 21] ; [ 2 28],[ 1.26923077 20.73076923] ; [ 1.73076923 28.26923077],0
b1,1,0.790018,0.070909,[14  8] ; [18 12],[13.53846154  8.46153846] ; [18.46153846 11.53846154],0
d3,1,0.812126,0.056494,[11 11] ; [14 16],[10.57692308 11.42307692] ; [14.42307692 15.57692308],0
p12,1,0.822327,0.050424,[ 1 21] ; [ 1 29],[ 0.84615385 21.15384615] ; [ 1.15384615 28.84615385],0
a7,1,0.861225,0.03056,[ 9 13] ; [13 17],[ 9.30769231 12.69230769] ; [12.69230769 17.30769231],0
v2,1,0.93047,0.007613,[ 4 18] ; [ 5 24],[ 3.88235294 18.11764706] ; [ 5.11764706 23.88235294],0
b4,1,0.930971,0.007504,[12 10] ; [16 14],[11.84615385 10.15384615] ; [16.15384615 13.84615385],0
n6,1,0.973042,0.001142,[ 9 13] ; [12 17],[ 9.05882353 12.94117647] ; [11.94117647 17.05882353],0
