Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.046131,3.976812,[3 4] ; [ 2 19],[1.25 5.75] ; [ 3.75 17.25],0
a8,1,0.054092,3.70987,[3 4] ; [ 2 18],[1.2962963 5.7037037] ; [ 3.7037037 16.2962963],0
p9,1,0.124051,2.365414,[1 6] ; [ 9 10],[2.69230769 4.30769231] ; [ 7.30769231 11.69230769],0
d4,1,0.171857,1.866667,[3 4] ; [15  6],[4.5 2.5] ; [13.5  7.5],0
a7,1,0.19043,1.714286,[5 2] ; [ 9 12],[3.5 3.5] ; [10.5 10.5],0
u3,1,0.261651,1.26,[2 2] ; [2 8],[1.14285714 2.85714286] ; [2.85714286 7.14285714],0
v4,1,0.263978,1.247772,[4 3] ; [ 7 14],[2.75 4.25] ; [ 8.25 12.75],0
n6,1,0.274006,1.196581,[2 5] ; [11 10],[3.25 3.75] ; [ 9.75 11.25],0
p7,1,0.333998,0.933333,[3 4] ; [ 5 16],[2. 5.] ; [ 6. 15.],0
v3,1,0.392742,0.730435,[2 5] ; [ 3 18],[1.25 5.75] ; [ 3.75 17.25],0
p5,1,0.419449,0.651857,[1 6] ; [ 1 19],[0.51851852 6.48148148] ; [ 1.48148148 18.51851852],0
p8,1,0.426285,0.632922,[2 5] ; [ 3 17],[1.2962963 5.7037037] ; [ 3.7037037 16.2962963],0
p3,1,0.426285,0.632922,[2 5] ; [ 3 17],[1.2962963 5.7037037] ; [ 3.7037037 16.2962963],0
s6,1,0.48338,0.491228,[3 4] ; [ 6 15],[2.25 4.75] ; [ 6.75 14.25],0
n3,1,0.490153,0.47619,[1 2] ; [4 3],[1.5 1.5] ; [3.5 3.5],0
n1,1,0.490153,0.47619,[1 2] ; [4 3],[1.5 1.5] ; [3.5 3.5],0
n2,1,0.490153,0.47619,[1 2] ; [4 3],[1.5 1.5] ; [3.5 3.5],0
p11,1,0.502716,0.449198,[2 5] ; [ 9 12],[2.75 4.25] ; [ 8.25 12.75],0
d5,1,0.511612,0.430769,[4 3] ; [ 9 12],[3.25 3.75] ; [ 9.75 11.25],0
s3,1,0.534561,0.385714,[3 4] ; [ 6 14],[2.33333333 4.66666667] ; [ 6.66666667 13.33333333],0
p10,1,0.589951,0.29042,[2 5] ; [ 8 12],[2.59259259 4.40740741] ; [ 7.40740741 12.59259259],0
s2,1,0.594853,0.282828,[2 5] ; [ 4 17],[1.5 5.5] ; [ 4.5 16.5],0
d1,1,0.594853,0.282828,[1 6] ; [ 5 16],[1.5 5.5] ; [ 4.5 16.5],0
n5,1,0.648807,0.207407,[5 2] ; [13  8],[4.5 2.5] ; [13.5  7.5],0
b1,1,0.648807,0.207407,[5 2] ; [13  8],[4.5 2.5] ; [13.5  7.5],0
a5,1,0.662521,0.190476,[3 4] ; [11 10],[3.5 3.5] ; [10.5 10.5],0
n4,1,0.662521,0.190476,[4 3] ; [10 11],[3.5 3.5] ; [10.5 10.5],0
s7,1,0.68658,0.162812,[1 5] ; [ 2 17],[0.72 5.28] ; [ 2.28 16.72],0
a1,1,0.724263,0.124444,[1 6] ; [ 2 19],[0.75 6.25] ; [ 2.25 18.75],0
a2,1,0.724263,0.124444,[1 6] ; [ 2 19],[0.75 6.25] ; [ 2.25 18.75],0
s4,1,0.724263,0.124444,[1 6] ; [ 2 19],[0.75 6.25] ; [ 2.25 18.75],0
b3,1,0.750042,0.101496,[1 3] ; [ 5 10],[1.26315789 2.73684211] ; [ 4.73684211 10.26315789],0
b2,1,0.750042,0.101496,[1 3] ; [ 5 10],[1.26315789 2.73684211] ; [ 4.73684211 10.26315789],0
p4,1,0.801059,0.063492,[2 5] ; [ 5 16],[1.75 5.25] ; [ 5.25 15.75],0
a4,1,0.815276,0.054581,[2 5] ; [ 7 14],[2.25 4.75] ; [ 6.75 14.25],0
d3,1,0.815276,0.054581,[2 5] ; [ 7 14],[2.25 4.75] ; [ 6.75 14.25],0
b4,1,0.823218,0.049911,[4 3] ; [13  8],[4.25 2.75] ; [12.75  8.25],0
r3,1,0.826824,0.047863,[4 3] ; [11 10],[3.75 3.25] ; [11.25  9.75],0
v2,1,0.876697,0.024074,[2 4] ; [ 6 14],[1.84615385 4.15384615] ; [ 6.15384615 13.84615385],0
a3,1,0.918011,0.010597,[3 3] ; [11 10],[3.11111111 2.88888889] ; [10.88888889 10.11111111],0
a6,1,1.0,0.0,[3 4] ; [ 9 12],[3. 4.] ; [ 9. 12.],0
p1,1,1.0,0.0,[1 6] ; [ 3 18],[1. 6.] ; [ 3. 18.],0
s1,1,1.0,0.0,[1 6] ; [ 3 18],[1. 6.] ; [ 3. 18.],0
b5,1,1.0,0.0,[4 3] ; [12  9],[4. 3.] ; [12.  9.],0
u2,1,1.0,0.0,[2 2] ; [5 5],[2. 2.] ; [5. 5.],0
