Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.5e-05,16.666915,[ 5 38] ; [5 1],[ 8.7755102 34.2244898] ; [1.2244898 4.7755102],1
r4,1,0.001533,10.038177,[ 7 36] ; [5 2],[10.32 32.68] ; [1.68 5.32],0
v3,1,0.003652,8.449252,[ 5 38] ; [4 3],[ 7.74 35.26] ; [1.26 5.74],0
p7,1,0.003652,8.449252,[ 5 38] ; [4 3],[ 7.74 35.26] ; [1.26 5.74],0
s7,1,0.013358,6.121099,[ 8 33] ; [4 2],[10.46808511 30.53191489] ; [1.53191489 4.46808511],0
p11,1,0.016506,5.748155,[16 27] ; [6 1],[18.92 24.08] ; [3.08 3.92],0
p8,1,0.019631,5.444444,[ 4 38] ; [3 4],[ 6. 36.] ; [1. 6.],0
p6,1,0.033169,4.537037,[ 2 40] ; [2 5],[ 3.42857143 38.57142857] ; [0.57142857 6.42857143],0
p10,1,0.039723,4.229689,[13 29] ; [5 2],[15.42857143 26.57142857] ; [2.57142857 4.42857143],0
r1,1,0.067207,3.349945,[15 28] ; [5 2],[17.2 25.8] ; [2.8 4.2],0
p9,1,0.083958,2.98656,[15 26] ; [5 2],[17.08333333 23.91666667] ; [2.91666667 4.08333333],0
p2,1,0.091058,2.855561,[11 32] ; [4 3],[12.9 30.1] ; [2.1 4.9],0
d5,1,0.134262,2.242525,[24 19] ; [6 1],[25.8 17.2] ; [4.2 2.8],0
p3,1,0.145702,2.116682,[ 4 39] ; [2 5],[ 5.16 37.84] ; [0.84 6.16],0
s3,1,0.177733,1.816483,[13 29] ; [4 3],[14.57142857 27.42857143] ; [2.42857143 4.57142857],0
s5,1,0.243345,1.361111,[ 5 37] ; [2 5],[ 6. 36.] ; [1. 6.],0
u2,1,0.263552,1.25,[ 3 15] ; [1 1],[ 3.6 14.4] ; [0.4 1.6],0
n4,1,0.278625,1.173783,[28 15] ; [6 1],[29.24 13.76] ; [4.76 2.24],0
a8,1,0.327912,0.957127,[ 6 37] ; [2 5],[ 6.88 36.12] ; [1.12 5.88],0
r2,1,0.417355,0.657751,[22 18] ; [5 2],[22.9787234 17.0212766] ; [4.0212766 2.9787234],0
a6,1,0.450017,0.570609,[18 25] ; [4 3],[18.92 24.08] ; [3.08 3.92],0
v1,1,0.497701,0.459835,[11 31] ; [1 6],[10.28571429 31.71428571] ; [1.71428571 5.28571429],0
n5,1,0.505693,0.442968,[25 18] ; [5 2],[25.8 17.2] ; [4.2 2.8],0
a5,1,0.523569,0.406856,[19 24] ; [4 3],[19.78 23.22] ; [3.22 3.78],0
b2,1,0.530172,0.394061,[13 16] ; [3 2],[13.64705882 15.35294118] ; [2.35294118 2.64705882],0
b3,1,0.530172,0.394061,[13 16] ; [3 2],[13.64705882 15.35294118] ; [2.35294118 2.64705882],0
s2,1,0.540965,0.373754,[ 8 35] ; [2 5],[ 8.6 34.4] ; [1.4 5.6],0
a3,1,0.549515,0.358187,[25 17] ; [5 2],[25.71428571 16.28571429] ; [4.28571429 2.71428571],0
d1,1,0.579449,0.307126,[17 26] ; [2 5],[16.34 26.66] ; [2.66 4.34],0
b4,1,0.658827,0.194952,[27 16] ; [5 2],[27.52 15.48] ; [4.48 2.52],0
d3,1,0.658827,0.194952,[16 27] ; [2 5],[15.48 27.52] ; [2.52 4.48],0
a2,1,0.68359,0.166113,[ 4 39] ; [1 6],[ 4.3 38.7] ; [0.7 6.3],0
a7,1,0.68359,0.166113,[21 22] ; [4 3],[21.5 21.5] ; [3.5 3.5],0
v2,1,0.786203,0.073574,[10 32] ; [2 5],[10.28571429 31.71428571] ; [1.71428571 5.28571429],0
b1,1,0.857225,0.032367,[23 20] ; [4 3],[23.22 19.78] ; [3.78 3.22],0
a4,1,0.899302,0.016013,[13 29] ; [2 5],[12.85714286 29.14285714] ; [2.14285714 4.85714286],0
n2,1,0.901694,0.015257,[10 12] ; [1 1],[10.08333333 11.91666667] ; [0.91666667 1.08333333],0
n1,1,0.901694,0.015257,[10 12] ; [1 1],[10.08333333 11.91666667] ; [0.91666667 1.08333333],0
d2,1,0.906658,0.013749,[19 23] ; [3 4],[18.85714286 23.14285714] ; [3.14285714 3.85714286],0
b5,1,0.960484,0.002455,[18 25] ; [3 4],[18.06 24.94] ; [2.94 4.06],0
p1,1,0.981258,0.000552,[ 6 37] ; [1 6],[ 6.02 36.98] ; [0.98 6.02],0
