Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.009195,6.784615,[ 2 11] ; [4 1],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
n6,1,0.009195,6.784615,[11  1] ; [2 4],[8.66666667 3.33333333] ; [4.33333333 1.66666667],0
n5,1,0.025396,4.996713,[11  2] ; [2 4],[8.89473684 4.10526316] ; [4.10526316 1.89473684],0
b1,1,0.032924,4.549715,[9 4] ; [1 5],[6.84210526 6.15789474] ; [3.15789474 2.84210526],0
s7,1,0.09073,2.861376,[6 4] ; [1 5],[4.375 5.625] ; [2.625 3.375],0
v1,1,0.12707,2.327943,[7 6] ; [1 5],[5.47368421 7.52631579] ; [2.52631579 3.47368421],0
d5,1,0.140711,2.170163,[9 4] ; [2 4],[7.52631579 5.47368421] ; [3.47368421 2.52631579],0
a6,1,0.2524,1.309972,[5 8] ; [4 2],[6.15789474 6.84210526] ; [2.84210526 3.15789474],0
v2,1,0.2524,1.309972,[8 5] ; [2 4],[6.84210526 6.15789474] ; [3.15789474 2.84210526],0
d4,1,0.342104,0.902531,[8 5] ; [5 1],[8.89473684 4.10526316] ; [4.10526316 1.89473684],0
d2,1,0.405187,0.692877,[7 6] ; [2 4],[6.15789474 6.84210526] ; [2.84210526 3.15789474],0
r1,1,0.405187,0.692877,[7 6] ; [2 4],[6.15789474 6.84210526] ; [2.84210526 3.15789474],0
a5,1,0.41923,0.652473,[9 4] ; [3 3],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
a3,1,0.41923,0.652473,[9 4] ; [3 3],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
p2,1,0.41923,0.652473,[9 4] ; [3 3],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
b4,1,0.41923,0.652473,[9 4] ; [3 3],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
b3,1,0.424954,0.636574,[2 7] ; [1 1],[2.45454545 6.54545455] ; [0.54545455 1.45454545],0
b2,1,0.424954,0.636574,[2 7] ; [1 1],[2.45454545 6.54545455] ; [0.54545455 1.45454545],0
s8,1,0.516407,0.421062,[4 9] ; [1 5],[3.42105263 9.57894737] ; [1.57894737 4.42105263],0
r4,1,0.516407,0.421062,[4 9] ; [1 5],[3.42105263 9.57894737] ; [1.57894737 4.42105263],0
a8,1,0.553516,0.351056,[ 1 12] ; [1 5],[ 1.36842105 11.63157895] ; [0.63157895 5.36842105],0
p3,1,0.598802,0.276807,[7 6] ; [4 2],[7.52631579 5.47368421] ; [3.47368421 2.52631579],0
r2,1,0.598802,0.276807,[7 6] ; [4 2],[7.52631579 5.47368421] ; [3.47368421 2.52631579],0
p7,1,0.635848,0.224213,[5 8] ; [3 3],[5.47368421 7.52631579] ; [2.52631579 3.47368421],0
a7,1,0.635848,0.224213,[5 8] ; [3 3],[5.47368421 7.52631579] ; [2.52631579 3.47368421],0
p10,1,0.635848,0.224213,[8 5] ; [3 3],[7.52631579 5.47368421] ; [3.47368421 2.52631579],0
p9,1,0.635848,0.224213,[8 5] ; [3 3],[7.52631579 5.47368421] ; [3.47368421 2.52631579],0
s5,1,0.6885,0.160714,[3 9] ; [1 5],[2.66666667 9.33333333] ; [1.33333333 4.66666667],0
r3,1,0.750042,0.101496,[10  3] ; [5 1],[10.26315789  2.73684211] ; [4.73684211 1.26315789],0
s4,1,0.750042,0.101496,[ 3 10] ; [1 5],[ 2.73684211 10.26315789] ; [1.26315789 4.73684211],0
s3,1,0.750042,0.101496,[10  3] ; [5 1],[10.26315789  2.73684211] ; [4.73684211 1.26315789],0
s1,1,0.750042,0.101496,[ 3 10] ; [1 5],[ 2.73684211 10.26315789] ; [1.26315789 4.73684211],0
p6,1,0.829454,0.046398,[5 8] ; [2 4],[4.78947368 8.21052632] ; [2.21052632 3.78947368],0
v3,1,0.829454,0.046398,[5 8] ; [2 4],[4.78947368 8.21052632] ; [2.21052632 3.78947368],0
d1,1,0.829454,0.046398,[5 8] ; [2 4],[4.78947368 8.21052632] ; [2.21052632 3.78947368],0
p4,1,0.875975,0.024359,[6 7] ; [3 3],[6.15789474 6.84210526] ; [2.84210526 3.15789474],0
d3,1,0.875975,0.024359,[7 6] ; [3 3],[6.84210526 6.15789474] ; [3.15789474 2.84210526],0
b5,1,0.875975,0.024359,[7 6] ; [3 3],[6.84210526 6.15789474] ; [3.15789474 2.84210526],0
p11,1,0.875975,0.024359,[6 7] ; [3 3],[6.15789474 6.84210526] ; [2.84210526 3.15789474],0
s6,1,1.0,0.0,[8 4] ; [4 2],[8. 4.] ; [4. 2.],0
