Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.027397,4.865608,[8 4] ; [1 6],[5.68421053 6.31578947] ; [3.31578947 3.68421053],0
n4,1,0.035266,4.432234,[10  3] ; [2 5],[7.8 5.2] ; [4.2 2.8],0
b4,1,0.042762,4.104784,[5 8] ; [6 1],[7.15 5.85] ; [3.85 3.15],0
v3,1,0.084978,2.967033,[7 6] ; [1 6],[5.2 7.8] ; [2.8 4.2],0
n5,1,0.12764,2.320976,[10  3] ; [3 4],[8.45 4.55] ; [4.55 2.45],0
p6,1,0.154103,2.031156,[6 7] ; [1 6],[4.55 8.45] ; [2.45 4.55],0
s5,1,0.154103,2.031156,[6 7] ; [1 6],[4.55 8.45] ; [2.45 4.55],0
a5,1,0.159599,1.978022,[5 8] ; [5 2],[6.5 6.5] ; [3.5 3.5],0
u3,1,0.196706,1.666667,[4 2] ; [1 3],[3. 3.] ; [2. 2.],0
v1,1,0.260452,1.266353,[5 8] ; [1 6],[3.9 9.1] ; [2.1 4.9],0
r1,1,0.278503,1.174381,[6 7] ; [5 2],[7.15 5.85] ; [3.85 3.15],0
n6,1,0.357197,0.847724,[10  3] ; [4 3],[9.1 3.9] ; [4.9 2.1],0
d4,1,0.357197,0.847724,[10  3] ; [4 3],[9.1 3.9] ; [4.9 2.1],0
d5,1,0.357197,0.847724,[10  3] ; [4 3],[9.1 3.9] ; [4.9 2.1],0
p7,1,0.416793,0.659341,[9 4] ; [6 1],[9.75 3.25] ; [5.25 1.75],0
a4,1,0.416793,0.659341,[4 9] ; [1 6],[3.25 9.75] ; [1.75 5.25],0
s2,1,0.416793,0.659341,[4 9] ; [1 6],[3.25 9.75] ; [1.75 5.25],0
d2,1,0.423139,0.641581,[5 8] ; [4 3],[5.85 7.15] ; [3.15 3.85],0
p8,1,0.443939,0.586081,[7 6] ; [5 2],[7.8 5.2] ; [4.2 2.8],0
s8,1,0.588792,0.292235,[4 9] ; [3 4],[4.55 8.45] ; [2.45 4.55],0
b1,1,0.639207,0.21978,[6 7] ; [4 3],[6.5 6.5] ; [3.5 3.5],0
v4,1,0.639207,0.21978,[12  1] ; [6 1],[11.7  1.3] ; [6.3 0.7],0
a3,1,0.639207,0.21978,[7 6] ; [3 4],[6.5 6.5] ; [3.5 3.5],0
s6,1,0.658273,0.195629,[8 5] ; [5 2],[8.45 4.55] ; [4.55 2.45],0
d3,1,0.658273,0.195629,[8 5] ; [5 2],[8.45 4.55] ; [4.55 2.45],0
d1,1,0.658273,0.195629,[5 8] ; [2 5],[4.55 8.45] ; [2.45 4.55],0
b5,1,0.658273,0.195629,[8 5] ; [5 2],[8.45 4.55] ; [4.55 2.45],0
p5,1,0.658273,0.195629,[5 8] ; [2 5],[4.55 8.45] ; [2.45 4.55],0
s7,1,0.681777,0.168132,[2 8] ; [2 5],[2.35294118 7.64705882] ; [1.64705882 5.35294118],0
p2,1,0.786648,0.07326,[10  3] ; [5 2],[9.75 3.25] ; [5.25 1.75],0
a7,1,0.84822,0.03663,[8 5] ; [4 3],[7.8 5.2] ; [4.2 2.8],0
a8,1,0.864591,0.029082,[3 9] ; [2 5],[3.15789474 8.84210526] ; [1.84210526 5.15789474],0
a6,1,0.887593,0.01998,[7 6] ; [4 3],[7.15 5.85] ; [3.85 3.15],0
s3,1,0.918517,0.010466,[4 9] ; [2 5],[3.9 9.1] ; [2.1 4.9],0
p9,1,0.94766,0.004309,[11  2] ; [6 1],[11.05  1.95] ; [5.95 1.05],0
p10,1,0.94766,0.004309,[11  2] ; [6 1],[11.05  1.95] ; [5.95 1.05],0
b2,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
b3,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
