Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,7.3e-05,15.720644,[84 13] ; [12 12],[76.95867769 20.04132231] ; [19.04132231  4.95867769],1
s3,1,0.000584,11.826444,[78 19] ; [11 13],[71.34710744 25.65289256] ; [17.65289256  6.34710744],1
s2,1,0.000584,11.826444,[78 19] ; [11 13],[71.34710744 25.65289256] ; [17.65289256  6.34710744],1
s6,1,0.000734,11.401784,[86 10] ; [14  9],[80.67226891 15.32773109] ; [19.32773109  3.67226891],1
n4,1,0.002608,9.063392,[87  9] ; [16  8],[82.4 13.6] ; [20.6  3.4],0
n5,1,0.008648,6.894216,[85 11] ; [16  8],[80.8 15.2] ; [20.2  3.8],0
r3,1,0.021429,5.291599,[95  2] ; [21  3],[92.99173554  4.00826446] ; [23.00826446  0.99173554],0
v3,1,0.021526,5.283694,[54 42] ; [ 6 15],[49.23076923 46.76923077] ; [10.76923077 10.23076923],0
p10,1,0.029775,4.722222,[85 11] ; [17  7],[81.6 14.4] ; [20.4  3.6],0
n6,1,0.038434,4.285714,[87  9] ; [18  6],[84. 12.] ; [21.  3.],0
v4,1,0.059451,3.552632,[93  3] ; [21  3],[91.2  4.8] ; [22.8  1.2],0
p7,1,0.111974,2.52614,[71 24] ; [14 10],[67.85714286 27.14285714] ; [17.14285714  6.85714286],0
p5,1,0.112842,2.513962,[16 79] ; [ 1 23],[13.57142857 81.42857143] ; [ 3.42857143 20.57142857],0
p9,1,0.117818,2.446092,[87  9] ; [19  5],[84.8 11.2] ; [21.2  2.8],0
p6,1,0.13162,2.273294,[48 47] ; [ 8 16],[44.70588235 50.29411765] ; [11.29411765 12.70588235],0
s4,1,0.131685,2.272524,[21 75] ; [ 2 22],[18.4 77.6] ; [ 4.6 19.4],0
p2,1,0.15533,2.019116,[77 19] ; [16  8],[74.4 21.6] ; [18.6  5.4],0
d2,1,0.15537,2.018723,[49 48] ; [16  8],[52.10743802 44.89256198] ; [12.89256198 11.10743802],0
a4,1,0.182874,1.774112,[47 50] ; [ 8 16],[44.09090909 52.90909091] ; [10.90909091 13.09090909],0
r2,1,0.205879,1.600173,[90  5] ; [21  3],[88.61344538  6.38655462] ; [22.38655462  1.61344538],0
d3,1,0.248308,1.332799,[45 52] ; [ 8 16],[42.48760331 54.51239669] ; [10.51239669 13.48760331],0
n1,1,0.255146,1.294904,[16  8] ; [3 4],[14.70967742  9.29032258] ; [4.29032258 2.70967742],0
d4,1,0.261054,1.263158,[78 18] ; [17  7],[76. 20.] ; [19.  5.],0
n3,1,0.300559,1.071714,[18  7] ; [3 3],[16.93548387  8.06451613] ; [4.06451613 1.93548387],0
b3,1,0.311362,1.024891,[40 33] ; [ 7 10],[38.12222222 34.87777778] ; [8.87777778 8.12222222],0
b2,1,0.311362,1.024891,[40 33] ; [ 7 10],[38.12222222 34.87777778] ; [8.87777778 8.12222222],0
d5,1,0.318701,0.994272,[77 19] ; [17  7],[75.2 20.8] ; [18.8  5.2],0
u2,1,0.3268,0.961538,[9 4] ; [6 6],[7.8 5.2] ; [7.2 4.8],0
d1,1,0.335253,0.928499,[50 47] ; [15  9],[52.10743802 44.89256198] ; [12.89256198 11.10743802],0
r1,1,0.367827,0.810993,[77 20] ; [17  7],[75.3553719 21.6446281] ; [18.6446281  5.3553719],0
s1,1,0.395016,0.723445,[ 4 93] ; [ 2 22],[ 4.80991736 92.19008264] ; [ 1.19008264 22.80991736],0
v2,1,0.427711,0.62903,[51 42] ; [10 12],[49.33043478 43.66956522] ; [11.66956522 10.33043478],0
p11,1,0.440332,0.595417,[83 14] ; [19  5],[81.76859504 15.23140496] ; [20.23140496  3.76859504],0
b4,1,0.494831,0.466005,[45 52] ; [13 11],[46.49586777 50.50413223] ; [11.50413223 12.49586777],0
a6,1,0.546386,0.363832,[34 63] ; [10 14],[35.27272727 61.72727273] ; [ 8.72727273 15.27272727],0
p4,1,0.546386,0.363832,[63 34] ; [14 10],[61.72727273 35.27272727] ; [15.27272727  8.72727273],0
u3,1,0.561471,0.337163,[8 5] ; [6 6],[7.28 5.72] ; [6.72 5.28],0
a1,1,0.590326,0.289835,[ 7 90] ; [ 1 23],[ 6.41322314 90.58677686] ; [ 1.58677686 22.41322314],0
a5,1,0.639856,0.21893,[77 20] ; [18  6],[76.15702479 20.84297521] ; [18.84297521  5.15702479],0
a2,1,0.670175,0.181398,[11 86] ; [ 2 22],[10.4214876 86.5785124] ; [ 2.5785124 21.4214876],0
b1,1,0.677237,0.173253,[52 45] ; [14 10],[52.90909091 44.09090909] ; [13.09090909 10.90909091],0
b5,1,0.683073,0.166687,[40 57] ; [11 13],[40.88429752 56.11570248] ; [10.11570248 13.88429752],0
p8,1,0.722519,0.126092,[55 39] ; [15  9],[55.76271186 38.23728814] ; [14.23728814  9.76271186],0
p3,1,0.751249,0.100485,[60 37] ; [14 10],[59.32231405 37.67768595] ; [14.67768595  9.32231405],0
p12,1,0.794374,0.06793,[10 85] ; [ 2 21],[ 9.66101695 85.33898305] ; [ 2.33898305 20.66101695],0
n2,1,0.804997,0.060952,[19  6] ; [5 2],[18.75  6.25] ; [5.25 1.75],0
a8,1,0.821447,0.050933,[14 80] ; [ 3 20],[13.65811966 80.34188034] ; [ 3.34188034 19.65811966],0
s5,1,0.958066,0.002765,[41 52] ; [10 13],[40.88793103 52.11206897] ; [10.11206897 12.88793103],0
r4,1,0.986315,0.000294,[85 12] ; [21  3],[84.97520661 12.02479339] ; [21.02479339  2.97520661],0
