Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,148.746528,[27 77] ; [297  45],[75.55156951 28.44843049] ; [248.44843049  93.55156951],1
p2,1,0.0,30.466439,[58 48] ; [278  64],[79.5 26.5] ; [256.5  85.5],1
p11,1,0.0,29.355717,[55 51] ; [271  73],[76.79111111 29.20888889] ; [249.20888889  94.79111111],1
v4,1,1.9e-05,18.244307,[89 15] ; [331  11],[97.93721973  6.06278027] ; [322.06278027  19.93721973],1
s6,1,2e-05,18.188639,[44 61] ; [220 117],[62.71493213 42.28506787] ; [201.28506787 135.71493213],1
r4,1,2.7e-05,17.623048,[81 25] ; [315  29],[93.28 12.72] ; [302.72  41.28],1
s2,1,3.9e-05,16.931764,[30 75] ; [175 165],[48.37078652 56.62921348] ; [156.62921348 183.37078652],1
b1,1,5.1e-05,16.421529,[52 54] ; [ 96 248],[34.86222222 71.13777778] ; [113.13777778 230.86222222],1
r3,1,0.000224,13.622234,[89 16] ; [328  16],[97.51670379  7.48329621] ; [319.48329621  24.51670379],1
n6,1,0.00066,11.597742,[71 35] ; [282  60],[83.52232143 22.47767857] ; [269.47767857  72.52232143],1
v1,1,0.001498,10.081573,[34 72] ; [166 168],[48.18181818 57.81818182] ; [151.81818182 182.18181818],0
s8,1,0.002776,8.948821,[24 81] ; [133 210],[36.796875 68.203125] ; [120.203125 222.796875],0
p8,1,0.004463,8.085027,[27 79] ; [137 199],[39.33031674 66.66968326] ; [124.66968326 211.33031674],0
v2,1,0.004952,7.896834,[38 65] ; [170 152],[50.40941176 52.59058824] ; [157.59058824 164.40941176],0
n3,1,0.007498,7.149698,[21 20] ; [73 25],[27.72661871 13.27338129] ; [66.27338129 31.72661871],0
n5,1,0.009605,6.706801,[62 44] ; [245  96],[72.80089485 33.19910515] ; [234.19910515 106.80089485],0
n2,1,0.010455,6.555595,[26 17] ; [80 19],[32.09859155 10.90140845] ; [73.90140845 25.09859155],0
s3,1,0.012214,6.279469,[45 61] ; [190 147],[56.23024831 49.76975169] ; [178.76975169 158.23024831],0
p6,1,0.029947,4.712335,[18 88] ; [ 93 246],[26.44044944 79.55955056] ; [ 84.55955056 254.44044944],0
d4,1,0.030704,4.669423,[74 30] ; [278  65],[81.89709172 22.10290828] ; [270.10290828  72.89709172],0
a7,1,0.031156,4.644355,[65 40] ; [250  93],[73.828125 31.171875] ; [241.171875 101.828125],0
s4,1,0.032696,4.561617,[10 94] ; [ 63 278],[17.06067416 86.93932584] ; [ 55.93932584 285.06067416],0
s7,1,0.038249,4.293932,[31 69] ; [143 193],[39.90825688 60.09174312] ; [134.09174312 201.90825688],0
s5,1,0.04327,4.084822,[20 84] ; [ 97 234],[27.97241379 76.02758621] ; [ 89.02758621 241.97241379],0
b5,1,0.045963,3.982959,[57 49] ; [222 122],[65.72 40.28] ; [213.28 130.72],0
p7,1,0.048246,3.901383,[42 63] ; [168 161],[50.80645161 54.19354839] ; [159.19354839 169.80645161],0
d2,1,0.050038,3.840177,[55 49] ; [144 199],[46.29977629 57.70022371] ; [152.70022371 190.29977629],0
p12,1,0.055992,3.652282,[  1 104] ; [ 18 325],[  4.453125 100.546875] ; [ 14.546875 328.453125],0
a5,1,0.091002,2.856551,[63 43] ; [235 109],[70.19555556 35.80444444] ; [227.80444444 116.19555556],0
p5,1,0.098173,2.734975,[  2 104] ; [ 20 321],[  5.21700224 100.78299776] ; [ 16.78299776 324.21700224],0
d3,1,0.146056,2.11297,[65 41] ; [235 106],[71.1409396 34.8590604] ; [228.8590604 112.1409396],0
a6,1,0.16929,1.889219,[65 41] ; [235 108],[70.82405345 35.17594655] ; [229.17594655 113.82405345],0
n4,1,0.172167,1.863969,[68 38] ; [244  99],[73.65701559 32.34298441] ; [238.34298441 104.65701559],0
d1,1,0.238262,1.39085,[51 55] ; [188 156],[56.29777778 49.70222222] ; [182.70222222 161.29777778],0
d5,1,0.247415,1.337841,[77 29] ; [267  75],[81.39285714 24.60714286] ; [262.60714286  79.39285714],0
a4,1,0.282393,1.155538,[39 65] ; [149 194],[43.74049217 60.25950783] ; [144.25950783 198.74049217],0
p4,1,0.285963,1.13853,[34 71] ; [130 211],[38.60986547 66.39013453] ; [125.39013453 215.60986547],0
a1,1,0.318401,0.995502,[  6 100] ; [ 12 332],[  4.24 101.76] ; [ 13.76 330.24],0
a8,1,0.323836,0.973391,[10 89] ; [ 44 272],[12.88192771 86.11807229] ; [ 41.11807229 274.88192771],0
u1,1,0.344495,0.893631,[16 90] ; [ 40 304],[13.19111111 92.80888889] ; [ 42.80888889 301.19111111],0
b3,1,0.371559,0.798444,[19 45] ; [ 67 120],[21.92828685 42.07171315] ; [ 64.07171315 122.92828685],0
b2,1,0.371559,0.798444,[19 45] ; [ 67 120],[21.92828685 42.07171315] ; [ 64.07171315 122.92828685],0
a3,1,0.373151,0.793143,[66 40] ; [229 113],[69.79910714 36.20089286] ; [225.20089286 116.79910714],0
u4,1,0.457158,0.552843,[  1 105] ; [  7 337],[  1.88444444 104.11555556] ; [  6.11555556 337.88444444],0
r1,1,0.492735,0.470549,[81 25] ; [272  70],[83.52232143 22.47767857] ; [269.47767857  72.52232143],0
a2,1,0.500551,0.453768,[19 87] ; [ 72 272],[21.43555556 84.56444444] ; [ 69.56444444 274.43555556],0
v3,1,0.504284,0.44591,[31 72] ; [110 217],[33.7744186 69.2255814] ; [107.2255814 219.7744186],0
u3,1,0.630991,0.230719,[23 17] ; [60 53],[21.69934641 18.30065359] ; [61.30065359 51.69934641],0
s1,1,0.672806,0.178338,[ 5 99] ; [ 13 323],[ 4.25454545 99.74545455] ; [ 13.74545455 322.25454545],0
u2,1,0.67833,0.172012,[21 18] ; [57 57],[19.88235294 19.11764706] ; [58.11764706 55.88235294],0
p1,1,0.852644,0.034501,[ 6 99] ; [ 18 325],[ 5.625 99.375] ; [ 18.375 324.625],0
b4,1,0.865059,0.028879,[62 44] ; [198 146],[61.24444444 44.75555556] ; [198.75555556 145.24444444],0
n1,1,0.978098,0.000754,[16 25] ; [38 60],[15.92805755 25.07194245] ; [38.07194245 59.92805755],0
