Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,37.80305,[1 3] ; [100   3],[3.77570093 0.22429907] ; [97.22429907  5.77570093],1
r2,1,0.000982,10.861859,[2 2] ; [97  6],[3.70093458 0.29906542] ; [95.29906542  7.70093458],1
s6,1,0.003237,8.669048,[1 3] ; [86 17],[3.25233645 0.74766355] ; [83.74766355 19.25233645],0
d5,1,0.006035,7.539747,[1 3] ; [84 19],[3.17757009 0.82242991] ; [81.82242991 21.17757009],0
p9,1,0.011952,6.318,[1 3] ; [79 21],[3.07692308 0.92307692] ; [76.92307692 23.07692308],0
p10,1,0.022528,5.204502,[1 3] ; [76 24],[2.96153846 1.03846154] ; [74.03846154 25.96153846],0
a7,1,0.033069,4.542205,[1 3] ; [76 27],[2.87850467 1.12149533] ; [74.12149533 28.87850467],0
r1,1,0.044677,4.030788,[1 3] ; [74 29],[2.80373832 1.19626168] ; [72.19626168 30.80373832],0
s1,1,0.125273,2.350125,[1 3] ; [ 6 98],[0.25925926 3.74074074] ; [ 6.74074074 97.25925926],0
b4,1,0.131118,2.279221,[1 3] ; [65 39],[2.44444444 1.55555556] ; [63.55555556 40.44444444],0
p11,1,0.155301,2.019395,[1 3] ; [63 41],[2.37037037 1.62962963] ; [61.62962963 42.37037037],0
p3,1,0.187499,1.737161,[3 1] ; [43 60],[1.71962617 2.28037383] ; [44.28037383 58.71962617],0
d1,1,0.210109,1.570673,[1 3] ; [59 45],[2.22222222 1.77777778] ; [57.77777778 46.22222222],0
p2,1,0.300436,1.072258,[2 2] ; [75 27],[2.90566038 1.09433962] ; [74.09433962 27.90566038],0
v3,1,0.329254,0.951828,[2 2] ; [27 71],[1.1372549 2.8627451] ; [27.8627451 70.1372549],0
s8,1,0.345061,0.891536,[1 3] ; [51 53],[1.92592593 2.07407407] ; [50.07407407 53.92592593],0
a5,1,0.389616,0.74014,[2 2] ; [73 31],[2.77777778 1.22222222] ; [72.22222222 31.77777778],0
d2,1,0.404327,0.695421,[1 3] ; [48 56],[1.81481481 2.18518519] ; [47.18518519 56.81481481],0
s4,1,0.47117,0.519231,[2 2] ; [34 70],[1.33333333 2.66666667] ; [34.66666667 69.33333333],0
u3,1,0.491839,0.4725,[1 1] ; [29 11],[1.42857143 0.57142857] ; [28.57142857 11.42857143],0
b5,1,0.537357,0.38046,[3 1] ; [62 42],[2.40740741 1.59259259] ; [62.59259259 41.40740741],0
s7,1,0.546136,0.364284,[1 2] ; [50 48],[1.51485149 1.48514851] ; [49.48514851 48.51485149],0
a6,1,0.555639,0.347312,[2 2] ; [67 37],[2.55555556 1.44444444] ; [66.44444444 37.55555556],0
n4,1,0.555639,0.347312,[2 2] ; [37 67],[1.44444444 2.55555556] ; [37.55555556 66.44444444],0
d4,1,0.558993,0.341451,[3 1] ; [89 15],[3.40740741 0.59259259] ; [88.59259259 15.40740741],0
n6,1,0.565992,0.329434,[2 2] ; [66 37],[2.54205607 1.45794393] ; [65.45794393 37.54205607],0
a4,1,0.611437,0.258088,[1 3] ; [39 65],[1.48148148 2.51851852] ; [38.51851852 65.48148148],0
p8,1,0.635549,0.224611,[2 2] ; [39 63],[1.54716981 2.45283019] ; [39.45283019 62.54716981],0
p7,1,0.640097,0.218615,[2 1] ; [53 47],[1.60194175 1.39805825] ; [53.39805825 46.60194175],0
b1,1,0.663789,0.188953,[1 3] ; [37 67],[1.40740741 2.59259259] ; [36.59259259 67.40740741],0
s3,1,0.691736,0.157212,[3 1] ; [86 18],[3.2962963 0.7037037] ; [85.7037037 18.2962963],0
a3,1,0.700928,0.147509,[2 2] ; [62 42],[2.37037037 1.62962963] ; [61.62962963 42.37037037],0
u2,1,0.722403,0.126202,[1 1] ; [25 15],[1.23809524 0.76190476] ; [24.76190476 15.23809524],0
v1,1,0.750814,0.100848,[2 2] ; [42 58],[1.69230769 2.30769231] ; [42.30769231 57.69230769],0
p6,1,0.796549,0.066469,[1 3] ; [32 71],[1.23364486 2.76635514] ; [31.76635514 71.23364486],0
p4,1,0.9848,0.000363,[2 2] ; [52 51],[2.01869159 1.98130841] ; [51.98130841 51.01869159],0
