Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.015013,5.915,[9 1] ; [1 3],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
p10,1,0.015013,5.915,[9 1] ; [1 3],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
n5,1,0.015013,5.915,[9 1] ; [1 3],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
d5,1,0.052353,3.764444,[8 2] ; [1 3],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
p9,1,0.0994,2.715152,[9 1] ; [2 2],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
a3,1,0.124283,2.3625,[7 3] ; [1 3],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
b4,1,0.236724,1.4,[6 4] ; [1 3],[5. 5.] ; [2. 2.],0
p8,1,0.236724,1.4,[4 6] ; [3 1],[5. 5.] ; [2. 2.],0
r4,1,0.236724,1.4,[6 4] ; [1 3],[5. 5.] ; [2. 2.],0
r1,1,0.236724,1.4,[6 4] ; [1 3],[5. 5.] ; [2. 2.],0
s8,1,0.236724,1.4,[6 4] ; [1 3],[5. 5.] ; [2. 2.],0
a5,1,0.261651,1.26,[8 2] ; [2 2],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
p4,1,0.261651,1.26,[8 2] ; [2 2],[7.14285714 2.85714286] ; [2.85714286 1.14285714],0
d1,1,0.393153,0.729167,[5 5] ; [1 3],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
u2,1,0.414216,0.666667,[1 2] ; [2 1],[1.5 1.5] ; [1.5 1.5],0
s4,1,0.468717,0.525,[1 9] ; [1 3],[1.42857143 8.57142857] ; [0.57142857 3.42857143],0
d4,1,0.480478,0.497778,[7 3] ; [2 2],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
d2,1,0.480478,0.497778,[7 3] ; [2 2],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
r2,1,0.480478,0.497778,[7 3] ; [2 2],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
p3,1,0.480478,0.497778,[7 3] ; [2 2],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
a6,1,0.480478,0.497778,[7 3] ; [2 2],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
s7,1,0.505985,0.442361,[4 5] ; [1 3],[3.46153846 5.53846154] ; [1.53846154 2.46153846],0
s5,1,0.505985,0.442361,[4 5] ; [1 3],[3.46153846 5.53846154] ; [1.53846154 2.46153846],0
b1,1,0.596701,0.28,[6 4] ; [3 1],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
a4,1,0.596701,0.28,[4 6] ; [1 3],[3.57142857 6.42857143] ; [1.42857143 2.57142857],0
a7,1,0.732678,0.116667,[6 4] ; [2 2],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
p11,1,0.732678,0.116667,[6 4] ; [2 2],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
b2,1,0.746886,0.104167,[3 5] ; [1 1],[3.2 4.8] ; [0.8 1.2],0
b3,1,0.746886,0.104167,[3 5] ; [1 1],[3.2 4.8] ; [0.8 1.2],0
s3,1,0.836813,0.042424,[8 2] ; [3 1],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
a8,1,0.836813,0.042424,[2 8] ; [1 3],[2.14285714 7.85714286] ; [0.85714286 3.14285714],0
b5,1,0.836813,0.042424,[8 2] ; [3 1],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
s2,1,1.0,0.0,[5 5] ; [2 2],[5. 5.] ; [2. 2.],0
