Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.008984,6.82601,[8 9] ; [ 2 19],[ 4.47368421 12.52631579] ; [ 5.52631579 15.47368421],0
b2,1,0.008984,6.82601,[8 9] ; [ 2 19],[ 4.47368421 12.52631579] ; [ 5.52631579 15.47368421],0
a3,1,0.010415,6.5625,[21  7] ; [15 20],[16. 12.] ; [20. 15.],0
p2,1,0.017938,5.602154,[26  2] ; [24 11],[22.22222222  5.77777778] ; [27.77777778  7.22222222],0
p9,1,0.024768,5.04,[24  4] ; [21 14],[20.  8.] ; [25. 10.],0
n4,1,0.040424,4.2,[16 12] ; [11 24],[12. 16.] ; [15. 20.],0
s5,1,0.043506,4.075615,[ 9 19] ; [ 4 31],[ 5.77777778 22.22222222] ; [ 7.22222222 27.77777778],0
p1,1,0.043863,4.061842,[ 5 23] ; [ 1 34],[ 2.66666667 25.33333333] ; [ 3.33333333 31.66666667],0
p11,1,0.092231,2.835,[23  5] ; [22 13],[20.  8.] ; [25. 10.],0
n5,1,0.134353,2.241474,[14 14] ; [11 24],[11.11111111 16.88888889] ; [13.88888889 21.11111111],0
b5,1,0.139574,2.18265,[21  7] ; [20 15],[18.22222222  9.77777778] ; [22.77777778 12.22222222],0
a2,1,0.147299,2.1,[ 6 22] ; [ 3 32],[ 4. 24.] ; [ 5. 30.],0
p5,1,0.203784,1.615042,[ 3 25] ; [ 1 34],[ 1.77777778 26.22222222] ; [ 2.22222222 32.77777778],0
s8,1,0.223129,1.484135,[13 15] ; [11 24],[10.66666667 17.33333333] ; [13.33333333 21.66666667],0
p6,1,0.240584,1.377167,[12 14] ; [11 24],[ 9.80327869 16.19672131] ; [13.19672131 21.80327869],0
v2,1,0.283726,1.149155,[17 11] ; [15 17],[14.93333333 13.06666667] ; [17.06666667 14.93333333],0
b4,1,0.367263,0.812903,[16 12] ; [16 19],[14.22222222 13.77777778] ; [17.77777778 17.22222222],0
p10,1,0.374247,0.789514,[22  6] ; [24 11],[20.44444444  7.55555556] ; [25.55555556  9.44444444],0
a5,1,0.384203,0.757212,[19  9] ; [20 15],[17.33333333 10.66666667] ; [21.66666667 13.33333333],0
s3,1,0.403004,0.699344,[11 16] ; [18 17],[12.62903226 14.37096774] ; [16.37096774 18.62903226],0
s6,1,0.423064,0.641788,[18 10] ; [19 16],[16.44444444 11.55555556] ; [20.55555556 14.44444444],0
u1,1,0.427355,0.63,[ 2 26] ; [ 1 34],[ 1.33333333 26.66666667] ; [ 1.66666667 33.33333333],0
s7,1,0.448125,0.575391,[11 16] ; [10 22],[ 9.61016949 17.38983051] ; [11.38983051 20.61016949],0
r3,1,0.465666,0.532241,[25  3] ; [33  2],[25.77777778  2.22222222] ; [32.22222222  2.77777778],0
b1,1,0.498475,0.458182,[16 12] ; [17 18],[14.66666667 13.33333333] ; [18.33333333 16.66666667],0
u3,1,0.529233,0.395865,[5 2] ; [11  8],[4.30769231 2.69230769] ; [11.69230769  7.30769231],0
p3,1,0.535351,0.384224,[15 13] ; [16 19],[13.77777778 14.22222222] ; [17.22222222 17.77777778],0
a7,1,0.54504,0.366279,[18 10] ; [25 10],[19.11111111  8.88888889] ; [23.88888889 11.11111111],0
a4,1,0.574628,0.315,[ 9 19] ; [ 9 26],[ 8. 20.] ; [10. 25.],0
s2,1,0.590028,0.290301,[ 9 18] ; [14 21],[10.01612903 16.98387097] ; [12.98387097 22.01612903],0
v4,1,0.595419,0.28196,[25  2] ; [31  4],[24.38709677  2.61290323] ; [31.61290323  3.38709677],0
r1,1,0.626046,0.237462,[23  5] ; [27  8],[22.22222222  5.77777778] ; [27.77777778  7.22222222],0
s1,1,0.714512,0.133812,[ 1 26] ; [ 2 33],[ 1.30645161 25.69354839] ; [ 1.69354839 33.30645161],0
n3,1,0.724939,0.12381,[4 2] ; [4 3],[3.69230769 2.30769231] ; [4.30769231 2.69230769],0
p4,1,0.727786,0.121154,[18 10] ; [21 14],[17.33333333 10.66666667] ; [21.66666667 13.33333333],0
u2,1,0.756158,0.096429,[5 2] ; [13  7],[4.66666667 2.33333333] ; [13.33333333  6.66666667],0
s4,1,0.757798,0.095094,[ 4 24] ; [ 6 29],[ 4.44444444 23.55555556] ; [ 5.55555556 29.44444444],0
a8,1,0.771378,0.084433,[ 1 23] ; [ 2 32],[ 1.24137931 22.75862069] ; [ 1.75862069 32.24137931],0
r2,1,0.804818,0.061066,[23  4] ; [29  6],[22.64516129  4.35483871] ; [29.35483871  5.64516129],0
p7,1,0.82907,0.04661,[20  7] ; [26  8],[20.36065574  6.63934426] ; [25.63934426  8.36065574],0
d5,1,0.842708,0.039375,[21  7] ; [27  8],[21.33333333  6.66666667] ; [26.66666667  8.33333333],0
v3,1,0.853842,0.033937,[ 9 17] ; [11 23],[ 8.66666667 17.33333333] ; [11.33333333 22.66666667],0
d3,1,0.857714,0.032143,[19  9] ; [23 12],[18.66666667  9.33333333] ; [23.33333333 11.66666667],0
r4,1,0.889269,0.019385,[22  6] ; [28  7],[22.22222222  5.77777778] ; [27.77777778  7.22222222],0
d2,1,0.951741,0.003663,[ 9 19] ; [11 24],[ 8.88888889 19.11111111] ; [11.11111111 23.88888889],0
a6,1,0.951741,0.003663,[19  9] ; [24 11],[19.11111111  8.88888889] ; [23.88888889 11.11111111],0
d1,1,0.954926,0.003195,[13 15] ; [16 19],[12.88888889 15.11111111] ; [16.11111111 18.88888889],0
d4,1,1.0,0.0,[20  8] ; [25 10],[20.  8.] ; [25. 10.],0
