Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.02226,5.225371,[6 2] ; [ 7 17],[3.25 4.75] ; [ 9.75 14.25],0
d5,1,0.02767,4.848485,[3 5] ; [19  5],[5.5 2.5] ; [16.5  7.5],0
b1,1,0.03965,4.232804,[7 1] ; [11 13],[4.5 3.5] ; [13.5 10.5],0
n6,1,0.048969,3.876416,[2 6] ; [15  8],[4.38709677 3.61290323] ; [12.61290323 10.38709677],0
r2,1,0.053116,3.74026,[3 5] ; [18  6],[5.25 2.75] ; [15.75  8.25],0
a7,1,0.065663,3.388235,[2 6] ; [15  9],[4.25 3.75] ; [12.75 11.25],0
a1,1,0.079989,3.065134,[2 6] ; [ 1 23],[0.75 7.25] ; [ 2.25 21.75],0
p11,1,0.10247,2.666667,[2 6] ; [14 10],[4. 4.] ; [12. 12.],0
d4,1,0.116664,2.461538,[5 3] ; [21  3],[6.5 1.5] ; [19.5  4.5],0
p9,1,0.124362,2.361504,[2 6] ; [13 10],[3.87096774 4.12903226] ; [11.12903226 11.87096774],0
s6,1,0.124362,2.361504,[2 6] ; [13 10],[3.87096774 4.12903226] ; [11.12903226 11.87096774],0
p10,1,0.183416,1.76973,[2 6] ; [12 11],[3.61290323 4.38709677] ; [10.38709677 12.61290323],0
s1,1,0.217044,1.52381,[2 6] ; [ 2 22],[1. 7.] ; [ 3. 21.],0
p2,1,0.217044,1.52381,[3 5] ; [15  9],[4.5 3.5] ; [13.5 10.5],0
s4,1,0.217044,1.52381,[2 6] ; [ 2 22],[1. 7.] ; [ 3. 21.],0
n3,1,0.280087,1.166667,[2 4] ; [5 3],[3. 3.] ; [4. 4.],0
b5,1,0.298782,1.079622,[2 6] ; [11 13],[3.25 4.75] ; [ 9.75 14.25],0
s7,1,0.359809,0.838561,[1 5] ; [ 8 14],[1.92857143 4.07142857] ; [ 7.07142857 14.92857143],0
p7,1,0.399075,0.711111,[2 6] ; [10 14],[3. 5.] ; [ 9. 15.],0
p4,1,0.399075,0.711111,[2 6] ; [10 14],[3. 5.] ; [ 9. 15.],0
v1,1,0.399075,0.711111,[2 6] ; [10 14],[3. 5.] ; [ 9. 15.],0
d2,1,0.414216,0.666667,[3 5] ; [13 11],[4. 4.] ; [12. 12.],0
n1,1,0.518605,0.416667,[3 3] ; [3 6],[2.4 3.6] ; [3.6 5.4],0
b4,1,0.533003,0.388664,[4 4] ; [15  9],[4.75 3.25] ; [14.25  9.75],0
n5,1,0.539498,0.376471,[5 3] ; [12 12],[4.25 3.75] ; [12.75 11.25],0
v3,1,0.600991,0.273504,[1 7] ; [ 5 19],[1.5 6.5] ; [ 4.5 19.5],0
n4,1,0.659658,0.193939,[6 2] ; [16  8],[5.5 2.5] ; [16.5  7.5],0
d3,1,0.680724,0.169312,[4 4] ; [10 14],[3.5 4.5] ; [10.5 13.5],0
a2,1,0.726226,0.122605,[1 7] ; [ 2 22],[0.75 7.25] ; [ 2.25 21.75],0
s3,1,0.749518,0.101936,[4 4] ; [10 13],[3.61290323 4.38709677] ; [10.38709677 12.61290323],0
s2,1,0.770515,0.08509,[2 6] ; [ 7 16],[2.32258065 5.67741935] ; [ 6.67741935 16.32258065],0
s5,1,0.820422,0.05153,[2 6] ; [ 7 17],[2.25 5.75] ; [ 6.75 17.25],0
p3,1,0.820422,0.05153,[2 6] ; [ 7 17],[2.25 5.75] ; [ 6.75 17.25],0
a5,1,0.829856,0.046176,[5 3] ; [16  8],[5.25 2.75] ; [15.75  8.25],0
n2,1,0.832662,0.044643,[3 3] ; [5 4],[3.2 2.8] ; [4.8 4.2],0
b3,1,0.856417,0.032738,[2 4] ; [ 6 10],[2.18181818 3.81818182] ; [ 5.81818182 10.18181818],0
b2,1,0.856417,0.032738,[2 4] ; [ 6 10],[2.18181818 3.81818182] ; [ 5.81818182 10.18181818],0
a8,1,0.965387,0.001883,[1 6] ; [ 3 19],[0.96551724 6.03448276] ; [ 3.03448276 18.96551724],0
a6,1,1.0,0.0,[3 5] ; [ 9 15],[3. 5.] ; [ 9. 15.],0
p5,1,1.0,0.0,[1 7] ; [ 3 21],[1. 7.] ; [ 3. 21.],0
d1,1,1.0,0.0,[3 5] ; [ 9 15],[3. 5.] ; [ 9. 15.],0
