Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.003877,8.340652,[ 3 22] ; [3 1],[ 5.17241379 19.82758621] ; [0.82758621 3.17241379],0
d2,1,0.061753,3.489667,[ 3 22] ; [2 2],[ 4.31034483 20.68965517] ; [0.68965517 3.31034483],0
v2,1,0.069832,3.286957,[ 3 21] ; [2 2],[ 4.28571429 19.71428571] ; [0.71428571 3.28571429],0
u3,1,0.11863,2.435317,[ 3 11] ; [2 1],[4.11764706 9.88235294] ; [0.88235294 2.11764706],0
s2,1,0.119088,2.429275,[ 4 21] ; [2 2],[ 5.17241379 19.82758621] ; [0.82758621 3.17241379],0
r4,1,0.123819,2.368333,[ 1 24] ; [1 3],[ 1.72413793 23.27586207] ; [0.27586207 3.72413793],0
p1,1,0.123819,2.368333,[ 1 24] ; [1 3],[ 1.72413793 23.27586207] ; [0.27586207 3.72413793],0
p6,1,0.14549,2.118913,[ 1 22] ; [1 3],[ 1.7037037 21.2962963] ; [0.2962963 3.7037037],0
b4,1,0.191254,1.707933,[15 10] ; [1 3],[13.79310345 11.20689655] ; [2.20689655 1.79310345],0
u2,1,0.210209,1.569986,[ 4 10] ; [2 1],[4.94117647 9.05882353] ; [1.05882353 1.94117647],0
n5,1,0.249323,1.327095,[11 14] ; [3 1],[12.06896552 12.93103448] ; [1.93103448 2.06896552],0
s8,1,0.299934,1.074487,[ 2 23] ; [1 3],[ 2.5862069 22.4137931] ; [0.4137931 3.5862069],0
s3,1,0.305507,1.05,[ 6 18] ; [2 2],[ 6.85714286 17.14285714] ; [1.14285714 2.85714286],0
n4,1,0.315691,1.006714,[12 13] ; [3 1],[12.93103448 12.06896552] ; [2.06896552 1.93103448],0
a3,1,0.435678,0.607639,[11 13] ; [1 3],[10.28571429 13.71428571] ; [1.71428571 2.28571429],0
r3,1,0.473763,0.513186,[11 14] ; [1 3],[10.34482759 14.65517241] ; [1.65517241 2.34482759],0
b5,1,0.473763,0.513186,[14 11] ; [3 1],[14.65517241 10.34482759] ; [2.34482759 1.65517241],0
r1,1,0.481915,0.494526,[ 8 17] ; [2 2],[ 8.62068966 16.37931034] ; [1.37931034 2.62068966],0
v3,1,0.483883,0.4901,[ 3 22] ; [1 3],[ 3.44827586 21.55172414] ; [0.55172414 3.44827586],0
a1,1,0.483883,0.4901,[ 3 22] ; [1 3],[ 3.44827586 21.55172414] ; [0.55172414 3.44827586],0
s1,1,0.483883,0.4901,[ 3 22] ; [1 3],[ 3.44827586 21.55172414] ; [0.55172414 3.44827586],0
p8,1,0.508332,0.4375,[ 3 21] ; [1 3],[ 3.42857143 20.57142857] ; [0.57142857 3.42857143],0
s7,1,0.538253,0.378788,[ 4 18] ; [1 2],[ 4.4 17.6] ; [0.6 2.4],0
d3,1,0.565927,0.329545,[10 15] ; [1 3],[ 9.48275862 15.51724138] ; [1.51724138 2.48275862],0
a7,1,0.565927,0.329545,[10 15] ; [1 3],[ 9.48275862 15.51724138] ; [1.51724138 2.48275862],0
d4,1,0.592104,0.287071,[16  9] ; [2 2],[15.51724138  9.48275862] ; [2.48275862 1.51724138],0
p4,1,0.667378,0.184684,[ 9 16] ; [1 3],[ 8.62068966 16.37931034] ; [1.37931034 2.62068966],0
p2,1,0.706146,0.142157,[10 15] ; [2 2],[10.34482759 14.65517241] ; [1.65517241 2.34482759],0
n6,1,0.755189,0.097222,[10 14] ; [2 2],[10.28571429 13.71428571] ; [1.71428571 2.28571429],0
p7,1,0.778733,0.078944,[ 8 17] ; [1 3],[ 7.75862069 17.24137931] ; [1.24137931 2.75862069],0
d1,1,0.818707,0.052536,[ 5 20] ; [1 3],[ 5.17241379 19.82758621] ; [0.82758621 3.17241379],0
b1,1,0.900807,0.015536,[18  7] ; [3 1],[18.10344828  6.89655172] ; [2.89655172 1.10344828],0
v4,1,0.940754,0.005524,[12 13] ; [2 2],[12.06896552 12.93103448] ; [1.93103448 2.06896552],0
d5,1,0.940754,0.005524,[12 13] ; [2 2],[12.06896552 12.93103448] ; [1.93103448 2.06896552],0
b2,1,0.94766,0.004309,[ 6 11] ; [1 2],[ 5.95 11.05] ; [1.05 1.95],0
b3,1,0.94766,0.004309,[ 6 11] ; [1 2],[ 5.95 11.05] ; [1.05 1.95],0
a4,1,0.965387,0.001883,[ 6 19] ; [1 3],[ 6.03448276 18.96551724] ; [0.96551724 3.03448276],0
p3,1,1.0,0.0,[ 6 18] ; [1 3],[ 6. 18.] ; [1. 3.],0
p10,1,1.0,0.0,[ 6 18] ; [1 3],[ 6. 18.] ; [1. 3.],0
