Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,5e-05,16.442051,[ 57 105] ; [12  1],[63.87428571 98.12571429] ; [5.12571429 7.87428571],1
b3,1,5e-05,16.442051,[ 57 105] ; [12  1],[63.87428571 98.12571429] ; [5.12571429 7.87428571],1
s8,1,0.001316,10.319897,[118 135] ; [12  1],[123.64661654 129.35338346] ; [6.35338346 6.64661654],0
p12,1,0.001822,9.720415,[ 17 234] ; [4 9],[ 19.96590909 231.03409091] ; [ 1.03409091 11.96590909],0
v3,1,0.002311,9.284344,[ 96 155] ; [8 1],[100.4 150.6] ; [3.6 5.4],0
a2,1,0.002387,9.225233,[ 61 195] ; [8 5],[ 65.66542751 190.33457249] ; [3.33457249 9.66542751],0
d1,1,0.009477,6.730604,[143 113] ; [12  1],[147.50929368 108.49070632] ; [7.49070632 5.50929368],0
s7,1,0.009569,6.713496,[116 127] ; [11  2],[120.55078125 122.44921875] ; [6.44921875 6.55078125],0
s3,1,0.011631,6.366303,[143 108] ; [12  1],[147.36742424 103.63257576] ; [7.63257576 5.36742424],0
p5,1,0.012199,6.281687,[ 37 216] ; [5 7],[ 40.09811321 212.90188679] ; [ 1.90188679 10.09811321],0
d2,1,0.012757,6.202475,[126 130] ; [11  2],[130.37918216 125.62081784] ; [6.62081784 6.37918216],0
s2,1,0.01326,6.134125,[125 128] ; [11  2],[129.35338346 123.64661654] ; [6.64661654 6.35338346],0
v1,1,0.027106,4.884042,[136 113] ; [9 1],[139.4015444 109.5984556] ; [5.5984556 4.4015444],0
a1,1,0.027544,4.856398,[ 17 239] ; [ 3 10],[ 19.03345725 236.96654275] ; [ 0.96654275 12.03345725],0
s6,1,0.030245,4.695329,[155  92] ; [12  1],[158.65  88.35] ; [8.35 4.65],0
u1,1,0.036004,4.396909,[ 41 215] ; [5 8],[ 43.77695167 212.22304833] ; [ 2.22304833 10.77695167],0
a4,1,0.043595,4.072179,[123 132] ; [10  3],[126.54850746 128.45149254] ; [6.45149254 6.54850746],0
v2,1,0.10942,2.562577,[132 111] ; [8 2],[134.46640316 108.53359684] ; [5.53359684 4.46640316],0
d3,1,0.111525,2.532476,[161  95] ; [11  2],[163.68773234  92.31226766] ; [8.31226766 4.68773234],0
p4,1,0.124992,2.353624,[162  92] ; [11  2],[164.57677903  89.42322097] ; [8.42322097 4.57677903],0
a8,1,0.169455,1.887759,[ 34 205] ; [3 7],[ 35.51405622 203.48594378] ; [1.48594378 8.51405622],0
p3,1,0.17005,1.882498,[146 107] ; [10  3],[148.37593985 104.62406015] ; [7.62406015 5.37593985],0
a5,1,0.194511,1.683113,[197  59] ; [12  1],[198.89962825  57.10037175] ; [10.10037175  2.89962825],0
a6,1,0.366711,0.81478,[165  90] ; [10  3],[166.51119403  88.48880597] ; [8.48880597 4.51119403],0
s1,1,0.378283,0.776273,[  8 245] ; [ 1 12],[  8.56015038 244.43984962] ; [ 0.43984962 12.56015038],0
p6,1,0.406713,0.688387,[105 144] ; [7 6],[106.44274809 142.55725191] ; [5.55725191 7.44274809],0
p8,1,0.489386,0.477875,[149 101] ; [9 4],[150.19011407  99.80988593] ; [7.80988593 5.19011407],0
d5,1,0.496949,0.461445,[195  60] ; [11  2],[196.00746269  58.99253731] ; [9.99253731 3.00746269],0
s4,1,0.503584,0.447376,[ 36 216] ; [ 1 12],[ 35.18490566 216.81509434] ; [ 1.81509434 11.18490566],0
r1,1,0.595074,0.282489,[200  55] ; [11  2],[200.76492537  54.23507463] ; [10.23507463  2.76492537],0
b5,1,0.628109,0.234634,[140 116] ; [8 5],[140.84758364 115.15241636] ; [7.15241636 5.84758364],0
a7,1,0.696952,0.151662,[163  92] ; [9 4],[163.65671642  91.34328358] ; [8.34328358 4.65671642],0
s5,1,0.745824,0.105074,[ 78 168] ; [4 7],[ 78.49027237 167.50972763] ; [3.50972763 7.49027237],0
n4,1,0.760903,0.092596,[208  48] ; [11  2],[208.41635688  47.58364312] ; [10.58364312  2.41635688],0
b4,1,0.777699,0.079704,[148 108] ; [7 6],[147.50929368 108.49070632] ; [7.49070632 5.50929368],0
p7,1,0.828608,0.046867,[180  70] ; [9 4],[179.65779468  70.34220532] ; [9.34220532 3.65779468],0
p2,1,0.847202,0.037129,[208  44] ; [11  2],[208.25660377  43.74339623] ; [10.74339623  2.25660377],0
p1,1,0.977859,0.00077,[ 20 233] ; [ 1 12],[ 19.97368421 233.02631579] ; [ 1.02631579 11.97368421],0
