Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.015297,5.881944,[10  2] ; [ 6 10],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
b1,1,0.021947,5.25,[9 3] ; [ 5 11],[6. 6.] ; [8. 8.],0
v2,1,0.038142,4.298684,[6 6] ; [ 2 13],[3.55555556 8.44444444] ; [ 4.44444444 10.55555556],0
b3,1,0.038214,4.295455,[5 5] ; [ 1 10],[2.85714286 7.14285714] ; [3.14285714 7.85714286],0
b2,1,0.038214,4.295455,[5 5] ; [ 1 10],[2.85714286 7.14285714] ; [3.14285714 7.85714286],0
a5,1,0.040078,4.214583,[11  1] ; [9 7],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
d2,1,0.048954,3.876923,[3 9] ; [10  6],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
v3,1,0.076309,3.141818,[4 8] ; [ 1 14],[2.22222222 9.77777778] ; [ 2.77777778 12.22222222],0
n5,1,0.07776,3.111111,[11  1] ; [10  6],[9. 3.] ; [12.  4.],0
p6,1,0.079741,3.070175,[6 6] ; [ 3 13],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
n1,1,0.094264,2.8,[4 1] ; [3 6],[2.5 2.5] ; [4.5 4.5],0
d5,1,0.09821,2.734375,[9 3] ; [7 9],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
a3,1,0.09821,2.734375,[9 3] ; [7 9],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
p10,1,0.128872,2.306043,[10  2] ; [9 7],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
b5,1,0.128872,2.306043,[10  2] ; [9 7],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
p2,1,0.18367,1.767677,[8 4] ; [14  2],[9.42857143 2.57142857] ; [12.57142857  3.42857143],0
d3,1,0.228871,1.447863,[8 4] ; [7 9],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
a7,1,0.274006,1.196581,[7 5] ; [ 6 10],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
u2,1,0.310494,1.028571,[1 2] ; [6 3],[1.75 1.25] ; [5.25 3.75],0
s2,1,0.314736,1.010695,[6 6] ; [ 5 11],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
p9,1,0.326109,0.964286,[10  2] ; [10  5],[8.88888889 3.11111111] ; [11.11111111  3.88888889],0
r4,1,0.350045,0.873294,[5 7] ; [ 4 12],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
d1,1,0.350045,0.873294,[5 7] ; [ 4 12],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
a4,1,0.350045,0.873294,[5 7] ; [ 4 12],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
d4,1,0.377822,0.777778,[8 4] ; [8 8],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
p5,1,0.377822,0.777778,[4 8] ; [ 3 13],[3. 9.] ; [ 4. 12.],0
p1,1,0.435678,0.607639,[ 1 11] ; [ 3 13],[ 1.71428571 10.28571429] ; [ 2.28571429 13.71428571],0
s7,1,0.462325,0.54026,[6 6] ; [5 9],[5.07692308 6.92307692] ; [5.92307692 8.07692308],0
p8,1,0.483522,0.490909,[8 4] ; [8 7],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
r1,1,0.508332,0.4375,[6 6] ; [ 6 10],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
s6,1,0.54659,0.363462,[7 5] ; [7 8],[6.22222222 5.77777778] ; [7.77777778 7.22222222],0
n3,1,0.576999,0.311111,[3 2] ; [4 5],[2.5 2.5] ; [4.5 4.5],0
s4,1,0.594853,0.282828,[ 2 10] ; [ 4 12],[2.57142857 9.42857143] ; [ 3.42857143 12.57142857],0
v4,1,0.594853,0.282828,[10  2] ; [12  4],[9.42857143 2.57142857] ; [12.57142857  3.42857143],0
p7,1,0.599337,0.275996,[7 4] ; [8 7],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
s8,1,0.63749,0.222039,[3 9] ; [ 5 10],[3.55555556 8.44444444] ; [ 4.44444444 10.55555556],0
s1,1,0.724263,0.124444,[ 1 11] ; [ 2 14],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
u3,1,0.735317,0.114286,[1 2] ; [4 5],[1.25 1.75] ; [3.75 5.25],0
s5,1,0.819872,0.051852,[4 8] ; [ 6 10],[4.28571429 7.71428571] ; [ 5.71428571 10.28571429],0
n4,1,0.819872,0.051852,[8 4] ; [10  6],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
p12,1,0.83224,0.044872,[ 1 11] ; [ 1 15],[ 0.85714286 11.14285714] ; [ 1.14285714 14.85714286],0
s3,1,0.850646,0.035455,[4 7] ; [6 9],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
b4,1,0.907008,0.013645,[8 4] ; [11  5],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
p4,1,0.912219,0.012153,[7 5] ; [9 7],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
p3,1,0.912219,0.012153,[5 7] ; [7 9],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
n6,1,0.921775,0.009643,[9 3] ; [11  4],[8.88888889 3.11111111] ; [11.11111111  3.88888889],0
r2,1,1.0,0.0,[9 3] ; [12  4],[9. 3.] ; [12.  4.],0
