Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.003425,8.565991,[17 10] ; [ 5 18],[11.88 15.12] ; [10.12 12.88],0
p10,1,0.005185,7.813803,[14 13] ; [ 3 19],[ 9.36734694 17.63265306] ; [ 7.63265306 14.36734694],0
d5,1,0.005278,7.781751,[20  7] ; [ 8 15],[15.12 11.88] ; [12.88 10.12],0
d4,1,0.012592,6.225591,[20  7] ; [ 9 14],[15.66 11.34] ; [13.34  9.66],0
p9,1,0.016055,5.796834,[13 12] ; [ 4 18],[ 9.04255319 15.95744681] ; [ 7.95744681 14.04255319],0
p2,1,0.023635,5.121237,[11 15] ; [ 3 20],[ 7.42857143 18.57142857] ; [ 6.57142857 16.42857143],0
r1,1,0.035363,4.427548,[15 12] ; [ 6 17],[11.34 15.66] ; [ 9.66 13.34],0
s6,1,0.036078,4.393433,[ 9 18] ; [ 2 21],[ 5.94 21.06] ; [ 5.06 17.94],0
a7,1,0.04153,4.154252,[16 11] ; [ 7 16],[12.42 14.58] ; [10.58 12.42],0
u2,1,0.04557,3.997403,[4 4] ; [ 1 10],[2.10526316 5.89473684] ; [2.89473684 8.10526316],0
n3,1,0.058137,3.589744,[9 5] ; [ 4 10],[6.5 7.5] ; [6.5 7.5],0
r2,1,0.064162,3.426392,[19  6] ; [11 11],[15.95744681  9.04255319] ; [14.04255319  7.95744681],0
s7,1,0.086431,2.939621,[ 7 17] ; [ 2 20],[ 4.69565217 19.30434783] ; [ 4.30434783 17.69565217],0
n4,1,0.091184,2.853342,[15 12] ; [18  5],[17.82  9.18] ; [15.18  7.82],0
n2,1,0.095547,2.778345,[10  5] ; [5 9],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
s1,1,0.107851,2.585436,[ 1 26] ; [ 4 19],[ 2.7 24.3] ; [ 2.3 20.7],0
d1,1,0.109205,2.56569,[13 14] ; [ 6 17],[10.26 16.74] ; [ 8.74 14.26],0
s5,1,0.112719,2.515679,[ 5 21] ; [ 1 22],[ 3.18367347 22.81632653] ; [ 2.81632653 20.18367347],0
b5,1,0.126199,2.338645,[14 13] ; [ 7 16],[11.34 15.66] ; [ 9.66 13.34],0
p8,1,0.13009,2.291433,[ 7 20] ; [ 2 20],[ 4.95918367 22.04081633] ; [ 4.04081633 17.95918367],0
d3,1,0.141868,2.157577,[15 12] ; [ 8 15],[12.42 14.58] ; [10.58 12.42],0
p1,1,0.1455,2.11881,[ 2 25] ; [ 5 18],[ 3.78 23.22] ; [ 3.22 19.78],0
b4,1,0.168272,1.898268,[17 10] ; [10 13],[14.58 12.42] ; [12.42 10.58],0
a1,1,0.169518,1.8872,[ 3 24] ; [ 6 17],[ 4.86 22.14] ; [ 4.14 18.86],0
a3,1,0.18103,1.789148,[19  7] ; [12 10],[16.79166667  9.20833333] ; [14.20833333  7.79166667],0
b1,1,0.191613,1.705173,[20  7] ; [13 10],[17.82  9.18] ; [15.18  7.82],0
p4,1,0.228947,1.447393,[ 7 19] ; [ 3 20],[ 5.30612245 20.69387755] ; [ 4.69387755 18.30612245],0
s3,1,0.497121,0.461077,[ 6 20] ; [ 7 15],[ 7.04166667 18.95833333] ; [ 5.95833333 16.04166667],0
a2,1,0.506932,0.440394,[ 4 23] ; [ 2 21],[ 3.24 23.76] ; [ 2.76 20.24],0
v3,1,0.526106,0.401907,[ 8 19] ; [ 5 18],[ 7.02 19.98] ; [ 5.98 17.02],0
a5,1,0.554737,0.3489,[14 13] ; [10 13],[12.96 14.04] ; [11.04 11.96],0
d2,1,0.567022,0.327691,[12 15] ; [ 8 14],[11.02040816 15.97959184] ; [ 8.97959184 13.02040816],0
b2,1,0.578709,0.308326,[ 6 10] ; [8 9],[6.78787879 9.21212121] ; [7.21212121 9.78787879],0
b3,1,0.578709,0.308326,[ 6 10] ; [8 9],[6.78787879 9.21212121] ; [7.21212121 9.78787879],0
n5,1,0.723413,0.125246,[20  7] ; [16  7],[19.44  7.56] ; [16.56  6.44],0
s2,1,0.804383,0.061345,[ 4 23] ; [ 4 19],[ 4.32 22.68] ; [ 3.68 19.32],0
n1,1,0.857541,0.032222,[7 8] ; [7 7],[7.24137931 7.75862069] ; [6.75862069 7.24137931],0
a4,1,0.881087,0.022378,[10 16] ; [ 8 14],[ 9.75 16.25] ; [ 8.25 13.75],0
p7,1,0.882172,0.021968,[ 5 20] ; [ 5 18],[ 5.20833333 19.79166667] ; [ 4.79166667 18.20833333],0
p12,1,0.907778,0.013419,[ 1 26] ; [ 1 22],[ 1.08 25.92] ; [ 0.92 22.08],0
p3,1,0.910817,0.012546,[ 6 20] ; [ 5 18],[ 5.83673469 20.16326531] ; [ 5.16326531 17.83673469],0
s4,1,0.917645,0.010692,[ 5 22] ; [ 4 19],[ 4.86 22.14] ; [ 4.14 18.86],0
a6,1,0.945311,0.004705,[12 15] ; [10 13],[11.88 15.12] ; [10.12 12.88],0
v1,1,0.989677,0.000167,[ 7 20] ; [ 6 17],[ 7.02 19.98] ; [ 5.98 17.02],0
