Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,93.55475,[73 38] ; [586  31],[100.4793956  10.5206044] ; [558.5206044  58.4793956],1
p2,1,0.0,42.863034,[73 43] ; [538  77],[96.95759234 19.04240766] ; [514.04240766 100.95759234],1
n6,1,0.0,30.976195,[77 37] ; [540  74],[96.61813187 17.38186813] ; [520.38186813  93.61813187],1
r3,1,0.0,28.636247,[97 17] ; [596  19],[108.37037037   5.62962963] ; [584.62962963  30.37037037],1
n5,1,0.0,26.559352,[66 48] ; [492 122],[87.37912088 26.62087912] ; [470.62087912 143.37912088],1
p7,1,1e-06,24.412574,[50 62] ; [414 187],[72.88639551 39.11360449] ; [391.11360449 209.88639551],1
n4,1,2e-06,23.118657,[68 46] ; [496 122],[87.83606557 26.16393443] ; [476.16393443 141.83606557],1
p4,1,2e-06,22.941795,[46 68] ; [395 220],[68.96296296 45.03703704] ; [372.03703704 242.96296296],1
p3,1,7e-06,20.071511,[36 79] ; [333 283],[58.0506156 56.9493844] ; [310.9493844 305.0506156],1
v4,1,9e-06,19.664353,[99 16] ; [589  23],[108.83081155   6.16918845] ; [579.16918845  32.83081155],1
r4,1,1e-05,19.47173,[90 26] ; [565  53],[103.51498638  12.48501362] ; [551.48501362  66.51498638],1
p8,1,2.4e-05,17.81515,[43 71] ; [360 249],[63.54356846 50.45643154] ; [339.45643154 269.54356846],1
s8,1,0.001362,10.256008,[35 81] ; [284 330],[50.69041096 65.30958904] ; [268.30958904 345.69041096],0
s6,1,0.001786,9.757524,[61 53] ; [415 190],[75.47148818 38.52851182] ; [400.52851182 204.47148818],0
s7,1,0.002659,9.027764,[38 71] ; [300 294],[52.40682788 56.59317212] ; [285.59317212 308.40682788],0
v1,1,0.002705,8.996654,[47 67] ; [339 261],[61.6302521 52.3697479] ; [324.3697479 275.6302521],0
u2,1,0.002763,8.957614,[17 28] ; [107  64],[25.83333333 19.16666667] ; [98.16666667 72.83333333],0
s1,1,0.003122,8.734801,[  9 106] ; [ 15 596],[  3.80165289 111.19834711] ; [ 20.19834711 590.80165289],0
u3,1,0.004408,8.107605,[16 29] ; [102  70],[24.47004608 20.52995392] ; [93.52995392 78.47004608],0
p12,1,0.005211,7.804805,[  2 113] ; [ 59 556],[  9.60958904 105.39041096] ; [ 51.39041096 563.60958904],0
a5,1,0.005676,7.650278,[74 42] ; [470 148],[85.97275204 30.02724796] ; [458.02724796 159.97275204],0
a3,1,0.036176,4.388796,[70 42] ; [446 171],[79.27572016 32.72427984] ; [436.72427984 180.27572016],0
p6,1,0.038624,4.277342,[31 82] ; [229 380],[40.69252078 72.30747922] ; [219.30747922 389.69252078],0
r1,1,0.038835,4.268061,[82 32] ; [495 120],[90.23045267 23.76954733] ; [486.76954733 128.23045267],0
s5,1,0.041532,4.15417,[27 81] ; [210 389],[36.20367751 71.79632249] ; [200.79632249 398.20367751],0
s2,1,0.085958,2.948496,[50 66] ; [317 295],[58.47802198 57.52197802] ; [308.52197802 303.47802198],0
d5,1,0.087598,2.917967,[87 29] ; [504 112],[93.6557377 22.3442623] ; [497.3442623 118.6557377],0
v2,1,0.089549,2.882468,[54 54] ; [348 244],[62.02285714 45.97714286] ; [339.97714286 252.02285714],0
n3,1,0.089555,2.882352,[26 17] ; [84 29],[30.32051282 12.67948718] ; [79.67948718 33.32051282],0
p5,1,0.099702,2.710309,[  9 106] ; [ 82 532],[ 14.35528121 100.64471879] ; [ 76.64471879 537.35528121],0
s3,1,0.12017,2.415109,[56 58] ; [346 261],[63.56171983 50.43828017] ; [338.43828017 268.56171983],0
v3,1,0.184708,1.759328,[37 72] ; [243 354],[43.22946176 65.77053824] ; [236.77053824 360.22946176],0
d4,1,0.196234,1.670181,[90 26] ; [509 107],[94.92349727 21.07650273] ; [504.07650273 111.92349727],0
s4,1,0.206512,1.595711,[25 91] ; [102 509],[20.26409904 95.73590096] ; [106.73590096 504.26409904],0
b5,1,0.265342,1.240672,[74 42] ; [360 258],[68.58855586 47.41144414] ; [365.41144414 252.58855586],0
b4,1,0.289685,1.121086,[62 54] ; [363 255],[67.16621253 48.83378747] ; [357.83378747 260.16621253],0
a8,1,0.301919,1.0657,[10 91] ; [ 78 493],[13.22619048 87.77380952] ; [ 74.77380952 496.22619048],0
n2,1,0.334874,0.929959,[31 14] ; [87 27],[33.39622642 11.60377358] ; [84.60377358 29.39622642],0
d1,1,0.397769,0.715062,[64 52] ; [367 251],[68.11444142 47.88555858] ; [362.88555858 255.11444142],0
p1,1,0.413029,0.670066,[  8 108] ; [ 57 559],[ 10.30054645 105.69945355] ; [ 54.69945355 561.30054645],0
a6,1,0.485197,0.487159,[77 39] ; [429 187],[80.18579235 35.81420765] ; [425.81420765 190.18579235],0
r2,1,0.560654,0.338573,[104   8] ; [576  35],[105.33886584   6.66113416] ; [574.66113416  36.33886584],0
a4,1,0.587578,0.294143,[47 68] ; [269 348],[49.64480874 65.35519126] ; [266.35519126 350.64480874],0
d3,1,0.590594,0.289417,[83 33] ; [426 191],[80.55115962 35.44884038] ; [428.44884038 188.55115962],0
n1,1,0.644099,0.213421,[15 29] ; [43 70],[16.25477707 27.74522293] ; [41.74522293 71.25477707],0
a2,1,0.697999,0.150562,[28 88] ; [139 479],[26.39237057 89.60762943] ; [140.60762943 477.39237057],0
a1,1,0.704858,0.143467,[  4 112] ; [ 26 592],[  4.74114441 111.25885559] ; [ 25.25885559 592.74114441],0
u1,1,0.803709,0.061777,[21 95] ; [106 512],[20.07084469 95.92915531] ; [106.92915531 511.07084469],0
b3,1,0.837307,0.042164,[21 36] ; [145 234],[21.70183486 35.29816514] ; [144.29816514 234.70183486],0
b2,1,0.837307,0.042164,[21 36] ; [145 234],[21.70183486 35.29816514] ; [144.29816514 234.70183486],0
a7,1,0.855777,0.033034,[85 30] ; [451 166],[84.20765027 30.79234973] ; [451.79234973 165.20765027],0
d2,1,0.97406,0.001057,[53 63] ; [282 333],[53.16005472 62.83994528] ; [281.83994528 333.16005472],0
