Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,97.211128,[238  42] ; [37 71],[198.45360825  81.54639175] ; [76.54639175 31.45360825],1
n6,1,0.0,25.916578,[246  35] ; [71 38],[228.4025641  52.5974359] ; [88.5974359 20.4025641],1
a5,1,0.0,25.450166,[205  76] ; [50 59],[183.73076923  97.26923077] ; [71.26923077 37.73076923],1
r1,1,1.2e-05,19.238616,[221  59] ; [62 47],[203.70179949  76.29820051] ; [79.29820051 29.70179949],1
a4,1,4.7e-05,16.577027,[135 144] ; [28 81],[117.20876289 161.79123711] ; [45.79123711 63.20876289],1
p4,1,9.4e-05,15.244985,[173 107] ; [43 65],[155.87628866 124.12371134] ; [60.12371134 47.87628866],1
s7,1,0.000147,14.407404,[133 135] ; [29 75],[116.70967742 151.29032258] ; [45.29032258 58.70967742],1
a3,1,0.000172,14.116407,[194  85] ; [53 55],[178.06976744 100.93023256] ; [68.93023256 39.06976744],1
p11,1,0.000193,13.897289,[220  61] ; [65 44],[205.34615385  75.65384615] ; [79.65384615 29.34615385],1
r2,1,0.000253,13.387285,[268  10] ; [94 15],[260.04134367  17.95865633] ; [101.95865633   7.04134367],1
u1,1,0.00037,12.677488,[ 49 232] ; [  4 105],[ 38.18717949 242.81282051] ; [14.81282051 94.18717949],1
s6,1,0.000394,12.56086,[190  84] ; [54 54],[175.01570681  98.98429319] ; [68.98429319 39.01570681],1
a2,1,0.000488,12.160554,[ 67 214] ; [  9 100],[ 54.75897436 226.24102564] ; [21.24102564 87.75897436],1
r4,1,0.000994,10.837848,[256  25] ; [86 23],[246.41538462  34.58461538] ; [95.58461538 13.41538462],1
p5,1,0.001295,10.349647,[ 39 238] ; [  3 106],[ 30.13989637 246.86010363] ; [11.86010363 97.13989637],0
p3,1,0.002628,9.049175,[134 145] ; [34 75],[120.80412371 158.19587629] ; [47.19587629 61.80412371],0
v3,1,0.003259,8.656462,[ 61 213] ; [10 98],[ 50.92670157 223.07329843] ; [20.07329843 87.92670157],0
d1,1,0.004787,7.958144,[153 128] ; [42 67],[140.5 140.5] ; [54.5 54.5],0
d5,1,0.005507,7.705043,[219  60] ; [70 38],[208.34883721  70.65116279] ; [80.65116279 27.34883721],0
p6,1,0.006259,7.474084,[107 174] ; [25 82],[ 95.59793814 185.40206186] ; [36.40206186 70.59793814],0
s3,1,0.006389,7.437213,[162 115] ; [47 62],[149.98186528 127.01813472] ; [59.01813472 49.98186528],0
p2,1,0.010135,6.611021,[235  45] ; [79 30],[226.01542416  53.98457584] ; [87.98457584 21.01542416],0
p8,1,0.017259,5.669864,[145 134] ; [42 67],[134.46649485 144.53350515] ; [52.53350515 56.46649485],0
p10,1,0.019566,5.450173,[215  63] ; [71 37],[205.97927461  72.02072539] ; [80.02072539 27.97927461],0
s8,1,0.020572,5.362727,[116 164] ; [31 77],[106.08247423 173.91752577] ; [40.91752577 67.08247423],0
p12,1,0.023186,5.154533,[ 18 261] ; [  1 108],[ 13.66237113 265.33762887] ; [  5.33762887 103.66237113],0
v1,1,0.028182,4.816928,[113 162] ; [31 76],[103.66492147 171.33507853] ; [40.33507853 66.66492147],0
a8,1,0.032123,4.591905,[ 35 223] ; [ 6 99],[ 29.14049587 228.85950413] ; [11.85950413 93.14049587],0
n1,1,0.040444,4.199176,[31 32] ; [14 33],[25.77272727 37.22727273] ; [19.22727273 27.77272727],0
p9,1,0.041945,4.137407,[225  52] ; [76 30],[217.69451697  59.30548303] ; [83.30548303 22.69451697],0
r3,1,0.054115,3.709155,[261  19] ; [95 14],[256.24678663  23.75321337] ; [99.75321337  9.24678663],0
s2,1,0.06141,3.498901,[138 141] ; [42 66],[129.76744186 149.23255814] ; [50.23255814 57.76744186],0
s4,1,0.079519,3.074697,[ 51 224] ; [29 80],[ 57.29166667 217.70833333] ; [22.70833333 86.29166667],0
a6,1,0.128922,2.30544,[180 100] ; [61 48],[173.47043702 106.52956298] ; [67.52956298 41.47043702],0
p7,1,0.137436,2.206435,[164 112] ; [53 51],[157.61052632 118.38947368] ; [59.38947368 44.61052632],0
d2,1,0.140089,2.176984,[128 151] ; [41 68],[121.52319588 157.47680412] ; [47.47680412 61.52319588],0
b2,1,0.185337,1.754304,[ 65 110] ; [16 42],[ 60.83690987 114.16309013] ; [20.16309013 37.83690987],0
b3,1,0.185337,1.754304,[ 65 110] ; [16 42],[ 60.83690987 114.16309013] ; [20.16309013 37.83690987],0
u3,1,0.255203,1.294594,[48 38] ; [36 19],[51.23404255 34.76595745] ; [32.76595745 22.23404255],0
a1,1,0.288825,1.125091,[  9 272] ; [  6 103],[ 10.80769231 270.19230769] ; [  4.19230769 104.80769231],0
p1,1,0.357886,0.845299,[ 26 253] ; [  7 102],[ 23.72938144 255.27061856] ; [ 9.27061856 99.72938144],0
d4,1,0.402141,0.701915,[216  63] ; [80 29],[212.84536082  66.15463918] ; [83.15463918 25.84536082],0
u2,1,0.40503,0.693342,[46 41] ; [33 22],[48.40140845 38.59859155] ; [30.59859155 24.40140845],0
d3,1,0.414891,0.664742,[180 100] ; [64 43],[176.5374677 103.4625323] ; [67.4625323 39.5374677],0
a7,1,0.443707,0.586677,[191  90] ; [69 39],[187.81491003  93.18508997] ; [72.18508997 35.81491003],0
b4,1,0.444378,0.584951,[159 122] ; [57 52],[155.63076923 125.36923077] ; [60.36923077 48.63076923],0
s1,1,0.475488,0.509193,[ 15 262] ; [  4 105],[ 13.63471503 263.36528497] ; [  5.36528497 103.63471503],0
n3,1,0.583031,0.30136,[42 19] ; [30 17],[40.66666667 20.33333333] ; [31.33333333 15.66666667],0
s5,1,0.585802,0.296949,[ 86 184] ; [31 76],[ 83.79310345 186.20689655] ; [33.20689655 73.79310345],0
n2,1,0.671468,0.17989,[48 17] ; [33 14],[47.00892857 17.99107143] ; [33.99107143 13.00892857],0
b5,1,0.780566,0.077607,[171 110] ; [68 41],[172.2025641 108.7974359] ; [66.7974359 42.2025641],0
b1,1,0.87778,0.023649,[121 160] ; [46 63],[120.32564103 160.67435897] ; [46.67435897 62.32564103],0
