Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.084978,2.967033,[7 1] ; [6 6],[5.2 2.8] ; [7.8 4.2],0
r3,1,0.110149,2.552083,[5 3] ; [11  1],[6.4 1.6] ; [9.6 2.4],0
p11,1,0.111017,2.539683,[4 4] ; [10  2],[5.6 2.4] ; [8.4 3.6],0
p10,1,0.111017,2.539683,[4 4] ; [10  2],[5.6 2.4] ; [8.4 3.6],0
a6,1,0.198982,1.649832,[3 5] ; [8 4],[4.4 3.6] ; [6.6 5.4],0
b1,1,0.198982,1.649832,[3 5] ; [8 4],[4.4 3.6] ; [6.6 5.4],0
p7,1,0.250829,1.318681,[4 4] ; [9 3],[5.2 2.8] ; [7.8 4.2],0
n5,1,0.263552,1.25,[6 2] ; [6 6],[4.8 3.2] ; [7.2 4.8],0
s4,1,0.291841,1.111111,[1 7] ; [4 8],[2. 6.] ; [3. 9.],0
p4,1,0.291841,1.111111,[5 3] ; [10  2],[6. 2.] ; [9. 3.],0
d2,1,0.291841,1.111111,[3 5] ; [ 2 10],[2. 6.] ; [3. 9.],0
u2,1,0.342782,0.9,[1 2] ; [4 2],[1.66666667 1.33333333] ; [3.33333333 2.66666667],0
a5,1,0.36131,0.833333,[5 3] ; [5 7],[4. 4.] ; [6. 6.],0
n6,1,0.36308,0.827211,[6 1] ; [8 4],[5.15789474 1.84210526] ; [8.84210526 3.15789474],0
d1,1,0.443939,0.586081,[2 6] ; [5 7],[2.8 5.2] ; [4.2 7.8],0
p6,1,0.443939,0.586081,[2 6] ; [5 7],[2.8 5.2] ; [4.2 7.8],0
n4,1,0.443939,0.586081,[6 2] ; [7 5],[5.2 2.8] ; [7.8 4.2],0
s8,1,0.443939,0.586081,[2 6] ; [5 7],[2.8 5.2] ; [4.2 7.8],0
d3,1,0.456057,0.555556,[4 4] ; [8 4],[4.8 3.2] ; [7.2 4.8],0
p9,1,0.456057,0.555556,[4 4] ; [8 4],[4.8 3.2] ; [7.2 4.8],0
b4,1,0.456057,0.555556,[4 4] ; [4 8],[3.2 4.8] ; [4.8 7.2],0
s5,1,0.493563,0.46875,[1 7] ; [3 9],[1.6 6.4] ; [2.4 9.6],0
r1,1,0.550097,0.357143,[3 5] ; [3 9],[2.4 5.6] ; [3.6 8.4],0
p2,1,0.550097,0.357143,[5 3] ; [9 3],[5.6 2.4] ; [8.4 3.6],0
p8,1,0.581989,0.30303,[3 5] ; [6 6],[3.6 4.4] ; [5.4 6.6],0
a3,1,0.581989,0.30303,[5 3] ; [6 6],[4.4 3.6] ; [6.6 5.4],0
v2,1,0.581989,0.30303,[3 5] ; [6 6],[3.6 4.4] ; [5.4 6.6],0
d5,1,0.581989,0.30303,[3 5] ; [6 6],[3.6 4.4] ; [5.4 6.6],0
b2,1,0.611541,0.257937,[2 5] ; [1 5],[1.61538462 5.38461538] ; [1.38461538 4.61538462],0
b3,1,0.611541,0.257937,[2 5] ; [1 5],[1.61538462 5.38461538] ; [1.38461538 4.61538462],0
s6,1,0.648077,0.208333,[6 2] ; [10  2],[6.4 1.6] ; [9.6 2.4],0
v3,1,0.690328,0.15873,[2 6] ; [4 8],[2.4 5.6] ; [3.6 8.4],0
v1,1,0.713628,0.13468,[4 4] ; [5 7],[3.6 4.4] ; [5.4 6.6],0
p12,1,0.760907,0.092593,[1 7] ; [ 1 11],[0.8 7.2] ; [ 1.2 10.8],0
a4,1,0.798217,0.065359,[1 7] ; [ 2 10],[1.2 6.8] ; [ 1.8 10.2],0
p5,1,0.798217,0.065359,[1 7] ; [ 2 10],[1.2 6.8] ; [ 1.8 10.2],0
a1,1,0.798217,0.065359,[1 7] ; [ 2 10],[1.2 6.8] ; [ 1.8 10.2],0
a8,1,0.811055,0.057152,[1 7] ; [ 1 10],[0.84210526 7.15789474] ; [1.15789474 9.84210526],0
s3,1,0.84822,0.03663,[5 3] ; [8 4],[5.2 2.8] ; [7.8 4.2],0
s7,1,0.959566,0.00257,[3 5] ; [4 7],[2.94736842 5.05263158] ; [4.05263158 6.94736842],0
p3,1,1.0,0.0,[4 4] ; [6 6],[4. 4.] ; [6. 6.],0
