Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.2e-05,18.004305,[ 2 32] ; [34 37],[11.65714286 22.34285714] ; [24.34285714 46.65714286],1
s5,1,3e-05,17.448666,[ 2 32] ; [33 37],[11.44230769 22.55769231] ; [23.55769231 46.44230769],1
s2,1,4.1e-05,16.841217,[ 7 27] ; [45 26],[16.83809524 17.16190476] ; [35.16190476 35.83809524],1
r1,1,4.3e-05,16.71785,[15 18] ; [59 11],[23.70873786  9.29126214] ; [50.29126214 19.70873786],1
s7,1,6e-05,16.09962,[ 4 27] ; [37 29],[13.10309278 17.89690722] ; [27.89690722 38.10309278],1
d5,1,0.004216,8.188213,[18 15] ; [57 13],[24.02912621  8.97087379] ; [50.97087379 19.02912621],0
a5,1,0.004558,8.046975,[17 17] ; [55 16],[23.31428571 10.68571429] ; [48.68571429 22.31428571],0
v1,1,0.005141,7.829309,[ 8 25] ; [38 33],[14.59615385 18.40384615] ; [31.40384615 39.59615385],0
v2,1,0.007844,7.068712,[ 9 23] ; [39 30],[15.20792079 16.79207921] ; [32.79207921 36.20792079],0
r3,1,0.008159,6.998291,[27  7] ; [67  3],[30.73076923  3.26923077] ; [63.26923077  6.73076923],0
p4,1,0.014761,5.944759,[12 21] ; [44 27],[17.76923077 15.23076923] ; [38.23076923 32.76923077],0
p10,1,0.016675,5.730308,[15 19] ; [48 22],[20.59615385 13.40384615] ; [42.40384615 27.59615385],0
r2,1,0.018468,5.551246,[27  6] ; [68  3],[30.14423077  2.85576923] ; [64.85576923  6.14423077],0
r4,1,0.020979,5.328543,[24 10] ; [63  8],[28.17142857  5.82857143] ; [58.82857143 12.17142857],0
s3,1,0.031664,4.616573,[14 19] ; [46 25],[19.03846154 13.96153846] ; [40.96153846 30.03846154],0
v4,1,0.043353,4.081576,[27  6] ; [67  4],[29.82692308  3.17307692] ; [64.17307692  6.82692308],0
u1,1,0.047222,3.937459,[ 2 32] ; [15 56],[ 5.5047619 28.4952381] ; [11.4952381 59.5047619],0
v3,1,0.04783,3.915947,[ 6 28] ; [25 43],[10.33333333 23.66666667] ; [20.66666667 47.33333333],0
p9,1,0.058552,3.577934,[18 15] ; [52 19],[22.21153846 10.78846154] ; [47.78846154 23.21153846],0
p3,1,0.061231,3.503724,[13 21] ; [41 30],[17.48571429 16.51428571] ; [36.51428571 34.48571429],0
u3,1,0.062197,3.47782,[6 9] ; [13  5],[8.63636364 6.36363636] ; [10.36363636  7.63636364],0
d4,1,0.074439,3.182327,[21 12] ; [56 14],[24.66990291  8.33009709] ; [52.33009709 17.66990291],0
b4,1,0.082551,3.013948,[13 21] ; [40 31],[17.16190476 16.83809524] ; [35.83809524 35.16190476],0
s4,1,0.109411,2.562707,[ 4 30] ; [18 53],[ 7.12380952 26.87619048] ; [14.87619048 56.12380952],0
a4,1,0.132289,2.265431,[11 23] ; [34 37],[14.57142857 19.42857143] ; [30.42857143 40.57142857],0
n4,1,0.170834,1.875608,[19 15] ; [48 21],[22.11650485 11.88349515] ; [44.88349515 24.11650485],0
a3,1,0.20995,1.571773,[19 13] ; [51 20],[21.74757282 10.25242718] ; [48.25242718 22.74757282],0
n5,1,0.223633,1.480906,[19 15] ; [47 22],[21.78640777 12.21359223] ; [44.21359223 24.78640777],0
d3,1,0.224744,1.473823,[17 15] ; [46 24],[19.76470588 12.23529412] ; [43.23529412 26.76470588],0
b5,1,0.284556,1.145203,[26  8] ; [47 24],[23.63809524 10.36190476] ; [49.36190476 21.63809524],0
n6,1,0.31998,0.989028,[23 11] ; [53 16],[25.08737864  8.91262136] ; [50.91262136 18.08737864],0
p6,1,0.33252,0.93906,[12 21] ; [33 38],[14.27884615 18.72115385] ; [30.72115385 40.27884615],0
b3,1,0.340107,0.910027,[ 3 15] ; [10 25],[ 4.41509434 13.58490566] ; [ 8.58490566 26.41509434],0
b2,1,0.340107,0.910027,[ 3 15] ; [10 25],[ 4.41509434 13.58490566] ; [ 8.58490566 26.41509434],0
d1,1,0.360339,0.83671,[14 20] ; [36 35],[16.19047619 17.80952381] ; [33.80952381 37.19047619],0
b1,1,0.372484,0.79536,[16 18] ; [40 31],[18.13333333 15.86666667] ; [37.86666667 33.13333333],0
a2,1,0.37896,0.774073,[ 6 28] ; [18 53],[ 7.77142857 26.22857143] ; [16.22857143 54.77142857],0
a8,1,0.408005,0.684608,[ 3 26] ; [11 54],[ 4.31914894 24.68085106] ; [ 9.68085106 55.31914894],0
n3,1,0.522007,0.409927,[9 1] ; [17  4],[8.38709677 1.61290323] ; [17.61290323  3.38709677],0
a6,1,0.536728,0.381639,[23 11] ; [43 27],[21.57692308 12.42307692] ; [44.42307692 25.57692308],0
p2,1,0.541734,0.372336,[25  9] ; [56 15],[26.22857143  7.77142857] ; [54.77142857 16.22857143],0
a1,1,0.544346,0.367543,[ 1 33] ; [ 4 67],[ 1.61904762 32.38095238] ; [ 3.38095238 67.61904762],0
u2,1,0.61093,0.258824,[8 7] ; [ 8 10],[7.27272727 7.72727273] ; [8.72727273 9.27272727],0
d2,1,0.675889,0.17479,[16 18] ; [36 34],[17. 17.] ; [35. 35.],0
p8,1,0.773083,0.083142,[13 19] ; [31 40],[13.66990291 18.33009709] ; [30.33009709 40.66990291],0
a7,1,0.810803,0.057308,[22 11] ; [49 22],[22.52884615 10.47115385] ; [48.47115385 22.52884615],0
n2,1,0.812547,0.056236,[8 2] ; [16  5],[7.74193548 2.25806452] ; [16.25806452  4.74193548],0
n1,1,0.935919,0.006464,[4 5] ; [ 9 12],[3.9 5.1] ; [ 9.1 11.9],0
s1,1,0.972492,0.001189,[ 2 32] ; [ 4 66],[ 1.96153846 32.03846154] ; [ 4.03846154 65.96153846],0
