Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.411861,[56 35] ; [ 2 25],[44.72881356 46.27118644] ; [13.27118644 13.72881356],1
v4,1,5.2e-05,16.371975,[77 13] ; [13 14],[69.23076923 20.76923077] ; [20.76923077  6.23076923],1
p10,1,0.00035,12.779355,[62 27] ; [ 8 18],[54.17391304 34.82608696] ; [15.82608696 10.17391304],1
s2,1,0.000421,12.437753,[36 55] ; [ 1 26],[28.53389831 62.46610169] ; [ 8.46610169 18.53389831],1
b1,1,0.005024,7.870747,[27 64] ; [16 11],[33.16101695 57.83898305] ; [ 9.83898305 17.16101695],0
s3,1,0.006097,7.521429,[41 50] ; [ 4 22],[35. 56.] ; [10. 16.],0
u3,1,0.00651,7.403337,[17 23] ; [ 1 16],[12.63157895 27.36842105] ; [ 5.36842105 11.63157895],0
p9,1,0.006792,7.327082,[67 21] ; [12 13],[61.52212389 26.47787611] ; [17.47787611  7.52212389],0
v3,1,0.006801,7.324903,[30 58] ; [ 2 25],[24.48695652 63.51304348] ; [ 7.51304348 19.48695652],0
p3,1,0.017013,5.694988,[23 68] ; [ 1 25],[18.66666667 72.33333333] ; [ 5.33333333 20.66666667],0
r3,1,0.018964,5.504842,[73 18] ; [15 11],[68.44444444 22.55555556] ; [19.55555556  6.44444444],0
d5,1,0.028145,4.819147,[61 29] ; [12 15],[56.15384615 33.84615385] ; [16.84615385 10.15384615],0
s8,1,0.029245,4.753117,[20 71] ; [ 1 26],[16.19491525 74.80508475] ; [ 4.80508475 22.19491525],0
n6,1,0.032222,4.586672,[67 24] ; [14 13],[62.46610169 28.53389831] ; [18.53389831  8.46610169],0
a8,1,0.038446,4.285188,[ 2 85] ; [ 3 22],[ 3.88392857 83.11607143] ; [ 1.11607143 23.88392857],0
s6,1,0.043658,4.069753,[39 50] ; [ 6 21],[34.52586207 54.47413793] ; [10.47413793 16.52586207],0
s7,1,0.0465,3.963389,[25 65] ; [ 2 22],[21.31578947 68.68421053] ; [ 5.68421053 18.31578947],0
p2,1,0.04782,3.916299,[56 34] ; [11 16],[51.53846154 38.46153846] ; [15.46153846 11.53846154],0
a7,1,0.061187,3.504902,[55 35] ; [11 16],[50.76923077 39.23076923] ; [15.23076923 11.76923077],0
a3,1,0.073324,3.206996,[51 39] ; [10 17],[46.92307692 43.07692308] ; [14.07692308 12.92307692],0
a6,1,0.082632,3.012353,[51 40] ; [10 17],[47.04237288 43.95762712] ; [13.95762712 13.04237288],0
s5,1,0.087002,2.92899,[19 67] ; [ 2 25],[15.98230088 70.01769912] ; [ 5.01769912 21.98230088],0
a4,1,0.095694,2.775882,[28 62] ; [ 4 23],[24.61538462 65.38461538] ; [ 7.38461538 19.61538462],0
d1,1,0.101576,2.680629,[32 59] ; [ 5 22],[28.53389831 62.46610169] ; [ 8.46610169 18.53389831],0
d3,1,0.141161,2.165258,[44 45] ; [ 9 18],[40.6637931 48.3362069] ; [12.3362069 14.6637931],0
v1,1,0.150454,2.067644,[29 59] ; [ 5 22],[26.0173913 61.9826087] ; [ 7.9826087 19.0173913],0
n2,1,0.152661,2.045455,[24  9] ; [6 6],[22. 11.] ; [8. 4.],0
p6,1,0.155618,2.016298,[18 71] ; [ 2 23],[15.61403509 73.38596491] ; [ 4.38596491 20.61403509],0
p7,1,0.160924,1.965517,[32 55] ; [ 6 21],[29. 58.] ; [ 9. 18.],0
u2,1,0.167146,1.908357,[13 26] ; [9 8],[15.32142857 23.67857143] ; [ 6.67857143 10.32142857],0
b4,1,0.183256,1.771018,[51 40] ; [19  8],[53.98305085 37.01694915] ; [16.01694915 10.98305085],0
d4,1,0.22257,1.487726,[59 32] ; [14 13],[56.29661017 34.70338983] ; [16.70338983 10.29661017],0
p8,1,0.228772,1.448477,[27 62] ; [ 5 22],[24.55172414 64.44827586] ; [ 7.44827586 19.55172414],0
p11,1,0.314741,1.010677,[57 34] ; [14 13],[54.75423729 36.24576271] ; [16.24576271 10.75423729],0
n1,1,0.33337,0.935764,[10 22] ; [ 2 10],[ 8.72727273 23.27272727] ; [3.27272727 8.72727273],0
n5,1,0.348707,0.878157,[55 36] ; [19  8],[57.06779661 33.93220339] ; [16.93220339 10.06779661],0
a1,1,0.381787,0.764941,[ 8 83] ; [ 1 26],[ 6.94067797 84.05932203] ; [ 2.05932203 24.94067797],0
a5,1,0.402065,0.702143,[42 49] ; [10 17],[40.10169492 50.89830508] ; [11.89830508 15.10169492],0
b5,1,0.507595,0.439021,[57 34] ; [15 12],[55.52542373 35.47457627] ; [16.47457627 10.52542373],0
s4,1,0.538858,0.37766,[22 69] ; [ 5 22],[20.8220339 70.1779661] ; [ 6.1779661 20.8220339],0
n4,1,0.556134,0.346443,[53 38] ; [14 13],[51.66949153 39.33050847] ; [15.33050847 11.66949153],0
d2,1,0.57404,0.315969,[35 54] ; [ 9 18],[33.75862069 55.24137931] ; [10.24137931 16.75862069],0
a2,1,0.588696,0.292385,[10 81] ; [ 2 25],[ 9.25423729 81.74576271] ; [ 2.74576271 24.25423729],0
s1,1,0.669271,0.182456,[ 2 88] ; [ 1 26],[ 2.30769231 87.69230769] ; [ 0.69230769 26.30769231],0
p5,1,0.669271,0.182456,[ 2 88] ; [ 1 26],[ 2.30769231 87.69230769] ; [ 0.69230769 26.30769231],0
p12,1,0.669271,0.182456,[ 2 88] ; [ 1 26],[ 2.30769231 87.69230769] ; [ 0.69230769 26.30769231],0
u1,1,0.709916,0.138361,[ 5 86] ; [ 1 26],[ 4.62711864 86.37288136] ; [ 1.37288136 25.62711864],0
b2,1,0.710543,0.137736,[18 29] ; [ 6 12],[17.35384615 29.64615385] ; [ 6.64615385 11.35384615],0
b3,1,0.710543,0.137736,[18 29] ; [ 6 12],[17.35384615 29.64615385] ; [ 6.64615385 11.35384615],0
p1,1,0.761946,0.091765,[12 78] ; [ 3 24],[11.53846154 78.46153846] ; [ 3.46153846 23.53846154],0
n3,1,0.89054,0.018939,[20 13] ; [7 5],[19.8 13.2] ; [7.2 4.8],0
v2,1,0.919474,0.010221,[28 60] ; [ 8 18],[27.78947368 60.21052632] ; [ 8.21052632 17.78947368],0
