Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000186,13.964263,[22  7] ; [ 7 20],[15.01785714 13.98214286] ; [13.98214286 13.01785714],1
r3,1,0.005665,7.653749,[12 17] ; [21  6],[17.08928571 11.91071429] ; [15.91071429 11.08928571],0
u3,1,0.016689,5.728739,[ 2 14] ; [7 6],[ 4.96551724 11.03448276] ; [4.03448276 8.96551724],0
u2,1,0.024798,5.037927,[ 3 12] ; [8 5],[5.89285714 9.10714286] ; [5.10714286 7.89285714],0
d3,1,0.061203,3.50447,[11 18] ; [17 10],[14.5 14.5] ; [13.5 13.5],0
r4,1,0.102968,2.658961,[ 6 23] ; [11 16],[ 8.80357143 20.19642857] ; [ 8.19642857 18.80357143],0
p4,1,0.112249,2.522265,[ 8 21] ; [13 14],[10.875 18.125] ; [10.125 16.875],0
v4,1,0.140197,2.175791,[16 13] ; [20  7],[18.64285714 10.35714286] ; [17.35714286  9.64285714],0
d4,1,0.153399,2.038123,[15 14] ; [19  8],[17.60714286 11.39285714] ; [16.39285714 10.60714286],0
d5,1,0.153399,2.038123,[15 14] ; [19  8],[17.60714286 11.39285714] ; [16.39285714 10.60714286],0
s2,1,0.164645,1.931034,[ 5 24] ; [ 9 18],[ 7.25 21.75] ; [ 6.75 20.25],0
a1,1,0.185825,1.750412,[ 4 25] ; [ 1 26],[ 2.58928571 26.41071429] ; [ 2.41071429 24.58928571],0
p7,1,0.186357,1.746183,[11 18] ; [15 12],[13.46428571 15.53571429] ; [12.53571429 14.46428571],0
p8,1,0.202621,1.62338,[ 6 22] ; [10 17],[ 8.14545455 19.85454545] ; [ 7.85454545 19.14545455],0
n1,1,0.2253,1.470289,[5 8] ; [ 2 10],[3.64 9.36] ; [3.36 8.64],0
p3,1,0.246972,1.340351,[ 6 23] ; [ 9 17],[ 7.90909091 21.09090909] ; [ 7.09090909 18.90909091],0
r2,1,0.251679,1.313957,[21  8] ; [15 11],[18.98181818 10.01818182] ; [17.01818182  8.98181818],0
b1,1,0.280157,1.16633,[13 16] ; [16 11],[15.01785714 13.98214286] ; [13.98214286 13.01785714],0
p1,1,0.334926,0.929757,[ 3 26] ; [ 1 26],[ 2.07142857 26.92857143] ; [ 1.92857143 25.07142857],0
b4,1,0.422382,0.643678,[16 13] ; [12 15],[14.5 14.5] ; [13.5 13.5],0
p6,1,0.423316,0.641091,[ 5 23] ; [ 7 19],[ 6.22222222 21.77777778] ; [ 5.77777778 20.22222222],0
p2,1,0.440109,0.595998,[11 18] ; [13 14],[12.42857143 16.57142857] ; [11.57142857 15.42857143],0
s5,1,0.443598,0.586957,[ 3 24] ; [ 5 22],[ 4. 23.] ; [ 4. 23.],0
p11,1,0.445639,0.58172,[10 19] ; [12 15],[11.39285714 17.60714286] ; [10.60714286 16.39285714],0
d1,1,0.448774,0.573748,[ 9 20] ; [11 16],[10.35714286 18.64285714] ; [ 9.64285714 17.35714286],0
d2,1,0.498485,0.45816,[15 13] ; [12 15],[13.74545455 14.25454545] ; [13.25454545 13.74545455],0
n2,1,0.54659,0.363462,[7 8] ; [7 5],[7.77777778 7.22222222] ; [6.22222222 5.77777778],0
a2,1,0.580497,0.305432,[ 2 27] ; [ 3 24],[ 2.58928571 26.41071429] ; [ 2.41071429 24.58928571],0
s7,1,0.581995,0.303021,[ 5 23] ; [ 6 19],[ 5.81132075 22.18867925] ; [ 5.18867925 19.81132075],0
u1,1,0.595961,0.281131,[ 2 27] ; [ 1 26],[ 1.55357143 27.44642857] ; [ 1.44642857 25.55357143],0
a3,1,0.599133,0.276306,[13 16] ; [14 13],[13.98214286 15.01785714] ; [13.01785714 13.98214286],0
a7,1,0.599133,0.276306,[13 16] ; [14 13],[13.98214286 15.01785714] ; [13.01785714 13.98214286],0
s1,1,0.608815,0.261905,[ 2 26] ; [ 3 24],[ 2.54545455 25.45454545] ; [ 2.45454545 24.54545455],0
a4,1,0.611812,0.257544,[ 9 19] ; [ 7 20],[ 8.14545455 19.85454545] ; [ 7.85454545 19.14545455],0
p10,1,0.630438,0.231467,[ 4 25] ; [ 5 22],[ 4.66071429 24.33928571] ; [ 4.33928571 22.66071429],0
s6,1,0.635457,0.224733,[ 9 20] ; [10 17],[ 9.83928571 19.16071429] ; [ 9.16071429 17.83928571],0
v2,1,0.635457,0.224733,[ 9 20] ; [10 17],[ 9.83928571 19.16071429] ; [ 9.16071429 17.83928571],0
v3,1,0.639222,0.219761,[ 5 24] ; [ 6 21],[ 5.69642857 23.30357143] ; [ 5.30357143 21.69642857],0
v1,1,0.642821,0.215071,[ 6 23] ; [ 7 20],[ 6.73214286 22.26785714] ; [ 6.26785714 20.73214286],0
a6,1,0.757471,0.09536,[16 13] ; [16 11],[16.57142857 12.42857143] ; [15.42857143 11.57142857],0
s3,1,0.769497,0.085868,[10 19] ; [ 8 18],[ 9.49090909 19.50909091] ; [ 8.50909091 17.49090909],0
b5,1,0.789137,0.07152,[15 14] ; [13 14],[14.5 14.5] ; [13.5 13.5],0
b2,1,0.80276,0.062389,[ 6 12] ; [ 5 12],[ 5.65714286 12.34285714] ; [ 5.34285714 11.65714286],0
b3,1,0.80276,0.062389,[ 6 12] ; [ 5 12],[ 5.65714286 12.34285714] ; [ 5.34285714 11.65714286],0
n3,1,0.86324,0.02967,[8 7] ; [6 6],[7.77777778 7.22222222] ; [6.22222222 5.77777778],0
s4,1,0.865272,0.028787,[ 7 22] ; [ 6 21],[ 6.73214286 22.26785714] ; [ 6.26785714 20.73214286],0
n6,1,0.87361,0.025305,[16 12] ; [16 11],[16.29090909 11.70909091] ; [15.70909091 11.29090909],0
s8,1,0.913061,0.01192,[ 4 25] ; [ 4 23],[ 4.14285714 24.85714286] ; [ 3.85714286 23.14285714],0
a5,1,0.961289,0.002356,[12 17] ; [11 16],[11.91071429 17.08928571] ; [11.08928571 15.91071429],0
