Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.9e-05,18.243555,[10  1] ; [ 6 26],[4.09302326 6.90697674] ; [11.90697674 20.09302326],1
p7,1,0.009052,6.812442,[8 3] ; [ 9 23],[4.34883721 6.65116279] ; [12.65116279 19.34883721],0
d5,1,0.011191,6.43477,[9 2] ; [12 20],[5.37209302 5.62790698] ; [15.62790698 16.37209302],0
p6,1,0.014864,5.932551,[4 7] ; [ 2 29],[1.57142857 9.42857143] ; [ 4.42857143 26.57142857],0
b4,1,0.016149,5.78654,[3 8] ; [22 10],[6.39534884 4.60465116] ; [18.60465116 13.39534884],0
r4,1,0.036471,4.374944,[4 7] ; [ 3 29],[1.79069767 9.20930233] ; [ 5.20930233 26.79069767],0
p8,1,0.048819,3.881562,[6 5] ; [ 7 24],[3.4047619 7.5952381] ; [ 9.5952381 21.4047619],0
v2,1,0.05719,3.617058,[5 5] ; [ 6 25],[2.68292683 7.31707317] ; [ 8.31707317 22.68292683],0
s4,1,0.060605,3.520754,[3 8] ; [ 2 30],[1.27906977 9.72093023] ; [ 3.72093023 28.27906977],0
v3,1,0.060605,3.520754,[3 8] ; [ 2 30],[1.27906977 9.72093023] ; [ 3.72093023 28.27906977],0
n4,1,0.06614,3.376297,[8 3] ; [13 19],[5.37209302 5.62790698] ; [15.62790698 16.37209302],0
a4,1,0.071233,3.254366,[6 5] ; [ 8 24],[3.58139535 7.41860465] ; [10.41860465 21.58139535],0
v1,1,0.079923,3.066471,[5 6] ; [ 6 26],[2.81395349 8.18604651] ; [ 8.18604651 23.81395349],0
s5,1,0.090833,2.859541,[2 9] ; [ 1 31],[ 0.76744186 10.23255814] ; [ 2.23255814 29.76744186],0
v4,1,0.097196,2.750959,[8 3] ; [14 18],[5.62790698 5.37209302] ; [16.37209302 15.62790698],0
d1,1,0.144686,2.127405,[4 7] ; [ 5 27],[2.30232558 8.69767442] ; [ 6.69767442 25.30232558],0
s7,1,0.166264,1.916308,[3 7] ; [ 3 24],[1.62162162 8.37837838] ; [ 4.37837838 22.62162162],0
n6,1,0.224087,1.478006,[8 3] ; [16 15],[6.28571429 4.71428571] ; [17.71428571 13.28571429],0
p9,1,0.230204,1.439601,[8 3] ; [15 14],[6.325 4.675] ; [16.675 12.325],0
u2,1,0.239559,1.383185,[1 5] ; [7 9],[2.18181818 3.81818182] ; [ 5.81818182 10.18181818],0
s2,1,0.254854,1.296496,[2 9] ; [ 2 29],[1.04761905 9.95238095] ; [ 2.95238095 28.04761905],0
p11,1,0.255014,1.295627,[7 4] ; [14 18],[5.37209302 5.62790698] ; [15.62790698 16.37209302],0
p2,1,0.255598,1.292443,[8 3] ; [17 15],[6.39534884 4.60465116] ; [18.60465116 13.39534884],0
d2,1,0.34207,0.902659,[4 7] ; [ 7 25],[2.81395349 8.18604651] ; [ 8.18604651 23.81395349],0
p12,1,0.417629,0.656978,[ 1 10] ; [ 1 31],[ 0.51162791 10.48837209] ; [ 1.48837209 30.51162791],0
u1,1,0.417629,0.656978,[ 1 10] ; [ 1 31],[ 0.51162791 10.48837209] ; [ 1.48837209 30.51162791],0
n5,1,0.429324,0.624651,[8 3] ; [19 13],[6.90697674 4.09302326] ; [20.09302326 11.90697674],0
u3,1,0.449102,0.572917,[1 5] ; [ 1 15],[0.54545455 5.45454545] ; [ 1.45454545 14.54545455],0
a8,1,0.503368,0.447828,[2 9] ; [ 3 26],[1.375 9.625] ; [ 3.625 25.375],0
a6,1,0.511939,0.430102,[5 6] ; [11 21],[4.09302326 6.90697674] ; [11.90697674 20.09302326],0
p10,1,0.523543,0.406909,[6 5] ; [13 17],[5.09756098 5.90243902] ; [13.90243902 16.09756098],0
a7,1,0.53575,0.383473,[6 5] ; [14 18],[5.11627907 5.88372093] ; [14.88372093 17.11627907],0
b2,1,0.656005,0.198413,[3 4] ; [ 6 12],[2.52 4.48] ; [ 6.48 11.52],0
b3,1,0.656005,0.198413,[3 4] ; [ 6 12],[2.52 4.48] ; [ 6.48 11.52],0
d4,1,0.668374,0.18351,[7 4] ; [18 14],[6.39534884 4.60465116] ; [18.60465116 13.39534884],0
s3,1,0.697146,0.151457,[2 9] ; [ 4 26],[1.6097561 9.3902439] ; [ 4.3902439 25.6097561],0
a3,1,0.725625,0.123167,[5 6] ; [16 15],[5.5 5.5] ; [15.5 15.5],0
r3,1,0.746355,0.10462,[7 4] ; [18 13],[6.54761905 4.45238095] ; [18.45238095 12.54761905],0
s1,1,0.749681,0.101799,[ 1 10] ; [ 2 30],[ 0.76744186 10.23255814] ; [ 2.23255814 29.76744186],0
p1,1,0.749681,0.101799,[ 1 10] ; [ 2 30],[ 0.76744186 10.23255814] ; [ 2.23255814 29.76744186],0
s8,1,0.760918,0.092584,[ 1 10] ; [ 4 28],[1.27906977 9.72093023] ; [ 3.72093023 28.27906977],0
b5,1,0.79473,0.06769,[5 6] ; [16 16],[5.37209302 5.62790698] ; [15.62790698 16.37209302],0
n1,1,0.843669,0.038889,[1 2] ; [ 5 13],[0.85714286 2.14285714] ; [ 5.14285714 12.85714286],0
n3,1,0.854445,0.033654,[2 1] ; [11  7],[1.85714286 1.14285714] ; [11.14285714  6.85714286],0
r1,1,0.904973,0.014252,[4 7] ; [11 21],[3.8372093 7.1627907] ; [11.1627907 20.8372093],0
d3,1,0.904973,0.014252,[4 7] ; [11 21],[3.8372093 7.1627907] ; [11.1627907 20.8372093],0
a5,1,0.92177,0.009644,[5 6] ; [14 18],[4.86046512 6.13953488] ; [14.13953488 17.86046512],0
b1,1,0.946372,0.004524,[7 4] ; [20 12],[6.90697674 4.09302326] ; [20.09302326 11.90697674],0
a2,1,0.977675,0.000783,[ 1 10] ; [ 3 29],[1.02325581 9.97674419] ; [ 2.97674419 29.02325581],0
