Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.012782,6.19899,[2 4] ; [10  1],[4.23529412 1.76470588] ; [7.76470588 3.23529412],0
n4,1,0.033895,4.5,[2 4] ; [10  2],[4. 2.] ; [8. 4.],0
p10,1,0.045021,4.017857,[3 3] ; [11  1],[4.66666667 1.33333333] ; [9.33333333 2.66666667],0
p9,1,0.045021,4.017857,[3 3] ; [11  1],[4.66666667 1.33333333] ; [9.33333333 2.66666667],0
a3,1,0.087375,2.922078,[2 4] ; [9 3],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
s2,1,0.17146,1.87013,[1 5] ; [6 6],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
s3,1,0.17146,1.87013,[1 5] ; [6 6],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
a7,1,0.179712,1.8,[4 2] ; [4 8],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
s5,1,0.288844,1.125,[3 3] ; [3 9],[2. 4.] ; [4. 8.],0
v2,1,0.288844,1.125,[1 5] ; [5 7],[2. 4.] ; [4. 8.],0
s6,1,0.288844,1.125,[5 1] ; [7 5],[4. 2.] ; [8. 4.],0
d5,1,0.288844,1.125,[5 1] ; [7 5],[4. 2.] ; [8. 4.],0
b1,1,0.288844,1.125,[5 1] ; [7 5],[4. 2.] ; [8. 4.],0
a6,1,0.317311,1.0,[4 2] ; [5 7],[3. 3.] ; [6. 6.],0
v1,1,0.317311,1.0,[4 2] ; [5 7],[3. 3.] ; [6. 6.],0
d2,1,0.422678,0.642857,[2 4] ; [ 2 10],[1.33333333 4.66666667] ; [2.66666667 9.33333333],0
r4,1,0.422678,0.642857,[2 4] ; [ 2 10],[1.33333333 4.66666667] ; [2.66666667 9.33333333],0
p6,1,0.45675,0.553846,[1 5] ; [4 8],[1.66666667 4.33333333] ; [3.33333333 8.66666667],0
s4,1,0.45675,0.553846,[1 5] ; [4 8],[1.66666667 4.33333333] ; [3.33333333 8.66666667],0
n2,1,0.490153,0.47619,[1 2] ; [4 3],[1.5 1.5] ; [3.5 3.5],0
p4,1,0.494125,0.467532,[3 3] ; [8 4],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
a5,1,0.494125,0.467532,[3 3] ; [8 4],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
r1,1,0.494125,0.467532,[3 3] ; [8 4],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
v3,1,0.502335,0.45,[2 4] ; [6 6],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
p3,1,0.502335,0.45,[2 4] ; [6 6],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
b2,1,0.504985,0.444444,[1 2] ; [5 4],[1.5 1.5] ; [4.5 4.5],0
b3,1,0.504985,0.444444,[1 2] ; [5 4],[1.5 1.5] ; [4.5 4.5],0
a4,1,0.595883,0.28125,[1 5] ; [ 1 11],[0.66666667 5.33333333] ; [ 1.33333333 10.66666667],0
a2,1,0.595883,0.28125,[1 5] ; [ 1 11],[0.66666667 5.33333333] ; [ 1.33333333 10.66666667],0
r3,1,0.709815,0.138462,[4 2] ; [9 3],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
p11,1,0.709815,0.138462,[4 2] ; [9 3],[4.33333333 1.66666667] ; [8.66666667 3.33333333],0
s8,1,0.737316,0.1125,[3 3] ; [7 5],[3.33333333 2.66666667] ; [6.66666667 5.33333333],0
d3,1,0.737316,0.1125,[3 3] ; [5 7],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
p7,1,0.737316,0.1125,[3 3] ; [7 5],[3.33333333 2.66666667] ; [6.66666667 5.33333333],0
b5,1,0.737316,0.1125,[3 3] ; [5 7],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
b4,1,0.737316,0.1125,[3 3] ; [5 7],[2.66666667 3.33333333] ; [5.33333333 6.66666667],0
u2,1,0.80915,0.058333,[3 1] ; [2 1],[2.85714286 1.14285714] ; [2.14285714 0.85714286],0
n3,1,0.880303,0.022676,[1 2] ; [2 5],[0.9 2.1] ; [2.1 4.9],0
n1,1,0.880303,0.022676,[1 2] ; [2 5],[0.9 2.1] ; [2.1 4.9],0
v4,1,1.0,0.0,[4 2] ; [8 4],[4. 2.] ; [8. 4.],0
p2,1,1.0,0.0,[5 1] ; [10  2],[5. 1.] ; [10.  2.],0
d4,1,1.0,0.0,[5 1] ; [10  2],[5. 1.] ; [10.  2.],0
p5,1,1.0,0.0,[1 5] ; [ 2 10],[1. 5.] ; [ 2. 10.],0
d1,1,1.0,0.0,[1 5] ; [ 2 10],[1. 5.] ; [ 2. 10.],0
p8,1,1.0,0.0,[3 3] ; [6 6],[3. 3.] ; [6. 6.],0
