Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.142289,[1 5] ; [87 12],[5.02857143 0.97142857] ; [82.97142857 16.02857143],1
r2,1,0.007001,7.272727,[4 2] ; [94  5],[5.6 0.4] ; [92.4  6.6],0
d5,1,0.01914,5.488693,[2 4] ; [75 23],[4.44230769 1.55769231] ; [72.55769231 25.44230769],0
r3,1,0.037727,4.317281,[5 1] ; [96  2],[5.82692308 0.17307692] ; [95.17307692  2.82692308],0
s1,1,0.037727,4.317281,[1 5] ; [ 2 96],[0.17307692 5.82692308] ; [ 2.82692308 95.17307692],0
p9,1,0.045887,3.985733,[3 3] ; [78 16],[4.86 1.14] ; [76.14 17.86],0
r1,1,0.058214,3.58754,[2 4] ; [69 29],[4.09615385 1.90384615] ; [66.90384615 31.09615385],0
s8,1,0.079338,3.078415,[1 5] ; [53 46],[3.08571429 2.91428571] ; [50.91428571 48.08571429],0
p8,1,0.097509,2.745827,[4 1] ; [41 56],[2.20588235 2.79411765] ; [42.79411765 54.20588235],0
p10,1,0.101043,2.689007,[3 3] ; [75 20],[4.63366337 1.36633663] ; [73.36633663 21.63366337],0
v1,1,0.118606,2.435637,[1 5] ; [47 48],[2.85148515 3.14851485] ; [45.14851485 49.85148515],0
s7,1,0.125153,2.351613,[1 5] ; [45 47],[2.81632653 3.18367347] ; [43.18367347 48.81632653],0
n6,1,0.133916,2.246517,[2 4] ; [62 35],[3.72815534 2.27184466] ; [60.27184466 36.72815534],0
s5,1,0.137027,2.21103,[1 5] ; [45 49],[2.76 3.24] ; [43.24 50.76],0
p3,1,0.143489,2.140136,[4 2] ; [36 62],[2.30769231 3.69230769] ; [37.69230769 60.30769231],0
a7,1,0.189244,1.723492,[3 3] ; [73 25],[4.38461538 1.61538462] ; [71.61538462 26.38461538],0
p2,1,0.189244,1.723492,[3 3] ; [73 25],[4.38461538 1.61538462] ; [71.61538462 26.38461538],0
s6,1,0.246384,1.343691,[4 2] ; [83 15],[5.01923077 0.98076923] ; [81.98076923 16.01923077],0
a8,1,0.261279,1.261967,[1 5] ; [ 5 88],[0.36363636 5.63636364] ; [ 5.63636364 87.36363636],0
s4,1,0.28506,1.142809,[1 5] ; [38 61],[2.22857143 3.77142857] ; [36.77142857 62.22857143],0
b1,1,0.305415,1.0504,[1 5] ; [37 62],[2.17142857 3.82857143] ; [35.82857143 63.17142857],0
d3,1,0.321938,0.981055,[3 3] ; [68 30],[4.09615385 1.90384615] ; [66.90384615 31.09615385],0
v2,1,0.342362,0.901565,[2 4] ; [48 42],[3.125 2.875] ; [46.875 43.125],0
d1,1,0.361073,0.834159,[2 4] ; [52 47],[3.08571429 2.91428571] ; [50.91428571 48.08571429],0
b5,1,0.4685,0.525512,[3 3] ; [64 35],[3.82857143 2.17142857] ; [63.17142857 35.82857143],0
p11,1,0.536306,0.38243,[3 3] ; [62 37],[3.71428571 2.28571429] ; [61.28571429 37.71428571],0
a5,1,0.606603,0.265152,[3 3] ; [60 39],[3.6 2.4] ; [59.4 39.6],0
b3,1,0.60998,0.260204,[1 1] ; [16 33],[0.66666667 1.33333333] ; [16.33333333 32.66666667],0
b2,1,0.60998,0.260204,[1 1] ; [16 33],[0.66666667 1.33333333] ; [16.33333333 32.66666667],0
p7,1,0.636654,0.223145,[3 3] ; [55 37],[3.55102041 2.44897959] ; [54.44897959 37.55102041],0
v3,1,0.63831,0.220959,[2 4] ; [23 70],[1.51515152 4.48484848] ; [23.48484848 69.51515152],0
a3,1,0.64255,0.215423,[3 3] ; [59 40],[3.54285714 2.45714286] ; [58.45714286 40.54285714],0
b4,1,0.64255,0.215423,[3 3] ; [59 40],[3.54285714 2.45714286] ; [58.45714286 40.54285714],0
u1,1,0.742726,0.107746,[1 5] ; [12 87],[0.74285714 5.25714286] ; [12.25714286 86.74285714],0
d2,1,0.804627,0.061189,[2 4] ; [38 61],[2.28571429 3.71428571] ; [37.71428571 61.28571429],0
d4,1,0.878432,0.023396,[5 1] ; [80 19],[4.85714286 1.14285714] ; [80.14285714 18.85714286],0
a6,1,0.917563,0.010713,[4 2] ; [68 31],[4.11428571 1.88571429] ; [67.88571429 31.11428571],0
s3,1,0.92542,0.008763,[5 1] ; [81 18],[4.91428571 1.08571429] ; [81.08571429 17.91428571],0
n5,1,0.945785,0.004624,[2 4] ; [34 64],[2.07692308 3.92307692] ; [33.92307692 64.07692308],0
p4,1,0.96129,0.002356,[3 3] ; [50 48],[3.05769231 2.94230769] ; [49.94230769 48.05769231],0
p6,1,0.986141,0.000302,[2 4] ; [32 65],[1.98058252 4.01941748] ; [32.01941748 64.98058252],0
