Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.020116,5.401786,[7 2] ; [1 5],[4.8 4.2] ; [3.2 2.8],0
d3,1,0.057224,3.616071,[6 3] ; [1 5],[4.2 4.8] ; [2.8 3.2],0
s7,1,0.071031,3.259028,[2 7] ; [3 1],[3.46153846 5.53846154] ; [1.53846154 2.46153846],0
s3,1,0.085192,2.962963,[2 7] ; [4 2],[3.6 5.4] ; [2.4 3.6],0
b5,1,0.095205,2.784091,[8 1] ; [3 3],[6.6 2.4] ; [4.4 1.6],0
s4,1,0.095205,2.784091,[1 8] ; [3 3],[2.4 6.6] ; [1.6 4.4],0
b1,1,0.132026,2.268519,[4 5] ; [5 1],[5.4 3.6] ; [3.6 2.4],0
p3,1,0.132026,2.268519,[4 5] ; [5 1],[5.4 3.6] ; [3.6 2.4],0
s2,1,0.204894,1.607143,[3 6] ; [4 2],[4.2 4.8] ; [2.8 3.2],0
a6,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
s5,1,0.263552,1.25,[2 7] ; [3 3],[3. 6.] ; [2. 4.],0
p9,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
a5,1,0.398025,0.714286,[5 4] ; [2 4],[4.2 4.8] ; [2.8 3.2],0
b4,1,0.398025,0.714286,[5 4] ; [2 4],[4.2 4.8] ; [2.8 3.2],0
r4,1,0.398025,0.714286,[5 4] ; [2 4],[4.2 4.8] ; [2.8 3.2],0
b2,1,0.465209,0.533333,[2 2] ; [1 3],[1.5 2.5] ; [1.5 2.5],0
b3,1,0.465209,0.533333,[2 2] ; [1 3],[1.5 2.5] ; [1.5 2.5],0
p8,1,0.474549,0.511364,[6 3] ; [5 1],[6.6 2.4] ; [4.4 1.6],0
p12,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
d1,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
a8,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
d5,1,0.474549,0.511364,[6 3] ; [5 1],[6.6 2.4] ; [4.4 1.6],0
s8,1,0.518605,0.416667,[3 6] ; [3 3],[3.6 5.4] ; [2.4 3.6],0
p10,1,0.633553,0.227273,[7 2] ; [4 2],[6.6 2.4] ; [4.4 1.6],0
n5,1,0.633553,0.227273,[7 2] ; [4 2],[6.6 2.4] ; [4.4 1.6],0
n4,1,0.666955,0.185185,[5 4] ; [4 2],[5.4 3.6] ; [3.6 2.4],0
a3,1,0.666955,0.185185,[4 5] ; [2 4],[3.6 5.4] ; [2.4 3.6],0
s6,1,0.666955,0.185185,[5 4] ; [4 2],[5.4 3.6] ; [3.6 2.4],0
n2,1,0.709388,0.138889,[1 2] ; [1 1],[1.2 1.8] ; [0.8 1.2],0
n3,1,0.709388,0.138889,[1 2] ; [1 1],[1.2 1.8] ; [0.8 1.2],0
u3,1,0.764177,0.09,[2 3] ; [2 2],[2.22222222 2.77777778] ; [1.77777778 2.22222222],0
r3,1,0.792147,0.069444,[7 2] ; [5 1],[7.2 1.8] ; [4.8 1.2],0
p5,1,0.792147,0.069444,[2 7] ; [1 5],[1.8 7.2] ; [1.2 4.8],0
p4,1,0.792147,0.069444,[7 2] ; [5 1],[7.2 1.8] ; [4.8 1.2],0
r1,1,0.832662,0.044643,[4 5] ; [3 3],[4.2 4.8] ; [2.8 3.2],0
v1,1,0.832662,0.044643,[4 5] ; [3 3],[4.2 4.8] ; [2.8 3.2],0
d2,1,1.0,0.0,[3 6] ; [2 4],[3. 6.] ; [2. 4.],0
v4,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
v2,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
v3,1,1.0,0.0,[3 6] ; [2 4],[3. 6.] ; [2. 4.],0
d4,1,1.0,0.0,[6 3] ; [4 2],[6. 3.] ; [4. 2.],0
