Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.6e-05,17.667944,[15 62] ; [13  6],[22.45833333 54.54166667] ; [ 5.54166667 13.45833333],1
s4,1,0.000668,11.577512,[10 68] ; [ 9 10],[15.27835052 62.72164948] ; [ 3.72164948 15.27835052],1
p7,1,0.004295,8.154494,[26 48] ; [13  5],[31.36956522 42.63043478] ; [ 7.63043478 10.36956522],0
r3,1,0.006952,7.285339,[49 29] ; [18  1],[53.87628866 24.12371134] ; [13.12371134  5.87628866],0
s2,1,0.007699,7.102081,[20 57] ; [11  8],[24.86458333 52.13541667] ; [ 6.13541667 12.86458333],0
s7,1,0.009863,6.659451,[13 57] ; [ 9 10],[17.30337079 52.69662921] ; [ 4.69662921 14.30337079],0
p11,1,0.010574,6.535612,[32 46] ; [14  5],[36.98969072 41.01030928] ; [9.01030928 9.98969072],0
p3,1,0.010792,6.499271,[18 60] ; [10  9],[22.51546392 55.48453608] ; [ 5.48453608 13.51546392],0
s8,1,0.01081,6.496232,[15 63] ; [ 9 10],[19.29896907 58.70103093] ; [ 4.70103093 14.29896907],0
s6,1,0.012309,6.265741,[25 53] ; [12  7],[29.75257732 48.24742268] ; [ 7.24742268 11.75257732],0
b4,1,0.018409,5.556832,[48 30] ; [ 6 13],[43.42268041 34.57731959] ; [10.57731959  8.42268041],0
p4,1,0.034248,4.482287,[21 56] ; [10  9],[24.86458333 52.13541667] ; [ 6.13541667 12.86458333],0
a5,1,0.040941,4.178472,[45 33] ; [ 6 13],[41.01030928 36.98969072] ; [9.98969072 9.01030928],0
s5,1,0.041666,4.148718,[11 66] ; [ 6 11],[13.92553191 63.07446809] ; [ 3.07446809 13.92553191],0
n2,1,0.047415,3.930585,[14 15] ; [7 1],[16.45945946 12.54054054] ; [4.54054054 3.45945946],0
n4,1,0.052123,3.771823,[44 34] ; [ 6 13],[40.20618557 37.79381443] ; [9.79381443 9.20618557],0
p2,1,0.071131,3.256723,[44 34] ; [15  4],[47.44329897 30.55670103] ; [11.55670103  7.44329897],0
p9,1,0.077958,3.106973,[40 38] ; [14  5],[43.42268041 34.57731959] ; [10.57731959  8.42268041],0
s3,1,0.10051,2.697427,[36 40] ; [13  6],[39.2 36.8] ; [9.8 9.2],0
b5,1,0.140637,2.170971,[43 35] ; [14  5],[45.83505155 32.16494845] ; [11.16494845  7.83505155],0
a2,1,0.141276,2.16401,[15 63] ; [ 1 18],[12.86597938 65.13402062] ; [ 3.13402062 15.86597938],0
d2,1,0.156183,2.010798,[34 43] ; [ 5 14],[31.28125 45.71875] ; [ 7.71875 11.28125],0
a3,1,0.199686,1.644669,[45 32] ; [ 8 11],[42.51041667 34.48958333] ; [10.48958333  8.51041667],0
v3,1,0.212886,1.551688,[12 61] ; [ 1 18],[10.31521739 62.68478261] ; [ 2.68478261 16.31521739],0
b2,1,0.247074,1.339775,[13 39] ; [5 7],[14.625 37.375] ; [3.375 8.625],0
b3,1,0.247074,1.339775,[13 39] ; [5 7],[14.625 37.375] ; [3.375 8.625],0
u3,1,0.288159,1.128205,[21 12] ; [5 6],[19.5 13.5] ; [6.5 4.5],0
u2,1,0.288159,1.128205,[18 15] ; [8 3],[19.5 13.5] ; [6.5 4.5],0
v4,1,0.300546,1.07177,[56 21] ; [16  3],[57.75 19.25] ; [14.25  4.75],0
n3,1,0.369478,0.805419,[15 12] ; [3 5],[13.88571429 13.11428571] ; [4.11428571 3.88571429],0
n1,1,0.423026,0.641893,[10 19] ; [4 4],[10.97297297 18.02702703] ; [3.02702703 4.97297297],0
a4,1,0.449388,0.572195,[32 46] ; [ 6 13],[30.55670103 47.44329897] ; [ 7.44329897 11.55670103],0
s1,1,0.492345,0.471398,[ 8 69] ; [ 1 18],[ 7.21875 69.78125] ; [ 1.78125 17.21875],0
p1,1,0.58875,0.292301,[ 7 70] ; [ 1 18],[ 6.41666667 70.58333333] ; [ 1.58333333 17.41666667],0
d4,1,0.60438,0.26844,[52 25] ; [14  5],[52.9375 24.0625] ; [13.0625  5.9375],0
p10,1,0.612105,0.257121,[36 42] ; [10  9],[36.98969072 41.01030928] ; [9.01030928 9.98969072],0
d3,1,0.613585,0.254987,[42 35] ; [11  7],[42.95789474 34.04210526] ; [10.04210526  7.95789474],0
a7,1,0.691827,0.157115,[49 29] ; [11  8],[48.24742268 29.75257732] ; [11.75257732  7.24742268],0
d5,1,0.707749,0.140535,[45 32] ; [12  7],[45.71875 31.28125] ; [11.28125  7.71875],0
r2,1,0.712003,0.136285,[62 15] ; [16  3],[62.5625 14.4375] ; [15.4375  3.5625],0
r4,1,0.73875,0.111228,[46 32] ; [12  7],[46.63917526 31.36082474] ; [11.36082474  7.63917526],0
b1,1,0.82768,0.047384,[43 35] ; [11  8],[43.42268041 34.57731959] ; [10.57731959  8.42268041],0
r1,1,0.850664,0.035446,[47 31] ; [11  8],[46.63917526 31.36082474] ; [11.36082474  7.63917526],0
d1,1,0.855255,0.033276,[27 51] ; [ 7 12],[27.34020619 50.65979381] ; [ 6.65979381 12.34020619],0
a8,1,0.85833,0.031863,[ 9 66] ; [ 2 17],[ 8.77659574 66.22340426] ; [ 2.22340426 16.77659574],0
n5,1,0.965463,0.001875,[32 45] ; [ 8 11],[32.08333333 44.91666667] ; [ 7.91666667 11.08333333],0
a6,1,0.969044,0.001506,[49 28] ; [12  7],[48.92708333 28.07291667] ; [12.07291667  6.92708333],0
v1,1,1.0,0.0,[24 52] ; [ 6 13],[24. 52.] ; [ 6. 13.],0
