Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.090969,2.857143,[3 3] ; [ 2 12],[1.5 4.5] ; [ 3.5 10.5],0
b4,1,0.111017,2.539683,[4 2] ; [ 4 10],[2.4 3.6] ; [5.6 8.4],0
v2,1,0.202288,1.625782,[4 2] ; [5 9],[2.7 3.3] ; [6.3 7.7],0
a3,1,0.202288,1.625782,[2 4] ; [9 5],[3.3 2.7] ; [7.7 6.3],0
s7,1,0.215508,1.534035,[1 5] ; [6 7],[2.21052632 3.78947368] ; [4.78947368 8.21052632],0
b5,1,0.260452,1.266353,[5 1] ; [8 6],[3.9 2.1] ; [9.1 4.9],0
s5,1,0.329114,0.952381,[2 4] ; [ 2 12],[1.2 4.8] ; [ 2.8 11.2],0
p3,1,0.329114,0.952381,[2 4] ; [8 6],[3. 3.] ; [7. 7.],0
d1,1,0.357197,0.847724,[3 3] ; [ 4 10],[2.1 3.9] ; [4.9 9.1],0
p6,1,0.357197,0.847724,[3 3] ; [ 4 10],[2.1 3.9] ; [4.9 9.1],0
p7,1,0.357197,0.847724,[3 3] ; [10  4],[3.9 2.1] ; [9.1 4.9],0
s3,1,0.357197,0.847724,[3 3] ; [10  4],[3.9 2.1] ; [9.1 4.9],0
n4,1,0.357197,0.847724,[3 3] ; [10  4],[3.9 2.1] ; [9.1 4.9],0
p10,1,0.394305,0.725624,[5 1] ; [9 5],[4.2 1.8] ; [9.8 4.2],0
v3,1,0.394305,0.725624,[1 5] ; [5 9],[1.8 4.2] ; [4.2 9.8],0
a6,1,0.492353,0.47138,[4 2] ; [7 7],[3.3 2.7] ; [7.7 6.3],0
v1,1,0.492353,0.47138,[2 4] ; [7 7],[2.7 3.3] ; [6.3 7.7],0
p12,1,0.515305,0.42328,[1 5] ; [ 1 13],[0.6 5.4] ; [ 1.4 12.6],0
n6,1,0.516407,0.421062,[5 1] ; [9 4],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
n5,1,0.550097,0.357143,[3 3] ; [9 5],[3.6 2.4] ; [8.4 5.6],0
a8,1,0.553516,0.351056,[1 5] ; [ 1 12],[0.63157895 5.36842105] ; [ 1.36842105 11.63157895],0
s4,1,0.573138,0.31746,[1 5] ; [ 4 10],[1.5 4.5] ; [ 3.5 10.5],0
p4,1,0.573138,0.31746,[4 2] ; [11  3],[4.5 1.5] ; [10.5  3.5],0
p9,1,0.690328,0.15873,[4 2] ; [8 6],[3.6 2.4] ; [8.4 5.6],0
u3,1,0.764177,0.09,[2 2] ; [2 3],[1.77777778 2.22222222] ; [2.22222222 2.77777778],0
u2,1,0.764177,0.09,[2 2] ; [3 2],[2.22222222 1.77777778] ; [2.77777778 2.22222222],0
b1,1,0.768571,0.08658,[3 3] ; [8 6],[3.3 2.7] ; [7.7 6.3],0
d5,1,0.768571,0.08658,[3 3] ; [6 8],[2.7 3.3] ; [6.3 7.7],0
p8,1,0.768571,0.08658,[3 3] ; [6 8],[2.7 3.3] ; [6.3 7.7],0
r3,1,0.80725,0.059524,[5 1] ; [11  3],[4.8 1.2] ; [11.2  2.8],0
s6,1,0.80725,0.059524,[5 1] ; [11  3],[4.8 1.2] ; [11.2  2.8],0
r1,1,0.831359,0.045351,[2 4] ; [ 4 10],[1.8 4.2] ; [4.2 9.8],0
p2,1,0.831359,0.045351,[4 2] ; [10  4],[4.2 1.8] ; [9.8 4.2],0
p5,1,0.891305,0.018674,[1 5] ; [ 2 12],[0.9 5.1] ; [ 2.1 11.9],0
a4,1,0.891305,0.018674,[1 5] ; [ 2 12],[0.9 5.1] ; [ 2.1 11.9],0
a1,1,0.891305,0.018674,[1 5] ; [ 2 12],[0.9 5.1] ; [ 2.1 11.9],0
s8,1,0.918517,0.010466,[2 4] ; [5 9],[2.1 3.9] ; [4.9 9.1],0
a5,1,1.0,0.0,[3 3] ; [7 7],[3. 3.] ; [7. 7.],0
