Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.5e-05,18.704693,[ 5 72] ; [27 51],[15.89677419 61.10322581] ; [16.10322581 61.89677419],1
p2,1,2.1e-05,18.123042,[42 36] ; [68 12],[54.30379747 23.69620253] ; [55.69620253 24.30379747],1
p3,1,3.6e-05,17.082047,[14 63] ; [40 41],[26.3164557 50.6835443] ; [27.6835443 53.3164557],1
p8,1,3.6e-05,17.049511,[18 59] ; [45 36],[30.70253165 46.29746835] ; [32.29746835 48.70253165],1
d5,1,0.003264,8.653522,[65 13] ; [50 30],[56.7721519 21.2278481] ; [58.2278481 21.7721519],0
p4,1,0.006994,7.274432,[24 54] ; [42 39],[32.37735849 45.62264151] ; [33.62264151 47.37735849],0
p11,1,0.014276,6.003711,[37 41] ; [54 27],[44.64150943 33.35849057] ; [46.35849057 34.64150943],0
a5,1,0.033282,4.531216,[36 42] ; [51 30],[42.67924528 35.32075472] ; [44.32075472 36.67924528],0
n3,1,0.034433,4.473058,[20 15] ; [20  4],[23.72881356 11.27118644] ; [16.27118644  7.72881356],0
n6,1,0.055934,3.654012,[40 38] ; [53 27],[45.91139241 32.08860759] ; [47.08860759 32.91139241],0
a3,1,0.080462,3.055542,[40 38] ; [52 28],[45.41772152 32.58227848] ; [46.58227848 33.41772152],0
n1,1,0.101535,2.681259,[13 23] ; [ 4 20],[10.2 25.8] ; [ 6.8 17.2],0
r4,1,0.148447,2.088136,[56 22] ; [66 15],[59.8490566 18.1509434] ; [62.1509434 18.8490566],0
a1,1,0.16251,1.950713,[ 2 76] ; [ 6 75],[ 3.9245283 74.0754717] ; [ 4.0754717 76.9245283],0
a7,1,0.186469,1.745298,[60 18] ; [54 26],[56.27848101 21.72151899] ; [57.72151899 22.27848101],0
p10,1,0.229733,1.442516,[43 32] ; [54 27],[46.63461538 28.36538462] ; [50.36538462 30.63461538],0
d1,1,0.233532,1.419218,[43 35] ; [37 44],[39.24528302 38.75471698] ; [40.75471698 40.24528302],0
u3,1,0.289529,1.121809,[26 12] ; [15 12],[23.96923077 14.03076923] ; [17.03076923  9.96923077],0
v4,1,0.289726,1.120895,[67 11] ; [73  7],[69.11392405  8.88607595] ; [70.88607595  9.11392405],0
s3,1,0.293735,1.102421,[32 46] ; [39 40],[35.27388535 42.72611465] ; [35.72611465 43.27388535],0
u1,1,0.295688,1.093539,[ 5 73] ; [ 9 72],[ 6.86792453 71.13207547] ; [ 7.13207547 73.86792453],0
b3,1,0.35745,0.846834,[12 24] ; [ 9 29],[10.21621622 25.78378378] ; [10.78378378 27.21621622],0
b2,1,0.35745,0.846834,[12 24] ; [ 9 29],[10.21621622 25.78378378] ; [10.78378378 27.21621622],0
s7,1,0.374466,0.78879,[18 56] ; [24 54],[20.44736842 53.55263158] ; [21.55263158 56.44736842],0
s4,1,0.406101,0.690186,[15 63] ; [20 61],[17.16981132 60.83018868] ; [17.83018868 63.16981132],0
b1,1,0.411705,0.673872,[25 53] ; [31 50],[27.47169811 50.52830189] ; [28.52830189 52.47169811],0
d2,1,0.41889,0.653427,[26 52] ; [32 49],[28.45283019 49.54716981] ; [29.54716981 51.45283019],0
s6,1,0.43044,0.621637,[40 37] ; [46 33],[42.44871795 34.55128205] ; [43.55128205 35.44871795],0
a8,1,0.433471,0.613506,[ 2 71] ; [ 4 72],[ 2.93959732 70.06040268] ; [ 3.06040268 72.93959732],0
s1,1,0.435098,0.609176,[ 5 73] ; [ 3 78],[ 3.9245283 74.0754717] ; [ 4.0754717 76.9245283],0
p12,1,0.44161,0.592096,[ 2 75] ; [ 4 77],[ 2.92405063 74.07594937] ; [ 3.07594937 77.92405063],0
p9,1,0.463931,0.536394,[48 26] ; [57 24],[50.12903226 23.87096774] ; [54.87096774 26.12903226],0
v2,1,0.470738,0.520243,[36 37] ; [33 43],[33.80536913 39.19463087] ; [35.19463087 40.80536913],0
d4,1,0.501656,0.451431,[64 14] ; [63 18],[62.30188679 15.69811321] ; [64.69811321 16.30188679],0
p5,1,0.514119,0.425674,[ 3 74] ; [ 5 76],[ 3.89873418 73.10126582] ; [ 4.10126582 76.89873418],0
s8,1,0.522657,0.408647,[18 60] ; [22 58],[19.74683544 58.25316456] ; [20.25316456 59.74683544],0
r3,1,0.526229,0.401667,[70  8] ; [75  6],[71.13207547  6.86792453] ; [73.86792453  7.13207547],0
n2,1,0.602931,0.270598,[21 14] ; [16  8],[21.94915254 13.05084746] ; [15.05084746  8.94915254],0
b4,1,0.651515,0.203995,[48 30] ; [47 34],[46.60377358 31.39622642] ; [48.39622642 32.60377358],0
s2,1,0.651515,0.203995,[30 48] ; [34 47],[31.39622642 46.60377358] ; [32.60377358 48.39622642],0
a6,1,0.663127,0.189747,[46 32] ; [45 36],[44.64150943 33.35849057] ; [46.35849057 34.64150943],0
d3,1,0.688673,0.160526,[54 24] ; [53 27],[52.82278481 25.17721519] ; [54.17721519 25.82278481],0
a4,1,0.721442,0.127115,[23 55] ; [26 55],[24.03773585 53.96226415] ; [24.96226415 56.03773585],0
a2,1,0.734592,0.114937,[ 9 69] ; [ 8 73],[ 8.33962264 69.66037736] ; [ 8.66037736 72.33962264],0
p1,1,0.737945,0.111941,[ 6 72] ; [ 5 74],[ 5.46496815 72.53503185] ; [ 5.53503185 73.46496815],0
v3,1,0.740685,0.109526,[19 54] ; [18 58],[18.12751678 54.87248322] ; [18.87248322 57.12751678],0
r2,1,0.761552,0.092078,[68 10] ; [71  9],[68.62025316  9.37974684] ; [70.37974684  9.62025316],0
s5,1,0.76499,0.089361,[23 52] ; [26 53],[23.86363636 51.13636364] ; [25.13636364 53.86363636],0
u2,1,0.798087,0.065446,[21 16] ; [15 13],[20.49230769 16.50769231] ; [15.50769231 12.49230769],0
v1,1,0.951828,0.00365,[28 49] ; [28 50],[27.81935484 49.18064516] ; [28.18064516 49.81935484],0
r1,1,0.960477,0.002456,[52 25] ; [55 26],[52.14556962 24.85443038] ; [54.85443038 26.14556962],0
b5,1,0.970859,0.001335,[46 32] ; [48 33],[46.11320755 31.88679245] ; [47.88679245 33.11320755],0
