Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.002896,8.871944,[ 1 14] ; [3 1],[ 3.15789474 11.84210526] ; [0.84210526 3.15789474],0
b1,1,0.049442,3.860294,[13  4] ; [1 3],[11.33333333  5.66666667] ; [2.66666667 1.33333333],0
s4,1,0.079746,3.070069,[ 2 15] ; [2 2],[ 3.23809524 13.76190476] ; [0.76190476 3.23809524],0
b4,1,0.091167,2.853648,[12  5] ; [1 3],[10.52380952  6.47619048] ; [2.47619048 1.52380952],0
p3,1,0.091167,2.853648,[ 5 12] ; [3 1],[ 6.47619048 10.52380952] ; [1.52380952 2.47619048],0
d5,1,0.148795,2.084559,[11  6] ; [1 3],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
v4,1,0.148795,2.084559,[11  6] ; [1 3],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
v3,1,0.17166,1.868382,[ 3 14] ; [2 2],[ 4.04761905 12.95238095] ; [0.95238095 3.04761905],0
a7,1,0.222969,1.48516,[10  7] ; [1 3],[8.9047619 8.0952381] ; [2.0952381 1.9047619],0
s1,1,0.24122,1.373452,[ 1 16] ; [1 3],[ 1.61904762 15.38095238] ; [0.38095238 3.61904762],0
s8,1,0.24122,1.373452,[ 1 16] ; [1 3],[ 1.61904762 15.38095238] ; [0.38095238 3.61904762],0
a6,1,0.291699,1.111765,[ 4 13] ; [2 2],[ 4.85714286 12.14285714] ; [1.14285714 2.85714286],0
p4,1,0.291699,1.111765,[ 4 13] ; [2 2],[ 4.85714286 12.14285714] ; [1.14285714 2.85714286],0
n4,1,0.291699,1.111765,[ 4 13] ; [2 2],[ 4.85714286 12.14285714] ; [1.14285714 2.85714286],0
n6,1,0.291699,1.111765,[ 4 13] ; [2 2],[ 4.85714286 12.14285714] ; [1.14285714 2.85714286],0
p7,1,0.306488,1.045752,[ 6 11] ; [2 1],[ 6.8 10.2] ; [1.2 1.8],0
p9,1,0.314065,1.013503,[9 8] ; [1 3],[8.0952381 8.9047619] ; [1.9047619 2.0952381],0
p10,1,0.314065,1.013503,[9 8] ; [1 3],[8.0952381 8.9047619] ; [1.9047619 2.0952381],0
s7,1,0.396144,0.72,[ 2 13] ; [1 2],[ 2.5 12.5] ; [0.5 2.5],0
b5,1,0.422489,0.643382,[9 8] ; [3 1],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
p8,1,0.431923,0.617647,[ 5 12] ; [2 2],[ 5.66666667 11.33333333] ; [1.33333333 2.66666667],0
r1,1,0.548893,0.359304,[ 7 10] ; [1 3],[ 6.47619048 10.52380952] ; [1.52380952 2.47619048],0
u3,1,0.57075,0.321429,[5 2] ; [1 1],[4.66666667 2.33333333] ; [1.33333333 0.66666667],0
u2,1,0.57075,0.321429,[5 2] ; [1 1],[4.66666667 2.33333333] ; [1.33333333 0.66666667],0
v1,1,0.585804,0.296946,[ 6 11] ; [2 2],[ 6.47619048 10.52380952] ; [1.52380952 2.47619048],0
a5,1,0.585804,0.296946,[ 6 11] ; [2 2],[ 6.47619048 10.52380952] ; [1.52380952 2.47619048],0
r2,1,0.648077,0.208333,[10  6] ; [2 2],[9.6 6.4] ; [2.4 1.6],0
d1,1,0.694354,0.154412,[ 6 11] ; [1 3],[ 5.66666667 11.33333333] ; [1.33333333 2.66666667],0
a4,1,0.694354,0.154412,[ 6 11] ; [1 3],[ 5.66666667 11.33333333] ; [1.33333333 2.66666667],0
p11,1,0.694354,0.154412,[ 6 11] ; [1 3],[ 5.66666667 11.33333333] ; [1.33333333 2.66666667],0
a3,1,0.748328,0.102941,[10  7] ; [2 2],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
p2,1,0.915605,0.01123,[9 8] ; [2 2],[8.9047619 8.0952381] ; [2.0952381 1.9047619],0
s6,1,0.950458,0.00386,[ 4 13] ; [1 3],[ 4.04761905 12.95238095] ; [0.95238095 3.04761905],0
d4,1,0.950458,0.00386,[13  4] ; [3 1],[12.95238095  4.04761905] ; [3.04761905 0.95238095],0
d2,1,0.950458,0.00386,[ 4 13] ; [1 3],[ 4.04761905 12.95238095] ; [0.95238095 3.04761905],0
