Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.022177,5.231871,[23 11] ; [4 9],[19.53191489 14.46808511] ; [7.46808511 5.53191489],0
d4,1,0.022177,5.231871,[23 11] ; [4 9],[19.53191489 14.46808511] ; [7.46808511 5.53191489],0
d3,1,0.030535,4.678933,[17 17] ; [ 2 11],[13.74468085 20.25531915] ; [5.25531915 7.74468085],0
p9,1,0.038182,4.296875,[26  6] ; [6 6],[23.27272727  8.72727273] ; [8.72727273 3.27272727],0
p11,1,0.079655,3.071922,[27  7] ; [7 6],[24.59574468  9.40425532] ; [9.40425532 3.59574468],0
s8,1,0.082854,3.00801,[11 23] ; [ 1 12],[ 8.68085106 25.31914894] ; [3.31914894 9.68085106],0
v3,1,0.082854,3.00801,[11 23] ; [ 1 12],[ 8.68085106 25.31914894] ; [3.31914894 9.68085106],0
p7,1,0.085244,2.961965,[14 20] ; [9 4],[16.63829787 17.36170213] ; [6.36170213 6.63829787],0
p4,1,0.085244,2.961965,[20 14] ; [4 9],[17.36170213 16.63829787] ; [6.63829787 6.36170213],0
r3,1,0.088407,2.903147,[24  9] ; [6 7],[21.52173913 11.47826087] ; [8.47826087 4.52173913],0
n4,1,0.129239,2.30162,[26  8] ; [7 6],[23.87234043 10.12765957] ; [9.12765957 3.87234043],0
s7,1,0.133251,2.254212,[10 21] ; [ 1 10],[ 8.11904762 22.88095238] ; [2.88095238 8.11904762],0
p2,1,0.175132,1.838452,[23 11] ; [6 7],[20.9787234 13.0212766] ; [8.0212766 4.9787234],0
a8,1,0.177217,1.820806,[ 4 26] ; [4 9],[ 5.58139535 24.41860465] ; [ 2.41860465 10.58139535],0
v1,1,0.181858,1.782374,[12 22] ; [ 2 11],[10.12765957 23.87234043] ; [3.87234043 9.12765957],0
b4,1,0.210786,1.566022,[20 14] ; [5 8],[18.08510638 15.91489362] ; [6.91489362 6.08510638],0
b5,1,0.210786,1.566022,[20 14] ; [5 8],[18.08510638 15.91489362] ; [6.91489362 6.08510638],0
p10,1,0.222215,1.490008,[23 10] ; [6 6],[21.26666667 11.73333333] ; [7.73333333 4.26666667],0
s6,1,0.235541,1.407087,[17 17] ; [4 9],[15.19148936 18.80851064] ; [5.80851064 7.19148936],0
d2,1,0.248024,1.334398,[14 20] ; [ 3 10],[12.29787234 21.70212766] ; [4.70212766 8.29787234],0
s2,1,0.394703,0.724403,[ 9 24] ; [ 2 11],[ 7.89130435 25.10869565] ; [3.10869565 9.89130435],0
b3,1,0.425556,0.634921,[ 8 16] ; [1 5],[ 7.2 16.8] ; [1.8 4.2],0
b2,1,0.425556,0.634921,[ 8 16] ; [1 5],[ 7.2 16.8] ; [1.8 4.2],0
s4,1,0.46088,0.543758,[ 7 27] ; [4 9],[ 7.95744681 26.04255319] ; [3.04255319 9.95744681],0
a1,1,0.470398,0.521041,[ 1 33] ; [ 1 12],[ 1.44680851 32.55319149] ; [ 0.55319149 12.44680851],0
a6,1,0.478243,0.502867,[17 17] ; [5 8],[15.91489362 18.08510638] ; [6.08510638 6.91489362],0
b1,1,0.478243,0.502867,[17 17] ; [8 5],[18.08510638 15.91489362] ; [6.91489362 6.08510638],0
p6,1,0.493828,0.468174,[ 7 26] ; [4 9],[ 7.89130435 25.10869565] ; [3.10869565 9.89130435],0
n1,1,0.494125,0.467532,[3 8] ; [3 4],[3.66666667 7.33333333] ; [2.33333333 4.66666667],0
a4,1,0.533932,0.386902,[11 23] ; [ 3 10],[10.12765957 23.87234043] ; [3.87234043 9.12765957],0
n3,1,0.628745,0.233766,[5 6] ; [4 3],[5.5 5.5] ; [3.5 3.5],0
p8,1,0.632215,0.229069,[14 20] ; [4 8],[13.30434783 20.69565217] ; [4.69565217 7.30434783],0
r4,1,0.664074,0.188612,[10 24] ; [ 3 10],[ 9.40425532 24.59574468] ; [3.59574468 9.40425532],0
a5,1,0.677132,0.173372,[18 16] ; [6 7],[17.36170213 16.63829787] ; [6.63829787 6.36170213],0
u2,1,0.75235,0.099567,[8 8] ; [4 3],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
v4,1,0.757535,0.095308,[20 14] ; [7 6],[19.53191489 14.46808511] ; [7.46808511 5.53191489],0
p3,1,0.769646,0.085754,[12 22] ; [4 9],[11.57446809 22.42553191] ; [4.42553191 8.57446809],0
n2,1,0.782935,0.075898,[7 4] ; [4 3],[6.72222222 4.27777778] ; [4.27777778 2.72222222],0
s1,1,0.820377,0.051556,[ 2 32] ; [ 1 12],[ 2.17021277 31.82978723] ; [ 0.82978723 12.17021277],0
a2,1,0.820377,0.051556,[ 2 32] ; [ 1 12],[ 2.17021277 31.82978723] ; [ 0.82978723 12.17021277],0
s5,1,0.853533,0.034082,[ 6 28] ; [ 2 11],[ 5.78723404 28.21276596] ; [ 2.21276596 10.78723404],0
a3,1,0.860802,0.030749,[18 16] ; [6 6],[17.73913043 16.26086957] ; [6.26086957 5.73913043],0
a7,1,0.90005,0.015775,[15 19] ; [6 7],[15.19148936 18.80851064] ; [5.80851064 7.19148936],0
r1,1,0.917021,0.010855,[11 23] ; [4 9],[10.85106383 23.14893617] ; [4.14893617 8.85106383],0
v2,1,0.926137,0.008594,[16 18] ; [5 6],[15.86666667 18.13333333] ; [5.13333333 5.86666667],0
s3,1,0.975316,0.000957,[10 23] ; [4 9],[10.04347826 22.95652174] ; [3.95652174 9.04347826],0
