Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5e-06,20.90587,[15  1] ; [15 37],[7.05882353 8.94117647] ; [22.94117647 29.05882353],1
s2,1,7e-05,15.808408,[13  4] ; [12 40],[ 6.15942029 10.84057971] ; [18.84057971 33.15942029],1
p10,1,0.001596,9.964175,[13  3] ; [18 32],[7.51515152 8.48484848] ; [23.48484848 26.51515152],0
s7,1,0.00462,8.022428,[9 6] ; [10 37],[ 4.59677419 10.40322581] ; [14.40322581 32.59677419],0
v1,1,0.021116,5.317185,[12  5] ; [20 32],[7.88405797 9.11594203] ; [24.11594203 27.88405797],0
r4,1,0.026548,4.919937,[14  3] ; [27 25],[10.10144928  6.89855072] ; [30.89855072 21.10144928],0
v4,1,0.040356,4.202845,[15  1] ; [34 16],[11.87878788  4.12121212] ; [37.12121212 12.87878788],0
p11,1,0.041038,4.174447,[13  4] ; [25 27],[9.36231884 7.63768116] ; [28.63768116 23.36231884],0
d1,1,0.048208,3.902715,[9 8] ; [14 38],[ 5.66666667 11.33333333] ; [17.33333333 34.66666667],0
s3,1,0.04837,3.897076,[13  4] ; [25 26],[9.5 7.5] ; [28.5 22.5],0
v2,1,0.057498,3.608113,[9 6] ; [16 33],[5.859375 9.140625] ; [19.140625 29.859375],0
v3,1,0.05778,3.6,[6 9] ; [ 8 40],[ 3.33333333 11.66666667] ; [10.66666667 37.33333333],0
p8,1,0.065196,3.4,[8 9] ; [12 39],[ 5. 12.] ; [15. 36.],0
a8,1,0.097226,2.750472,[ 2 15] ; [ 1 48],[ 0.77272727 16.22727273] ; [ 2.22727273 46.77272727],0
a5,1,0.10851,2.575792,[11  6] ; [22 30],[8.13043478 8.86956522] ; [24.86956522 27.13043478],0
p9,1,0.129645,2.296747,[11  5] ; [24 27],[8.35820896 7.64179104] ; [26.64179104 24.35820896],0
p1,1,0.131341,2.276584,[ 3 14] ; [ 3 49],[ 1.47826087 15.52173913] ; [ 4.52173913 47.47826087],0
p3,1,0.134499,2.239789,[8 9] ; [14 37],[ 5.5 11.5] ; [16.5 34.5],0
p6,1,0.178085,1.813532,[ 6 11] ; [ 9 38],[ 3.984375 13.015625] ; [11.015625 35.984375],0
u3,1,0.23314,1.421602,[5 2] ; [11 13],[3.61290323 3.38709677] ; [12.38709677 11.61290323],0
b1,1,0.261788,1.259276,[13  4] ; [32 20],[11.08695652  5.91304348] ; [33.91304348 18.08695652],0
s5,1,0.264823,1.243368,[ 5 10] ; [10 41],[ 3.40909091 11.59090909] ; [11.59090909 39.40909091],0
p4,1,0.280589,1.164235,[9 8] ; [19 31],[7.10447761 9.89552239] ; [20.89552239 29.10447761],0
d5,1,0.291188,1.11412,[11  6] ; [26 26],[9.11594203 7.88405797] ; [27.88405797 24.11594203],0
d4,1,0.31651,1.003312,[12  5] ; [29 22],[10.25  6.75] ; [30.75 20.25],0
n1,1,0.36131,0.833333,[4 2] ; [11 13],[3. 3.] ; [12. 12.],0
d2,1,0.364604,0.821972,[9 8] ; [21 31],[7.39130435 9.60869565] ; [22.60869565 29.39130435],0
p12,1,0.379072,0.773709,[ 1 15] ; [ 1 50],[ 0.47761194 15.52238806] ; [ 1.52238806 49.47761194],0
n5,1,0.397529,0.715789,[ 6 11] ; [24 27],[7.5 9.5] ; [22.5 28.5],0
r1,1,0.432976,0.614828,[11  6] ; [28 24],[9.60869565 7.39130435] ; [29.39130435 22.60869565],0
a6,1,0.500378,0.454134,[ 5 12] ; [20 32],[ 6.15942029 10.84057971] ; [18.84057971 33.15942029],0
d3,1,0.523735,0.406533,[ 7 10] ; [17 35],[ 5.91304348 11.08695652] ; [18.08695652 33.91304348],0
n2,1,0.55081,0.355867,[6 1] ; [18  6],[5.41935484 1.58064516] ; [18.58064516  5.41935484],0
b2,1,0.594474,0.283411,[6 8] ; [10 19],[5.20930233 8.79069767] ; [10.79069767 18.20930233],0
b3,1,0.594474,0.283411,[6 8] ; [10 19],[5.20930233 8.79069767] ; [10.79069767 18.20930233],0
b5,1,0.626725,0.236528,[9 8] ; [24 28],[8.13043478 8.86956522] ; [24.86956522 27.13043478],0
a1,1,0.635353,0.224871,[ 1 16] ; [ 5 47],[ 1.47826087 15.52173913] ; [ 4.52173913 47.47826087],0
s4,1,0.637504,0.222021,[ 3 14] ; [12 40],[ 3.69565217 13.30434783] ; [11.30434783 40.69565217],0
n3,1,0.697893,0.150673,[4 3] ; [15  8],[4.43333333 2.56666667] ; [14.56666667  8.43333333],0
b4,1,0.720223,0.128279,[10  7] ; [28 24],[9.36231884 7.63768116] ; [28.63768116 23.36231884],0
a3,1,0.720223,0.128279,[10  7] ; [28 24],[9.36231884 7.63768116] ; [28.63768116 23.36231884],0
a4,1,0.72819,0.12078,[ 6 11] ; [16 36],[ 5.42028986 11.57971014] ; [16.57971014 35.42028986],0
r2,1,0.808822,0.058538,[13  3] ; [40 11],[12.65671642  3.34328358] ; [40.34328358 10.65671642],0
p2,1,0.939707,0.005721,[9 8] ; [27 23],[9.13432836 7.86567164] ; [26.86567164 23.13432836],0
p7,1,0.946491,0.004504,[8 9] ; [24 26],[8.11940299 8.88059701] ; [23.88059701 26.11940299],0
n4,1,0.94821,0.004219,[9 8] ; [28 24],[9.11594203 7.88405797] ; [27.88405797 24.11594203],0
a2,1,0.986176,0.0003,[ 1 16] ; [ 3 49],[ 0.98550725 16.01449275] ; [ 3.01449275 48.98550725],0
s1,1,1.0,0.0,[ 1 16] ; [ 3 48],[ 1. 16.] ; [ 3. 48.],0
