Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.186858,1.742222,[4 1] ; [1 2],[3.125 1.875] ; [1.875 1.125],0
v1,1,0.186858,1.742222,[1 4] ; [2 1],[1.875 3.125] ; [1.125 1.875],0
s5,1,0.427355,0.63,[1 4] ; [1 1],[1.42857143 3.57142857] ; [0.57142857 1.42857143],0
s3,1,0.465209,0.533333,[2 3] ; [2 1],[2.5 2.5] ; [1.5 1.5],0
p6,1,0.465209,0.533333,[2 3] ; [2 1],[2.5 2.5] ; [1.5 1.5],0
a2,1,0.465209,0.533333,[2 3] ; [2 1],[2.5 2.5] ; [1.5 1.5],0
p3,1,0.659243,0.194444,[2 2] ; [2 1],[2.28571429 1.71428571] ; [1.71428571 1.28571429],0
r1,1,0.67329,0.177778,[4 1] ; [2 1],[3.75 1.25] ; [2.25 0.75],0
p11,1,0.67329,0.177778,[4 1] ; [2 1],[3.75 1.25] ; [2.25 0.75],0
v4,1,0.67329,0.177778,[4 1] ; [2 1],[3.75 1.25] ; [2.25 0.75],0
a4,1,0.67329,0.177778,[4 1] ; [2 1],[3.75 1.25] ; [2.25 0.75],0
a8,1,0.80915,0.058333,[1 3] ; [1 2],[1.14285714 2.85714286] ; [0.85714286 2.14285714],0
s6,1,0.80915,0.058333,[2 3] ; [1 1],[2.14285714 2.85714286] ; [0.85714286 1.14285714],0
s2,1,0.850436,0.035556,[3 2] ; [2 1],[3.125 1.875] ; [1.875 1.125],0
b4,1,0.850436,0.035556,[2 3] ; [1 2],[1.875 3.125] ; [1.125 1.875],0
p7,1,0.850436,0.035556,[3 2] ; [2 1],[3.125 1.875] ; [1.875 1.125],0
b1,1,0.850436,0.035556,[2 3] ; [1 2],[1.875 3.125] ; [1.125 1.875],0
b2,1,1.0,0.0,[1 2] ; [1 2],[1. 2.] ; [1. 2.],0
b3,1,1.0,0.0,[1 2] ; [1 2],[1. 2.] ; [1. 2.],0
